,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6
0,65.5,43.0,37.5,54.0,62.5,39.0,48.0,4.0,13.5,12.0,,,,,R1,6.0,48.5,119.0,63.5,151.0,62.5,136.0,64.5,,,,,,
1,65.5,43.0,37.5,54.0,62.5,39.0,,,,,15.0,2.5,,,R2,9.0,68.0,129.0,64.0,136.0,67.0,140.0,67.5,147.0,65.0,,,,
2,65.5,43.0,37.5,54.0,62.5,39.0,,48.0,19.0,23.0,7.0,3.5,,,R3,5.0,19.0,135.0,60.0,112.0,63.5,,,,,,,,
3,65.5,43.0,37.5,54.0,62.5,39.0,,,,5.5,8.5,4.0,,,R4,6.0,49.0,192.0,70.0,116.0,66.5,119.0,64.0,,,,,,
4,65.5,43.0,37.5,54.0,62.5,39.0,,,,28.0,14.5,4.5,,,R5,10.0,44.5,119.0,67.5,127.0,65.0,139.0,67.0,,,,,,
5,65.5,43.0,37.5,54.0,62.5,39.0,,,,,,4.0,,,R6,9.0,73.0,163.0,65.0,161.0,67.0,162.0,65.0,160.0,69.0,,,,
6,65.5,43.0,37.5,54.0,62.5,58.5,,,,,,,,,R7,9.0,72.5,123.0,60.0,131.0,63.5,144.0,67.5,,,,,,
7,65.5,43.0,37.5,54.0,62.5,13.0,,,,,,,,,R8,11.0,71.0,153.0,62.0,123.0,64.0,162.0,69.0,171.0,67.0,,,,
8,65.5,43.0,37.5,54.0,62.5,39.0,,,,,,,,,R9,5.5,25.5,133.0,67.0,113.0,64.0,,,,,,,,
9,65.5,43.0,37.5,54.0,62.5,11.0,17.0,10.0,,,,,,,R10,9.5,75.0,140.0,65.0,137.0,67.0,145.0,63.5,138.0,62.0,,,,
10,65.5,43.0,37.5,54.0,62.5,11.0,,8.0,,,,,,,R11,12.0,86.0,121.0,63.5,131.0,64.5,118.0,66.5,143.0,67.0,,,,
11,65.5,43.0,37.5,54.0,62.5,11.0,,7.0,,,,,,,R12,7.5,56.0,131.0,62.0,184.0,67.0,132.0,65.5,,,,,,
12,65.5,43.0,37.5,54.0,62.5,4.0,12.0,8.4,,,,,,,R13,9.0,30.0,103.0,68.5,122.0,69.0,,,,,,,,
13,65.5,43.0,37.5,54.0,62.5,4.0,,3.5,,,,,,,R14,7.0,41.5,123.0,68.5,143.0,68.0,,,,,,,,
14,65.5,43.0,37.5,54.0,62.5,34.0,47.0,64.0,17.0,3.0,11.0,7.0,10.0,7.0,R15,7.5,69.0,141.0,67.5,122.0,64.5,,,,,,,,
15,65.5,43.0,37.5,47.0,61.0,32.0,20.0,10.0,,,,,,,R16,12.5,90.0,131.0,62.0,153.0,65.0,143.0,68.0,201.0,68.5,136.0,65.5,,
16,65.5,43.0,37.5,47.0,61.0,11.0,19.0,9.5,12.5,8.0,11.0,6.5,,,R17,6.0,44.0,141.0,65.0,133.0,64.0,163.0,69.0,,,,,,
17,65.5,43.0,37.5,47.0,61.0,11.0,,,,,,10.0,,,R18,5.0,47.5,123.0,65.5,160.0,68.0,139.0,63.0,,,,,,
18,65.5,43.0,37.5,47.0,61.0,11.0,,0.0,,,,,,,R19,6.0,47.0,120.0,63.5,151.0,65.0,131.0,64.0,,,,,,
19,65.5,43.0,37.5,47.0,61.0,65.0,35.0,7.0,28.0,9.5,,,,,R20,10.0,48.0,152.0,77.5,140.0,67.5,161.0,72.0,,,,,,
20,65.5,43.0,37.5,47.0,61.0,65.0,,,,25.0,,,,,R21,10.0,52.5,119.0,65.5,121.0,69.0,118.0,67.5,,,,,,
21,65.5,43.0,37.5,47.0,61.0,65.0,,,,6.0,,,,,R22,12.5,40.0,143.0,68.5,127.0,64.5,150.0,63.5,,,,,,
22,65.5,43.0,37.5,47.0,61.0,65.0,,,,6.0,16.0,3.5,,,R23,11.0,48.0,163.0,68.0,117.0,67.0,122.0,62.0,,,,,,
23,65.5,43.0,37.5,47.0,61.0,65.0,,,,-14.5,,,,,R24,6.0,29.0,127.0,63.0,130.0,65.5,,,,,,,,
