,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6
0,75.0,42.0,35.5,90.5,56.6,6.5,25.5,28.0,,,,,,,R1,7.9,75.5,116.0,61.72,,,,,,,,,,
1,75.0,42.0,35.5,90.5,56.6,6.5,25.5,34.5,,,,,,,R2,4.7,35.0,,,,,,,,,,,,
2,75.0,42.0,35.5,90.5,56.6,6.5,25.5,44.0,,,,,,,R3,5.2,35.0,,,,,,,,,,,,
3,75.0,42.0,35.5,90.5,56.6,7.0,11.2,1.7,,,,,,,R4,3.9,24.0,,,,,,,,,,,,
4,75.0,42.0,35.5,90.5,56.6,7.0,11.2,10.2,,,,,,,R5,4.4,25.5,91.0,55.5,107.0,57.2,,,,,,,,
5,75.0,42.0,35.5,90.5,56.6,7.0,11.2,20.5,,,,,,,R6,3.7,25.0,133.0,63.3,,,,,,,,,,
6,75.0,42.0,35.5,90.5,56.6,7.0,11.2,34.0,,,,,,,R7,4.0,23.0,76.0,52.31,97.0,57.49,,,,,,,,
7,75.0,42.0,35.5,91.0,51.6,16.0,15.0,25.0,10.5,5.5,,,,,R8,5.6,41.5,96.0,53.46,99.0,55.43,,,,,,,,
8,75.0,42.0,35.5,91.0,51.6,16.0,15.0,25.0,10.5,25.9,,,,,R9,3.1,20.1,123.0,57.3,,,,,,,,,,
9,75.0,42.0,35.5,91.0,51.6,16.0,15.0,25.0,10.5,29.9,,,,,R10,4.3,38.7,110.0,58.5,,,,,,,,,,
10,75.0,42.0,35.5,91.0,51.6,22.0,19.5,7.0,14.5,19.5,,,,,R11,4.5,46.0,59.0,45.4,53.0,45.86,94,54.52,,,,,,
11,75.0,42.0,35.5,91.0,51.6,22.0,19.5,7.0,14.5,30.8,,,,,R12,3.9,15.0,80.0,51.68,79.0,53.49,,,,,,,,
12,75.0,42.0,35.5,91.0,51.6,22.0,19.5,7.0,14.5,39.3,,,,,R13,3.8,27.5,76.0,54.4,50.0,45.95,,,,,,,,
13,75.0,42.0,35.5,156.5,53.9,13.5,22.2,2.5,9.3,10.0,,,,,R14,3.6,17.5,81.0,54.6,,,,,,,,,,
14,75.0,42.0,35.5,156.5,53.9,13.5,22.2,2.5,9.3,20.8,,,,,R15,3.7,20.0,,,,,,,,,,,,
15,75.0,42.0,35.5,156.5,53.9,13.5,22.2,6.5,11.5,58.5,,,,,R16,11.5,58.5,133.0,64.51,,,,,,,,,,
16,75.0,42.0,35.5,156.5,53.9,13.5,22.2,10.5,13.3,3.0,,,,,R17,3.3,21.5,87.0,55.79,136.0,64.96,,,,,,,,
17,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,3.0,20.8,14.5,,,R18,10.5,75.0,128.0,62.16,129.0,63.07,,,,,,,,
18,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,3.0,20.8,39.8,,,R19,5.7,56.5,156.0,65.17,100.0,54.66,90,54.9,,,,,,
19,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,3.0,20.8,43.599999999999994,,,R20,5.9,34.5,99.0,57.05,107.0,57.2,,,,,,,,
20,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,6.0,11.0,0.5,,,R21,5.8,49.5,133.0,63.12,,,,,,,,,,
21,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,17.5,17.5,12.5,,,R22,5.3,34.5,82.0,55.57,128.0,63.63,109,57.21,,,,,,
22,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,17.5,17.5,14.9,,,R23,4.5,29.5,124.0,61.78,,,,,,,,,,
23,75.0,42.0,35.5,196.5,90.0,11.0,61.5,5.5,29.8,17.5,17.5,20.9,,,R24,4.8,22.5,123.0,62.22,144.0,56.8,178,66.55,,,,,,
