DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
65.5,43,37.5,90,67,10.5,,,32,20,,,,,R52,11,49,207,69.5,175,62.5,171,67,,,,,,,2019
65.5,43,37.5,90,67,10.5,,,,11,,,,,R53,15,52,180,67,156,66,120,65,,,,,,,2019
65.5,43,37.5,90,67,10.5,,,,2.5,,,,,R54,7.5,45,163,72,139,66,120,67,,,,,,,2019
65.5,43,37.5,90,67,10.5,,,,9.5,12.5,6,,,R55,5,21,183,67,,,,,,,,,,,2019
65.5,43,37.5,124,52,6,,,,,,,,,R56,7.5,49,175,62.5,131,65,,,,,,,,,2019
65.5,43,37.5,124,52,6,12,9,,,,,,,R57,7,30,170,65.5,174,65,,,,,,,,,2019
65.5,43,37.5,124,52,48,10,22,,,,,,,R58,6.5,28,201,68,,,,,,,,,,,2019
65.5,43,37.5,124,52,48,,7,,,,,,,R59,6,20,167,66,,,,,,,,,,,2019
65.5,43,37.5,124,52,43,13,4.5,,,,,,,R60,7,22,160,66.5,,,,,,,,,,,2019
65.5,43,37.5,124,52,43,,9,,,,,,,R61,7,34,160,65,124,65,,,,,,,,,2019
65.5,43,37.5,124,52,43,20,8,,,,,,,R62,13,38,195,65,201,67,,,,,,,,,2019
65.5,43,37.5,124,52,3,18,3.5,,,,,,,R63,12,58,215,68.5,213,67.5,122,64,,,,,,,2019
65.5,43,37.5,124,52,3,,3,,,,,,,R64,12,47,181,62,182,65,172,63,,,,,,,2019
65.5,43,37.5,57,20,18,,,,,,,,,R65,5,26,185,66,,,,,,,,,,,2019
65.5,43,37.5,57,20,9,12,16,,,,,,,R66,8,50,164,65,171,65.5,174,67,,,,,,,2019
65.5,43,37.5,57,20,9,,5,,,,,,,R67,4.5,20,168,66,,,,,,,,,,,2019
65.5,43,37.5,57,20,9,,23,,,,,,,R68,6,40,170,68,161,67,130,63,,,,,,,2019
65.5,43,37.5,57,43.5,43,13,7,,,,,,,R69,8,61,160,65.5,163,66,172,65,181,68,,,,,2019
65.5,43,37.5,57,43.5,43,33.5,30,32.5,6,,,,,R70,9,22,150,63,,,,,,,,,,,2019
65.5,43,37.5,57,43.5,43,,,,3,,,,,R71,15,72,163,65.5,152,63.5,192,68,201,67.5,,,,,2019
