DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6,year
60,50,108,6.5,61,10,16.5,8,9.5,2,,,,,R77,6.5,53,125,57,168,65,147,54,165,,,,,,2019
60,50,108,6.5,61,10,16.5,4,9.5,2,,,,,R78,9,60,165,68,189,69,197,66.5,191,69,,,,,2019
60,50,108,6.5,61,10,16.5,5,9.5,2,,,,,R79,7,62,175,67,170,63.5,193,68,,,,,,,2019
60,50,108,6.5,61,7,44.5,76,35.5,11,30,29,22,12,R80,8.5,42,188,72,155,68,186,73,,,,,,,2019
60,50,108,6.5,61,7,44.5,76,35.5,11,,,,4.5,R81,15,60,132,59.5,145,61.5,176,62.5,,,,,,,2019
60,50,108,6.5,61,7,44.5,76,35.5,11,,5,27,23,R82,10,57,152,66,198,72,165,67,,,,,,,2019
60,50,108,6.5,61,7,44.5,76,35.5,11,,,,4,R83,9,82,151,67,181,67,177,69,,,,,,,2019
60,50,108,6.5,61,7,44.5,76,35.5,11,,,,4,R84,8.5,77,188,77,226,66,111,156,208,74,129,65,,,2019
60,50,108,41,82,12.5,67,31,25,60,13,6.5,11.5,4,R85,5.5,63,104,56,136,69.9,169,68.5,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,17,23.5,16,,,R86,11,54,155,64,161,64,152,63.5,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,17,,5,,,R87,13.5,71,217,68,221,66,180,70,165,66.5,,,,,2019
60,50,108,41,82,12.5,67,31,25,17,,10,,,R88,5.5,55,,,,,,,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,17,,4,,,R89,10,71,187,69,218,73,197,70,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,17,,11.5,,,R90,11.5,8.5,195,67,202,68.5,223,69,192,68,,,,,2019
60,50,108,41,82,12.5,67,31,25,6,7.5,32,,,R91,7,20,168,64,143,60,240,77,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,6,,6,,,R92,7.5,83,110,57,154,62.6,166,66,184,64.5,,,,,2019
60,50,108,41,82,12.5,67,31,25,6,,5.5,,,R93,6.5,58.5,201,67,199,66,,,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,6,,9.5,,,R94,10,29,244,71,217,70,165,64.5,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,6,,5.5,,,R95,19,43,125,60.5,197,68,,,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,12.5,27.5,4.5,,,R96,6.5,56,215,70.5,172,61.5,181,65,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,12.5,,21.5,,,R97,15,88,158,65,169,68,178,64,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,12.5,,4.5,,,R98,6.5,77,214,69,184,63,235,66.5,,,,,,,2019
60,50,108,41,82,12.5,67,31,25,12.5,,26,,,R99,10,76,158,64,230,72,232,73.5,204,69.5,,,,,2019
60,50,108,41,82,12.5,67,31,25,12.5,,6,,,R100,18,74,229,74,242,73,,,,,,,,,2019
60,50,108,10,71,45,18,27,25,12.5,,,,,R101,6,25,137,60,173,62,137,64,,,,,,,2019
60,50,108,10,71,45,18,3,25,12.5,,,,,R102,7,49.5,143,67.5,207,70,176,62.5,169,68.5,,,,,2019
60,50,108,10,71,4.5,17.5,17,12.5,5.5,,,,,R103,10.5,67,256,74,,,,,,,,,,,2019
60,50,108,10,71,0,17.5,17,12.5,5.5,,,,,R104,6.5,107,178,65,178,66,240,70.5,177,69,156,64,,,2019
60,50,108,10,71,6.5,17.5,13.5,12.5,5.5,,,,,R105,10,98,161,66.5,192,67.5,207,70.5,173,63.5,164,65.5,,,2019
60,50,108,10,71,0,17.5,13.5,12.5,5.5,,,,,R106,13.5,110,285,78,209,67,186,67,201,70,207,69.5,,,2019
60,50,108,10,71,4,49,8,30,56,,,,,R107,17.5,65,142,57.9,219,71.5,169,64,,,,,,,2019
71,48,37,86,32.2,14,21.8,2,16.7,11.5,13.7,,,,R2,7.45,73,95,55.03,94,55.18,90,51.94,101,53.55,94,54.77,,,2021
71,48,37,86,32.2,20,21.6,49,13.79,19,9.31,1.9,,,R3,5.39,49.3,63,46.22,65,47.36,,,,,,,,,2021
71,48,37,86,32.2,20,21.6,49,13.79,24.2,9.8,11,11.2,7,R4,5.65,30,49,42.67,,,,,,,,,,,2021
71,48,37,86,32.2,20,21.6,49,13.79,24.2,9.8,11,11.2,9.5,R5,4.75,31,68,48.29,49,45.56,775,50.17,,,,,,,2021
71,48,37,86,42.19,7,,,,,,,,,R6,6.68,79,89,53.46,86,52.68,66,47.33,,,,,,,2021
71,48,37,86,42.19,69,27.9,4.5,17.8,5.5,16.65,4,,,R7,8.85,73,114,58.69,140,62.91,,,,,,,,,2021
71,48,37,86,42.19,69,27.9,7.5,19.5,1.5,,,,,R8,7.74,64,100,55.43,107,56.06,72,49.07,103,55.71,,,,,2021
71,48,37,86,19.7,22,,,,,,,,,R9,7.25,62,106,55.69,75,51.32,73,49.14,73,49.93,77,50.24,,,2021
71,48,37,86,19.7,22,11.16,12,,,,,,,R10,9,86,97,56.01,139,63.7,138,62.06,149,65.49,,,,,2021
71,48,37,175,62.9,41,,,,,,,,,R11,5.6,31.9,165,67.35,86,51.63,,,,,,,,,2021
71,48,37,175,62.9,58,,,,,,,,,R12,10.5,88,118,59.97,138,62.15,137,63.42,139,64.31,96,55.31,132,61.38,2021
71,48,37,175,62.9,67,,,,,,,,,R13,4.88,25.2,165,66.97,120,62.05,,,,,,,,,2021
71,48,37,175,62.9,74,57.4,2.5,,,,,,,R14,7,43.2,92,53.23,110,58.46,131,62.42,,,,,,,2021
71,48,37,175,62.9,74,57.4,5.5,9.79,4,,,,,R15,4.11,18,177,68.9,,,,,,,,,,,2021
71,48,37,175,62.9,74,57.4,5.5,9.79,13,,,,,R16,6.28,25,142,64,,,,,,,,,,,2021
71,48,37,175,62.9,74,57.4,13.5,29.04,7,,,,,R17,5.84,45.9,140,67.37,112,59.91,118,59.97,,,,,,,2021
71,48,37,175,62.9,74,57.4,13.5,29.04,18,,,,,R18,8.5,54,103,56.26,168,74.14,128,60.69,,,,,,,2021
71,48,37,175,62.9,74,57.4,13.5,29.04,28,,,,,R19,6.09,37,171,68.13,171,69.41,,,,,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,1.3,10.36,2.3,,,R20,7.19,45,116,59.32,103,57.22,116,59.7,,,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,3.8,22.7,14.5,,,R21,7.34,58,139,66.39,155,66.26,,,,,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,3.8,22.7,17.5,,,R22,8.9,61,113,59.71,138,64.09,197,69.77,161,67.16,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,3.8,22.7,39.5,,,R23,10.5,76,145,64.04,116,59.28,163,67.46,180,68.03,122,61.57,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,8.8,15.35,1,,,R24,4.61,34,112,58.47,98,55.99,137,64.12,,,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,8.8,15.35,2.2,,,R25,6.6,51,167,67.21,129,61.68,166,67.83,166,67.12,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,28.8,20.41,6.7,,,R26,5.87,27,142,63.26,148,62.62,132,62.57,,,,,,,2021
71,48,37,175,62.9,74,57.4,18.5,43.6,28.8,20.41,9.7,14.95,6.2,R27,7.3,60,140,64.12,159,66.55,220,74.28,,,,,,,2021
71,48,37,218,67.8,12,30.27,14,13.67,15,,,,,R28,5,35,156,65.17,,,,,,,,,,,2021
71,48,37,218,67.8,12,30.27,20,,,,,,,R29,5.95,34,156,66.42,119,59.17,195,70.51,,,,,,,2021
71,48,37,218,67.8,12,30.27,24.9,10.8,8,,,,,R30,4.97,45,187,72.15,152,66.79,120,60.9,,,,,,,2021
71,48,37,218,67.8,12,30.27,24.9,10.8,14.5,,,,,R31,5,28,88,54.46,162,66.46,140,64.28,,,,,,,2021
71,48,37,218,67.8,12,30.27,32.9,18.35,3.5,,,,,R32,5.46,37,149,65.14,75,48.25,180,70.91,192,71.98,,,,,2021
71,48,37,218,67.8,12,30.27,32.9,18.35,3.5,,,,,R33,5.47,46,201,73.64,170,69.42,160,65.7,,,,,,,2021
71,48,37,218,67.8,12,36.8,3,16.5,10,,,,,R34,6.6,61,176,70.49,176,68.65,,,,,,,,,2021
71,48,37,218,67.8,12,36.8,6,,,,,,,R35,9.4,76.5,143,63.49,138,62.82,139,60.74,133,62.12,,,,,2021
71,48,37,218,67.8,12,36.8,27,19.63,15,,,,,R36,7.39,55,,,,,140,69.25,,,,,,,2021
71,48,37,218,67.8,12,36.8,27,19.63,18.2,,,,,R37,7.69,52,191,71.79,168,67.22,149,64.81,,,,,,,2021
71,48,37,218,67.8,51,45.5,4,42.8,2.5,,,,,R38,6.09,31.2,152,66.68,136,63.32,,,,,,,,,2021
71,48,37,218,67.8,51,45.5,22,32.64,10,,,,,R39,4.91,34.5,180,69.7,86,53.54,,,,,,,,,2021
71,48,37,218,67.8,51,45.5,22,32.64,21,,,,,R40,6.76,36,125,62.42,126,61.62,,,,,,,,,2021
71,48,37,218,67.8,51,45.5,22,32.64,25,,,,,R41,7.49,52,174,69.13,165,68.06,185,70.86,,,,,,,2021
71,48,37,218,67.8,51,45.5,22,32.64,29.2,,,,,R42,7.34,41,180,70.55,187,70.14,167,68.28,,,,,,,2021
71,41,38,134,,,,,,,,,,,R43,12.4,122,114,59.11,125,56.99,131,60.37,140,62.6,145,65.09,,,2021
71,41,38,134,63.5,55,24.69,1.5,,,,,,,R44,5.22,65,150,64.28,98,54.47,53,42.82,,,,,,,2021
71,41,38,134,63.5,55,24.69,3.5,14.8,5,11.5,6.3,,,R45,6.54,52,103,55.38,109,57.63,,,,,,,,,2021
71,41,38,134,63.5,123,31.9,7,,,,,,,R46,12.7,95,157,65.8,145,62.86,135,60.62,173,68.11,,,,,2021
71,41,38,134,63.5,123,31.9,7,23.38,11,,,,,R47,5.6,51.5,97,56.01,108,57.37,123,59.3,,,,,,,2021
71,41,38,134,63.5,123,31.9,7,23.38,20,,,,,R48,5.09,23,97,54.46,,,,,,,,,,,2021
71,41,38,134,63.5,123,31.9,7,23.38,23.2,,,,,R49,4.8,28,136,61.97,125,61,82,53.25,,,,,,,2021
71,41,38,134,63.5,126,34.15,3,,,,,,,R50,8.4,72,122,59.33,118,59.4,129,61.81,,,,,,,2021
71,41,38,134,63.5,126,34.15,21.5,22.05,5.2,9.57,8,,,R51,4.66,32,146,63.46,156,67.06,105,58.16,,,,,,,2021
71,41,38,134,63.5,126,34.15,21.5,22.05,8.2,19.71,4.5,,,R52,5.05,29.5,142,64.48,,,,,,,,,,,2021
71,41,38,134,78.5,2,,,,,,,,,R53,13.6,125,151,64.7,166,67.11,127,60.91,131,60.7,106,56.75,119,59.37,2021
71,41,38,134,78.5,27,24.5,3,13.3,9,,,,,R54,5.21,60,102,57.4,76,50.34,77,51.48,48,42.21,,,,,2021
71,41,38,134,78.5,27,24.5,3,13.3,14.5,,,,,R55,6.6,76.3,150,65.02,105,57.03,123,59.39,115,58.63,74,50.52,,,2021
71,41,38,134,78.5,27,59.8,37,20.9,9,,,,,R56,5.83,36.2,154,67.45,126,58.79,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,48,16.5,3.9,,,,,R57,6.17,45,168,68.08,,,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,48,16.5,6.4,,,,,R58,7.5,70,181,69.52,80,49.66,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,67,50.9,34.5,,,,,R59,6.25,37,136,62.38,164,67.31,170,66.35,,,,,,,2021
71,41,38,134,78.5,27,59.8,67,50.9,43.5,,,,,R60,9.34,68,139,63.16,127,59.1,,,161,65.48,152,62.73,,,2021
71,41,38,134,78.5,27,59.8,67,50.9,47.7,,,,,R61,5.57,34.2,99,56.2,191,68.85,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,9.5,30.5,27,10.5,7,R62,9,67,209,71.95,168,66.43,133,60.72,,,,,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,9.5,30.5,34,,,R63,7.25,45,135,63.39,144,63.45,193,74.2,216,75.06,,,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,9.5,30.5,43,,,R64,9.78,79,171,67.52,141,62.51,183,69.67,155,65.64,194,71.62,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,7,R65,5.88,32,212,72.67,220,73.91,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,10.5,R66,6.5,32,145,63.95,128,62.14,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,23.5,R67,7.8,36,152,63.53,178,67.64,,,,,,,,,2021
71,41,38,134,78.5,27,59.8,85.5,50.72,14.5,41.71,18,30.5,31.5,R68,9.8,72,140,62.8,135,61.98,117,60.05,192,71.1,157,70.44,,,2021
71,41,38,202,65.5,12,22.6,6,7.72,5,,,,,R69,5.17,28,142,63.25,130,60.42,,,,,,,,,2021
71,41,38,202,65.5,12,22.6,18,7.72,0,,,,,R70,4.6,29.5,151,65.08,158,65.34,161,67.13,,,,,,,2021
71,41,38,202,65.5,18,35.8,3,22.6,3,12.5,3.5,,,R71,9.7,87,147,64,175,66.9,180,69.99,137,62.87,156,65.04,146,64.21,2021
71,41,38,202,65.5,18,35.8,3,22.6,8,,,,,R72,8.7,89,147,64.65,160,67.28,148,65.07,150,64.04,196,57.2,,,2021
71,41,38,202,65.5,29,12.38,2,,,,,,,R73,8.35,47,100,56.95,185,69.87,125,60.9,112,57.9,156,65.33,,,2021
71,41,38,202,65.5,29,12.38,2,,,,,,,R74,6.8,31,74,52.58,158,64.34,103,61.5,,,,,,,2021
71,41,38,202,65.5,59,28.9,6,12.6,6,,,,,R75,4.9,40.5,134,60.78,149,63.94,180,67.89,,,,,,,2021
71,41,38,202,65.5,59,12.38,15,7.02,4,,,,,R76,5,18,158,65.82,119,61.63,,,,,,,,,2021
71,41,38,202,65.5,59,13.38,15,8.02,6,,,,,R77,4.3,20,201,73.2,181,71.37,,,,,,,,,2021
71,41,38,202,65.5,63,44.25,14,36.9,2,,,,,R78,8.61,63,159,65.45,212,73.1,194,70.67,220,72.5,,,,,2021
71,41,38,202,65.5,63,44.25,14,36.9,9,14.9,19,9.27,8,R79,6.17,34,152,66.85,114,59.42,195,70.94,,,,,,,2021
71,53,31,129,39.7,30,24.4,3,9.39,4,,,,,R80,5.5,55,142,63.58,61,50.34,62,47.54,118,57.79,,,,,2021
71,53,31,129,39.7,30,24.4,8,,,,,,,R81,8.6,74,161,66.52,123,62.12,126,60.17,127,64.97,116,58.69,,,2021
71,53,31,129,39.7,30,24.4,8.5,,,,,,,R82,7.14,79,158,66.65,107,57.09,103,57.08,92,55.3,88,53.77,,,2021
71,53,31,165,34.8,9,14.3,2,,,,,,,R83,8.7,75,149,64.89,91,55.65,137,62.36,165,65.93,153,66.21,206,72.69,2021
71,53,31,165,34.8,14,16.6,5,15.3,7,6,13,,,R84,4.2,26,129,60.57,124,59.41,,,,,,,,,2021
71,53,31,259,65.55,14,10.12,4,,,,,,,R85,5.35,44,158,65.85,123,60.93,162,65.95,,,,,,,2021
71,53,31,259,65.55,31,39.23,15,11.7,11,,,,,R86,4.5,23,136,63.61,165,67.78,,,,,,,,,2021
71,53,31,259,65.55,31,39.23,15,11.7,22.5,,,,,R87,4.9,32,117,59.34,155,65.09,,,,,,,,,2021
71,53,31,259,65.55,31,39.23,38,27.3,8,17.76,13,,,R88,10.5,94,158,64.24,183,69.25,202,72.71,209,79.56,,,,,2021
71,53,31,259,65.55,31,39.23,61,27.3,8,17.76,17,,,R89,5.5,35,179,68.84,139,63.08,168,66.71,209,79.56,,,,,2021
71,53,31,259,65.55,31,39.23,65,24.9,2,,,,,R90,8.4,75,156,65.57,139,62.58,138,63.57,142,63.93,168,67.11,148,63.89,2021
71,53,31,259,65.55,31,39.23,65,24.9,15,13.7,6,,,R91,7.22,47,173,67.72,136,62.81,179,70.72,,,,,,,2021
71,53,31,259,52.39,2,15.1,5,,,,,,,R92,5.88,27,138,68.34,183,70.27,,,,,,,,,2021
71,53,31,259,52.39,2,15.1,6.5,,,,,,,R93,9.9,89,149,70.08,172,68.3,213,75.1,146,62.94,,,,,2021
71,53,31,259,52.39,2,15.1,14.9,,,,,,,R94,6.3,55,141,63.43,162,68.52,,,,,,,,,2021
71,53,31,259,52.39,32,52.7,28,21.7,3.5,15.27,15,6.47,3,R95,5.5,17,147,67.42,165,67.7,,,,,,,,,2021
71,53,31,259,52.39,32,52.7,28,21.7,3.5,15.27,19,8.4,10,R96,5.4,38,202,75.95,194,69.62,126,63.21,,,,,,,2021
71,53,31,259,52.39,32,52.7,28,21.7,10.5,12.38,21.5,,,R97,9.11,75.5,171,66.74,137,62.94,136,61.8,164,66.07,169,68.1,251,78.36,2021
71,53,31,259,52.39,32,52.7,33,32.43,15,20.38,4,,,R98,9.72,77,155,65.96,169,66.9,227,76.05,Tombé,,166,68.93,155,66.13,2021
71,53,31,259,52.39,32,52.7,33,32.43,18,22.88,6.5,,,R99,11.25,84.5,165,65.83,165,67.93,202,72.82,152,65.46,153,66.68,,,2021
71,53,31,259,52.39,32,52.7,33,32.43,18,22.88,19.5,,,R100,6.6,29,177,70.83,192,70.08,196,71.6,,,,,,,2021
71,52,37,87,32.22,8,20.7,13,,,,,,,R101,9.38,34,122,64.53,134,60.92,131,62.55,,,,,,,2021
71,52,37,87,32.22,8,20.7,13,10.16,10,,,,,R102,4,22,106,54.37,107,54.58,,,,,,,,,2021
71,52,37,87,32.22,8,20.7,13,10.16,20,,,,,R103,6.9,70,128,60.53,126,59.78,131,60.63,150,63.64,,,,,2021
71,52,37,98,33.5,7,13.4,5,,,,,,,R104,6.2,54,95,54.16,92,54.88,91,53.23,,,,,,,2021
71,52,37,98,33.5,7,13.4,14,8.5,6,,,,,R105,6.05,72,103,54.69,154,64.27,124,59.34,,,,,,,2021
71,52,37,143,22.3,16,17.33,4,17.9,1,13.7,13,,,R106,5.33,47,89,54.26,104,57.3,125,61.97,,,,,,,2021
71,52,37,143,22.3,16,17.33,4,17.9,1,13.7,21,,,R107,5.9,33,130,60.92,127,59.86,138,61.77,,,,,,,2021
71,52,37,143,22.3,16,17.33,4,17.9,3,9.39,13,,,R108,5.6,36,126,60.09,111,58.22,,,,,,,,,2021
71,52,37,184,65.8,9,13.7,2.5,,,,,,,R109,5.72,43,147,63.6,98,55.22,,,,,,,,,2021
71,52,37,184,65.8,9,22.26,3,,,,,,,R110,8.6,98,138,62.16,140,63.72,136,63.11,107,57.56,127,61.56,105,56.09,2021
71,52,37,184,65.8,9,22.26,12.5,,,,,,,R111,6.48,27.5,82,52.35,,,,,,,,,,,2021
71,52,37,184,65.8,50,11.7,4,,,,,,,R112,7.6,47.5,157,65.91,161,68.11,153,64.57,,,,,,,2021
71,52,37,184,65.8,54,26.44,27,9.42,20,,,,,R113,5.4,26,117,58.86,148,68.25,,,,,,,,,2021
71,52,37,184,65.8,54,26.44,40,8.5,19.5,,,,,R114,6.5,29.5,148,68.11,160,67.16,158,63.26,120,60.44,,,,,2021
71,52,37,202,62.73,32,29.11,22,,,,,,,R115,6.7,55,123,59.81,138,62.39,135,61.42,124,,,,,,2021
71,52,37,202,62.73,32,29.11,37,,,,,,,R116,7,47,129,62.52,63,47.77,134,63.07,154,65.78,169,67.64,126,61.56,2021
71,52,37,202,62.73,32,29.11,42,,,,,,,R117,13.8,99,142,64.19,124,59.89,168,67.82,145,64.72,149,63.93,150,65.9,2021
71,52,37,202,62.73,32,29.11,46,17.8,2.5,8.38,4,,,R118,6.6,45,165,66.3,,,,,,,,,,,2021
71,52,37,202,62.73,32,29.11,46,17.8,15,12.4,16,,,R119,7.89,56.5,117,58.08,125,65.23,161,66.73,136,62.26,,,,,2021
71,52,37,202,62.73,56,13.14,8.5,7.9,10.5,,,,,R120,5.5,22,134,62.68,,,,,,,,,,,2021
71,52,37,202,62.73,56,13.14,22,13.8,8,9.11,10,,,R121,5,38,163,73.28,158,70.75,154,65.66,,,,,,,2021
71,52,37,202,62.73,73,37.9,1.5,,,,,,,R122,10.39,76,152,65.07,174,67.89,157,65.28,222,73.19,,,,,2021
71,52,37,202,62.73,73,37.9,26.5,18.27,9,,,,,R123,6.6,46,159,67.71,172,67.88,,,,,,,,,2021
71,52,37,202,62.73,73,37.9,26.5,18.27,12,,,,,R124,5.9,59,165,68.26,179,67.8,189,71.31,169,67.35,72,49.34,,,2021
71,52,37,227,56.47,17,19.06,15,,,,,,,R125,10.8,73,162,68.1,137,61.85,143,66.25,Tombé,,,,,,2021
71,52,37,227,56.47,17,19.06,32,13,11,9.99,19,,,R126,6.24,43,163,65.19,212,72.84,151,65.14,,,,,,,2021
71,52,37,227,56.47,17,19.06,32,13,11,9.99,22.5,,,R127,4.8,27,166,73.61,,,,,,,,,,,2021
71,52,37,227,56.47,17,54.17,4,,,,,,,R128,10.3,73,210,73.42,166,68.24,185,69.06,172,68.96,218,76.39,,,2021
71,52,37,227,56.47,17,54.17,15,,,,,,,R129,5.27,38,126,60.86,174,68.94,142,61.6,187,71.5,,,,,2021
70,50,35,96,24,5,19.7,13,17.3,1,,,,,R1,7.8,80,105,56.69,99,56.58,103,56.31,56,53.77,72,49.08,64,46.6,2021
70,50,35,96,24,5,19.7,13,20.8,2,,,,,R2,6.4,24,83,51.77,76,50.96,82,50.61,,,,,,,2021
70,50,35,96,24,5,19.7,13,20.8,5,14.2,4,,,R3,6.7,41,79,53.37,70,48.13,71,48.23,57,45.28,67,48.95,,,2021
70,50,35,96,24,5,19.7,13,20.8,5,14.2,12,8.8,4.5,R4,4,23,,,,,,,,,,,,,2021
70,50,35,75,21.6,3,,,,,,,,,R5,4.8,33,93,51.75,79,49.41,,,,,,,,,2021
70,50,35,77,23,9.5,,,,,,,,,R6,7.4,58,19,30,21,31.45,23,31.5,17,28,,,,,2021
70,50,35,77,23,9.5,12.27,1,,,,,,,R7,6.6,60.5,23,32.36,29,34.25,23,33.36,,,,,,,2021
70,50,35,77,23,9.5,19.44,2,18.5,10,8.04,10,,,R8,3.6,22,27,34.41,22,32.46,29,34.87,,,,,,,2021
70,50,35,144,59.3,23,54.1,41,11.75,9,,,,,R9,5.6,35,,,,,,,,,,,,,2021
70,50,35,144,59.3,23,54.1,76,16.3,1,,,,,R10,5.9,29,,,,,,,,,,,,,2021
70,50,35,144,59.3,23,54.1,76,16.3,2.25,,,,,R11,5.5,37,,,,,,,,,,,,,2021
70,50,35,144,59.3,23,54.1,76,16.3,15.75,9,3,,,R12,5.5,29,,,,,,,,,,,,,2021
70,50,35,144,59.3,23,54.1,76,16.3,15.75,10,6,,,R13,5.03,22,,,,,,,,,,,,,2021
70,71,40.5,77,20,7,11.6,30,,,,,,,R14,5.16,27,112,58.09,103,56.04,129,62.08,,,,,,,2021
70,71,40.5,77,20,9.5,12.5,17,,,,,,,R15,6.39,81.5,157,71.07,183,68.35,137,62.55,146,63.44,51,47.1,163,66.43,2021
70,71,40.5,77,20,9.5,12.5,27,,,,,,,R16,8.29,95,160,65.72,147,63.83,160,66.03,173,68.56,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,38.07,49,7.14,2,,,R17,4.42,27.3,138,62.9,141,62.73,121,64.52,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,38.07,54,10,5,,,R18,6.12,57,174,68.93,141,66.64,164,66.55,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,38.07,54,10,21,,,R19,6.31,55.5,162,67.46,143,64.83,136,61.91,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,17,29.4,2,12.77,8.5,5.5,R20,5.71,15,152,66.51,154,64.68,,,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,17,29.4,2,12.77,8.5,12.5,R21,4.14,16.7,,,,,,,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,17,32.4,16.03,10,,,R22,5.8,46,182,71.21,164,64.75,166,66.66,156,64.44,165,67.83,,,2021
70,71,40.5,97,74.2,74,79.8,9,17,32.4,16.03,13.3,9.35,10.5,R23,5,19,132,60.53,153,70.23,130,62.15,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,9,17,32.4,16.03,13.3,9.35,33.5,R24,6.8,33.7,158,67.49,147,64.95,158,65.38,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,20,24.6,4,,,,,R25,5.41,28.7,181,70.76,140,64.42,,,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,20,24.6,12,19.5,25.7,,,R26,5.85,19.3,176,70.16,,,,,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,20,24.6,12,19.5,38.7,,,R27,8.18,68,156,66.94,,,,,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,50,13.75,5,,,,,R28,6.1,25,144,64.66,149,66.28,125,62.1,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,65,22.42,13,9.04,12,,,R29,6.9,54,197,71.34,163,72.36,154,65.67,152,64.31,182,74.95,198,71.26,2021
70,71,40.5,97,74.2,74,79.8,65,22.42,34,9.18,9,,,R30,7.8,58,171,67.11,171,66.95,224,75.69,174,69.58,166,74.2,186,76.6,2021
70,71,40.5,97,74.2,74,79.8,67,25.18,2.5,,,,,R31,7.5,54,,,211,73.04,,,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,74,44.6,9,30.39,22,16.14,2,R32,6.26,35,149,66.02,175,74.67,164,66.15,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,74,44.6,9,30.39,22,16.14,9,R33,6.12,39,155,65.48,210,74.3,189,75.67,,,,,,,2021
70,71,40.5,97,74.2,74,79.8,74,44.6,9,30.39,22,16.14,11.5,R34,4.88,27,144,63.68,182,69.87,143,64.34,,,,,,,2021
70,71,40.5,127,41.7,4,19.5,3.5,,,,,,,R35,5.13,39,198,70.25,141,62.73,163,67.08,,,,,,,2021
70,71,40.5,127,41.7,4,19.5,14.5,,,,,,,R36,8.44,40,132,62.16,184,68.79,126,60.43,,,,,,,2021
70,71,40.5,127,41.7,4,19.5,18,13.8,8,,,,,R37,5.6,35,134,65.89,145,65.99,140,64.35,,,,,,,2021
70,71,40.5,127,41.7,4,19.5,18,13.8,12,,,,,R38,7,45,188,71.87,138,62.23,,,,,,,,,2021
70,71,40.5,187,34.5,12,27.5,4,19.6,1,11.5,10,7.28,9,R39,4.5,14,,,,,,,,,,,,,2021
70,71,40.5,187,34.5,12,27.5,4,19.6,1,11.5,10,7.28,23,R40,4.5,16,168,68.13,167,66.44,,,,,,,,,2021
70,71,40.5,187,34.5,12,27.5,4,19.6,7,,,,,R41,5,17,141,65.57,169,75.21,160,65.25,,,,,,,2021
70,71,40.5,187,34.5,12,27.5,4,19.6,11,,,,,R42,5.7,31,138,63.73,,,,,,,,,,,2021
70,71,40.5,187,34.5,63,26.4,18,25.4,4,20,6,,,R43,6.33,26,201,71.46,171,69.21,187,71.12,,,,,,,2021
70,71,40.5,187,34.5,63,26.4,18,25.4,4,20,8.5,9.8,6,R44,5.9,27,178,69.43,150,65.77,138,63.34,,,,,,,2021
70,71,40.5,187,34.5,63,26.4,18,25.4,4,20.15,14,9.3,12,R45,6.4,41,141,63.17,210,74.09,139,62.61,,,,,,,2021
