,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar4,LChar4,Sum
64,65.5,43.0,37.5,57.0,20.0,18.0,,,,,0.5270547780921573
65,65.5,43.0,37.5,57.0,20.0,9.0,12.0,16.0,,,0.55211645635104
66,65.5,43.0,37.5,57.0,20.0,9.0,,5.0,,,0.5133754642129642
67,65.5,43.0,37.5,57.0,20.0,9.0,,23.0,,,0.5244812902451359
68,65.5,43.0,37.5,57.0,43.5,43.0,13.0,7.0,,,0.585706793526293
69,65.5,43.0,37.5,57.0,43.5,43.0,33.5,30.0,,,0.4988914848114655
70,65.5,43.0,37.5,57.0,43.5,43.0,,,,,0.6112476072020196
71,65.5,43.0,37.5,42.0,90.0,14.0,35.0,3.5,,,0.6407319086312457
72,65.5,43.0,37.5,42.0,90.0,14.0,,13.0,,,0.7789167327890872
73,65.5,43.0,37.5,42.0,90.0,14.0,,13.0,,,0.5429574670700749
74,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.6320020364962096
75,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.7173182118575824
76,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.47949338922403195
77,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.5192067011411847
78,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.5157894607798805
79,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.6666170815881715
80,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.5424465407354121
81,65.5,43.0,37.5,42.0,90.0,14.0,,,,,0.7000659768815422
82,65.5,43.0,37.5,167.0,49.0,21.0,10.0,10.5,,,0.6315956845652073
83,65.5,43.0,37.5,167.0,49.0,7.5,,,,,0.6225766770577154
84,65.5,43.0,37.5,167.0,49.0,7.5,,,,,0.5859901289479776
85,65.5,43.0,37.5,167.0,49.0,13.0,,,,,0.7016151766630766
86,65.5,43.0,37.5,167.0,49.0,33.0,9.0,7.5,,,0.5273107002534637
87,65.5,43.0,37.5,167.0,49.0,19.0,13.0,13.0,,,0.5496966447634313
88,65.5,43.0,37.5,167.0,49.0,19.0,,13.0,,,0.5557517320299704
89,65.5,43.0,37.5,167.0,56.0,59.0,49.0,5.5,15.0,10.5,0.6631088865169911
90,65.5,43.0,37.5,167.0,56.0,59.0,,,,1.5,0.5480390836806248
91,65.5,43.0,37.5,167.0,56.0,59.0,,,15.0,10.0,0.5756203522691035
92,65.5,43.0,37.5,167.0,56.0,59.0,,,,3.5,0.5439527540605724
93,65.5,43.0,37.5,167.0,56.0,59.0,,,,4.0,0.6157274476306761
94,65.5,43.0,37.5,167.0,56.0,59.0,,0.0,,,0.567094321104079
95,65.5,43.0,37.5,167.0,56.0,59.0,,,,,0.5654066427863065
96,65.5,43.0,37.5,167.0,56.0,59.0,,,,,0.6568419223698082
97,65.5,43.0,37.5,167.0,56.0,59.0,,,,,0.596361878186678
98,65.5,43.0,37.5,167.0,56.0,32.0,48.5,7.0,,,0.48762616749918875
99,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5825973908034972
100,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5262501125698517
101,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5173160529232466
102,65.5,43.0,37.5,167.0,56.0,32.0,,34.0,,,0.5246407815252407
103,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5147539820908871
104,65.5,43.0,37.5,167.0,56.0,32.0,,,,,0.5941080637291914
105,65.5,43.0,37.5,104.0,29.0,4.0,9.0,7.0,,,0.6478159174430775
106,65.5,43.0,37.5,104.0,29.0,36.0,,,,,0.5313742195634874
107,65.5,43.0,37.5,104.0,29.0,5.0,10.0,13.0,,,0.5970985946920714
108,65.5,43.0,37.5,104.0,29.0,5.0,,33.0,,,0.5210403220624602
109,65.5,43.0,37.5,53.0,40.0,5.0,32.0,12.0,,,0.5816958486914178
110,65.5,43.0,37.5,53.0,40.0,5.0,,,18.0,22.0,0.5310781057036845
111,65.5,43.0,37.5,53.0,40.0,5.0,,,,18.0,0.5080791111151246
112,65.5,43.0,37.5,53.0,40.0,5.0,,,,9.5,0.5249851254232389
113,65.5,43.0,37.5,53.0,71.0,7.5,39.0,22.0,,,0.7273799499308883
114,65.5,43.0,37.5,53.0,71.0,7.5,,9.0,,,0.5415387574936559
115,65.5,43.0,37.5,53.0,71.0,7.5,,50.0,,,0.538320095404434
116,65.5,43.0,37.5,53.0,71.0,7.5,,,,,0.5342967677929066
117,65.5,43.0,37.5,53.0,71.0,7.5,,,,,0.5729207128635697
118,65.5,43.0,37.5,53.0,71.0,7.5,,,,,0.7652380313768464
119,65.5,43.0,37.5,48.0,71.0,26.0,66.0,34.0,11.0,4.0,0.6140749702742682
120,65.5,43.0,37.5,48.0,71.0,26.0,,,,,0.728968651122235
121,65.5,43.0,37.5,48.0,71.0,26.0,,,,,0.49588643454728665
122,65.5,43.0,37.5,48.0,71.0,26.0,,23.0,28.0,18.0,0.49365815182037054
123,65.5,43.0,37.5,48.0,71.0,26.0,,,,6.0,0.7728820208223407
124,65.5,43.0,37.5,48.0,71.0,26.0,,,,12.0,0.5812237257171937
125,65.5,43.0,37.5,48.0,71.0,26.0,,,31.0,,0.5391247609267394
126,65.5,43.0,37.5,48.0,71.0,26.0,,,,,0.5785369575215532
127,65.5,43.0,37.5,48.0,71.0,26.0,,,38.0,10.0,0.5695512430941676
128,65.5,43.0,37.5,48.0,71.0,26.0,,,11.0,2.5,0.6287015513259024
129,59.0,55.0,34.0,30.0,24.0,5.0,,,,,0.4826959746338554
130,59.0,55.0,34.0,30.0,,25.5,,,,,0.49267695860544114
131,59.0,55.0,34.0,41.0,60.5,40.0,33.0,11.5,,,0.4582059254115832
132,59.0,55.0,34.0,41.0,,,,,,,0.5013054813783818
133,59.0,55.0,34.0,41.0,,,,,,,0.5013054813783818
134,59.0,55.0,34.0,41.0,,,,,,,0.5246407815252407
135,59.0,55.0,34.0,41.0,,,,,,,0.48682150197688323
136,59.0,55.0,34.0,41.0,,,,,,,0.5069381400345202
137,59.0,55.0,34.0,41.0,,,,,,,0.4899218876552063
138,59.0,55.0,34.0,50.0,39.0,8.5,24.5,8.0,,,0.48682150197688323
139,59.0,55.0,34.0,50.0,,,,7.0,17.0,2.0,0.4791111523121272
140,59.0,55.0,34.0,50.0,,,,,,3.0,0.4939050235682375
141,59.0,55.0,34.0,50.0,,,,,,,0.46509553287463523
142,59.0,55.0,34.0,50.0,,,,,,,0.4100224541496451
143,59.0,55.0,34.0,46.0,53.0,8.5,,,,,0.5956768182475921
144,59.0,55.0,34.0,46.0,,,22.0,23.0,,,0.4711046887875686
145,59.0,55.0,34.0,46.0,,,,23.5,,,0.5104046859453495
146,59.0,55.0,34.0,46.0,,,,4.0,,,0.47298371998829514
147,59.0,55.0,34.0,46.0,,,,8.0,,,0.5144038985377793
148,59.0,55.0,34.0,46.0,,,,19.0,,,0.5576320679397655
149,59.0,55.0,34.0,46.0,,30.5,9.0,8.0,,,0.5389936124608693
150,59.0,55.0,34.0,46.0,,11.5,21.0,6.5,,,0.4951562327200416
151,59.0,55.0,34.0,46.0,,,,21.0,,,0.5310781057036845
152,59.0,55.0,34.0,46.0,,,,9.5,,,0.6204348656690205
153,59.0,55.0,34.0,9.0,53.0,13.0,,,,,0.5540620175883672
154,59.0,55.0,34.0,9.0,,,27.0,26.0,,,0.4996961503337709
155,59.0,55.0,34.0,9.0,,,,5.0,,,0.6359094562252638
156,59.0,55.0,34.0,9.0,,,,3.5,,,0.5088931928402052
157,59.0,55.0,34.0,9.0,,,,10.0,,,0.5233677560389288
158,59.0,55.0,34.0,9.0,,,,6.0,,,0.49628778458509293
159,59.0,55.0,34.0,9.0,,,,5.5,,,0.5372605016963428
160,59.0,55.0,34.0,9.0,,,,12.0,,,0.5278594436144627
161,59.0,55.0,34.0,50.0,72.0,6.5,43.0,35.5,13.0,6.5,0.5469245263037078
162,59.0,55.0,34.0,50.0,,,,,,6.5,0.46259459944738623
163,59.0,55.0,34.0,50.0,,,,,25.0,10.5,0.6698293543842665
164,59.0,55.0,34.0,50.0,,,,,,3.5,0.6039352032919085
165,59.0,55.0,34.0,50.0,,,,,,11.0,0.5755343632138981
166,59.0,55.0,34.0,50.0,,,,,,8.0,0.5519994092836271
167,59.0,55.0,34.0,50.0,,,,,,12.0,0.6035571826489955
168,59.0,55.0,34.0,50.0,,,,,,3.5,0.6611035354389335
169,59.0,55.0,34.0,50.0,,20.0,32.0,39.0,,,0.5726874670153955
170,59.0,55.0,34.0,50.0,,,,,,,0.6119357899747577
171,59.0,55.0,34.0,50.0,,,,,,,0.684816732655335
172,59.0,55.0,34.0,50.0,,,,,,,0.6522051131019871
173,59.0,55.0,34.0,50.0,,,,,,,0.692414826000534
174,59.0,55.0,34.0,50.0,,7.0,17.0,5.0,,,0.6309252381363024
175,59.0,55.0,34.0,50.0,,18.0,32.0,3.0,,,0.5101568021237421
176,59.0,55.0,34.0,104.0,15.0,2.0,,,,,0.5207204604255584
177,59.0,55.0,34.0,24.0,20.0,7.0,,,,,0.5061334745122147
178,59.0,55.0,34.0,24.0,,9.5,,,,,0.5160293062617887
179,59.0,55.0,34.0,24.0,,14.0,10.0,7.0,,,0.5308068613027045
180,59.0,55.0,34.0,24.0,,,,3.0,,,0.5388929769299613
181,59.0,55.0,34.0,18.0,80.0,9.5,21.0,30.0,,,0.6179906678788176
182,59.0,55.0,34.0,18.0,,,,-11.0,,,0.5193911561889925
183,59.0,55.0,34.0,18.0,,5.0,25.0,6.5,,,0.5045103654727949
184,59.0,55.0,34.0,18.0,,,,,11.0,15.0,0.43772312712144
185,59.0,55.0,34.0,18.0,,13.0,4.5,17.0,11.5,10.0,0.5365040662122327
186,59.0,55.0,34.0,18.0,,,,,,4.5,0.5206174539137135
187,59.0,55.0,34.0,18.0,,,,4.0,,,0.6911908305766088
188,59.0,55.0,34.0,18.0,,,,9.0,,,0.8363711987537715
189,59.0,55.0,34.0,18.0,,,,,,,0.5075561723479749
190,59.0,55.0,34.0,18.0,,,,,12.0,4.0,0.669476995171532
191,59.0,55.0,34.0,18.0,,,,,32.0,12.5,0.596802429760983
192,59.0,55.0,34.0,18.0,,,,,,,0.7137790056691983
193,59.0,55.0,34.0,86.0,36.0,6.0,16.5,14.0,,,0.48313447992365466
194,59.0,55.0,34.0,86.0,,,,24.5,,,0.48118884332074485
195,59.0,55.0,34.0,86.0,,27.0,,,,,0.4815090721996451
196,59.0,55.0,34.0,86.0,,33.0,,,,,0.5657198763314771
197,59.0,55.0,34.0,86.0,,6.0,,,,,0.507234253894323
198,59.0,55.0,34.0,86.0,,25.0,16.0,11.0,,,0.4758173475741708
199,59.0,55.0,34.0,20.0,55.0,26.0,,,,,0.5157894607798805
200,59.0,55.0,34.0,20.0,,9.0,,,,,0.48718996089397903
201,59.0,55.0,34.0,20.0,,19.5,,,,,0.4919025673399615
202,59.0,55.0,34.0,20.0,,11.0,21.0,12.0,,,0.5252869789381513
203,59.0,55.0,34.0,20.0,,,,10.0,,,0.4844075054099667
204,59.0,55.0,34.0,20.0,,,,9.5,,,0.4779701812315229
205,59.0,55.0,34.0,20.0,,,,14.5,,,0.5155666859528917
206,59.0,55.0,34.0,50.0,45.0,17.5,23.5,2.5,5.0,6.0,0.48843083302149415
207,59.0,55.0,34.0,50.0,,,,2.0,,,0.5433991246436817
208,59.0,55.0,34.0,50.0,,,,,,,0.4882794847623282
209,59.0,55.0,34.0,50.0,,70.0,22.0,6.0,,,0.48664421193726815
210,59.0,55.0,34.0,50.0,,16.0,18.0,5.0,,,0.5288718012598794
211,59.0,55.0,34.0,50.0,,19.0,20.0,16.5,,,0.4899218876552063
212,59.0,55.0,34.0,50.0,,,,,11.5,5.0,0.6100423518341247
213,59.0,55.0,34.0,50.0,,2.0,25.0,3.5,,,0.5115566897699412
214,59.0,55.0,34.0,50.0,,,,,,,0.5346072398078016
215,59.0,55.0,34.0,24.0,19.0,12.0,10.5,2.0,,,0.5871146561071849
216,59.0,55.0,34.0,24.0,,9.0,14.0,10.0,,,0.5182032710092805
217,59.0,55.0,34.0,71.0,14.0,6.5,,,,,0.5638578079147272
218,59.0,55.0,34.0,5.0,38.0,10.5,24.0,25.0,,,0.7417318640221778
219,59.0,55.0,34.0,5.0,,,,,,,0.7355446930213484
220,59.0,55.0,34.0,5.0,,,,,24.0,8.0,0.49628778458509293
221,59.0,55.0,34.0,5.0,,,,,,4.5,0.6246785825441445
222,59.0,55.0,34.0,5.0,,,,,,20.0,0.48386680038866714
223,59.0,55.0,34.0,5.0,,,,,,7.5,0.9279284618331248
224,59.0,55.0,34.0,10.0,69.0,22.0,38.0,7.0,,,0.6349154096426389
225,59.0,55.0,34.0,10.0,,,,4.0,,,0.7956473883109206
226,59.0,55.0,34.0,10.0,,,,,,,0.5801627025643189
227,59.0,55.0,34.0,10.0,,,,,,,0.601431502326067
228,59.0,55.0,34.0,10.0,,,,,,,0.5902639277524147
229,59.0,55.0,34.0,10.0,,,,,,,0.5385358258672445
230,59.0,55.0,34.0,13.0,,,,,,,0.5342967677929066
231,59.0,55.0,34.0,3.0,22.0,6.0,18.0,33.5,,,0.5252946730608148
232,59.0,55.0,34.0,3.0,,,,5.0,,,0.5722992682676656
