Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre7/ligne7,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
75.5,44,38.5,49,68.5,33,50.5,4,,,,,,,R1,8.86,93,87,52.97,165,67.19,130,60.39,137,61.97,,,,,,,,,,,,,,,4,519,132,61.61
75.5,44,38.5,49,68.5,33,50.5,5,16.7,13,16.6,                                                                                                                                                                                                                                                                                                                            ,,,R2,4.42,42.5,98,55.56,70,48.89,87,53.54,,,,,,,,,,,,,,,,,3,255,146,64.01
75.5,44,38.5,49,68.5,33,50.5,5,16.7,13,16.6,,13.31,10,R3,4.6,23,83,50.48,67,48.13,49,42.22,93,52.57,,,,,,,,,,,,,,,4,292,127,59.82
75.5,44,38.5,91,29,38,,,,,,,,,R4,11.38,113,183,69.34,143,63.82,128,60.32,,,,,,,,,,,,,,,,,3,454,109,58.27
75.5,44,38.5,91,29,74,,,,,,,,,R5,11.21,96,154,65.84,133,61.5,,,,,,,,,,,,,,,,,,,2,287,79,49.67
75.5,44,38.5,91,29,96.5,,,,,,,,,R6,7,43,,,,,,,,,,,,,,,,,,,,,,,0,0,85,52.32
75.5,44,38.5,91,29,123.5,,,,,,,,,R7,4.7,53,130,62.43,126,60.5,,,,,,,,,,,,,,,,,,,2,256,,
75.5,44,38.5,91,68.6,39,20.5,12,16.92,4,,,,,R8,9.3,77,157,66.19,89,53.36,107,58.01,128,61.04,107,57.44,143,69.4,,,,,,,,,,,6,731,,
75.5,44,38.5,91,68.6,39,20.5,12,16.92,16.5,9.41,5,,,R9,4.9,17,96,56.04,107,56.62,116,58.29,,,,,,,,,,,,,,,,,3,319,,
75.5,44,38.5,91,68.6,39,20.5,12,16.92,16.5,9.41,29.3,,,R10,6.35,35,103,56.11,94,55.17,104,56.03,,,,,,,,,,,,,,,,,3,301,,
75.5,44,38.5,91,68.6,48,17.5,10.5,7.42,3,,,,,R11,4.53,27,104,56.7,95,55.58,,,,,,,,,,,,,,,,,,,2,199,,
75.5,44,38.5,91,68.6,111,67.1,21,,,,, ,,R12,5.8,42.2,139,63.71,,,,,,,,,,,,,,,,,,,,,1,139,,
75.5,44,38.5,91,68.6,111,67.1,44,42.9,5,23.8,6,, ,R13,8.49,62,183,70.25,127,59.97,189,68.19,,,,,,,,,,,,,,,,,3,499,,
75.5,44,38.5,91,68.6,111,67.1,44,42.9,5,23.8,8.5,,,R14,10.5,114,120,59.33,159,66.01,243,76.12,157,66.86,164,68.11,,,,,,,,,,,,,5,843,,
75.5,44,38.5,91,68.6,111,67.1,44,42.9,5,23.8,12,,,R15,8.13,77,106,56.72,111,57.52,175,68.05,,,,,,,,,,,,,,,,,3,392,,
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,16.2,13,,,R16,6.86,32,82,51.39,144,65,115,58.6,143,64.07,,,,,,,,,,,,,,,4,484,,
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,16.2,18.5,,,R17,6.48,26,131,61.12,,,,,,,,,,,,,,,,,,,,,1,131,,
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,16.2,51.5,,,R18,6.14,39,120,60.94,144,63.29,162,67.31,,,,,,,,,,,,,,,,,3,426,,
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,40.8,34.5,31.5,19.5,R19,8.77,73.5,176,67.81,,,,,,,,,,,,,,,,,,,,,1,176,,
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,40.8,34.5,31.5,33,R20,7.6,48.5,190,71.07,,,,,,,,,,,,,,,,,,,,,1,190,,
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,40.8,34.5,31.5,35.5,R21,10.8,69.5,133,63.63,180,66.67,140,63.08,,,,,,,,,,,,,,,,,3,453,,
75.5,44,38.5,176,76.5,13,,,,,,,,,R22,10.81,84.5,191,72.07,120,58.43,,,,,,,,,,,,,,,,,,,2,311,,
75.5,44,38.5,176,76.5,13,63.5,15.5,32.6,6.8,,,,,R23,10.6,75,112,58.46,124,59.96,172,76.49,104,57.53,,,,,,,,,,,,,,,4,512,,
