Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre12/ligne8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
71,55,37,70,50,104,23.75,3,,,,,,,R31,7.78,68,146,63.39,138,62.39,151,64.61,,,,,,,,,,,,,,,,,3,435,,
71,55,37,70,50,104,23.75,12,,,,,,,R32,10.13,51,79,50.81,84,52.21,150,64.07,140,63.51,,,,,,,,,,,,,,,4,453,,
71,55,37,70,50,104,23.75,35,,,,,,,R33,7,14.5,150,62.93,151,66.33,,,,,,,,,,,,,,,,,,,2,301,,
71,55,37,70,50,104,23.75,40,,,,,,,R34,8.7,82.5,139,61.77,130,59.19,120,57.87,78,50.79,,,,,,,,,,,,,,,4,467,,
71,55,37,70,50,104,23.75,40,14.11,5,,,,,R35,7.6,46,153,65.4,,,,,,,,,,,,,,,,,,,,,1,153,,
71,55,37,200,72.35,48,76.7,22,40.5,2.5,,,,,R36,4.28,36,99,56.46,,,,,,,,,,,,,,,,,,,,,1,99,,
71,55,37,200,72.35,48,76.7,22,40.5,10.5,,,,,R37,4.44,37,176,69.5,,,,,,,,,,,,,,,,,,,,,1,176,,
71,55,37,200,72.35,48,76.7,22,40.5,17.5,24.9,15,,,R38,7.44,69,66,49.05,166,68.4,159,68.02,224,76.5,217,73.58,,,,,,,,,,,,,5,832,,
71,55,37,200,72.35,48,76.7,22,40.5,21.5,,,,,R39,5.7,27,209,72.78,,,,,,,,,,,,,,,,,,,,,1,209,,
71,55,37,200,72.35,48,76.7,22,40.5,25.5,9.5,3,8.14,4.5,R40,6.17,43,135,63.92,,,,,,,,,,,,,,,,,,,,,1,135,,
71,55,37,200,72.35,48,76.7,22,60.55,5,,,,,R41,6.76,49,120,59.74,84,53.47,153,65.44,,,,,,,,,,,,,,,,,3,357,,
71,55,37,200,72.35,48,76.7,22,60.55,17,18.15,7,,,R42,6.99,43.5,193,69.12,,,,,,,,,,,,,,,,,,,,,1,193,,
71,55,37,200,72.35,48,76.7,22,60.55,17,18.15,10,9.7,5,R43,5.18,28,185,70.91,169,67.47,,,,,,,,,,,,,,,,,,,2,354,,
71,55,37,200,72.35,48,76.7,22,60.55,46,45.8,6,32.25,2,R44,6,28,167,67.31,,,,,,,,,,,,,,,,,,,,,1,167,,
71,55,37,200,72.35,48,76.7,22,60.55,46,45.8,6,32.25,2,R45,5.66,31.3,168,70.02,,,,,,,,,,,,,,,,,,,,,1,168,,
71,55,37,200,72.35,48,76.7,22,60.55,46,45.8,12,26.7,14,R46,8,72,152,65.99,179,70.03,171,68.47,106,58.29,194,71.15,,,,,,,,,,,,,5,802,,
71,55,37,200,72.35,48,76.7,22,60.55,46,45.8,12,26.7,18.5,R47,6,49,189,72.47,206,73.11,,,,,,,,,,,,,,,,,,,2,395,,
71,55,37,200,72.35,48,76.7,22,60.55,53,25.8,3,,,R48,4.7,18,148,65.68,184,69.24,,,,,,,,,,,,,,,,,,,2,332,,
