Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre10/ligne7,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,44,15.36,1.9,,,R27,7.17,35,135,62.62,100,57.31,,,,,,,,,,,,,,,,,,,2,235,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,28.17,12,,,R28,4.8,34,111,58.89,129,62.39,,,,,,,,,,,,,,,,,,,2,240,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,28.17,39,,,R29,8.41,60,179,69.79,136,62.85,,,,,,,,,,,,,,,,,,,2,315,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,28.17,42,,,R30,7.97,51,131,61.34,172,70.18,,,,,,,,,,,,,,,,,,,2,303,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,29.71,5.4,,,R31,8.58,60,151,65.95,135,62.15,151,64.44,120,61.29,,,,,,,,,,,,,,,4,557,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,29.71,10.600000000000001,24.3,2.5,R32,8.25,50,146,65.49,126,61.55,,,,,,,,,,,,,,,,,,,2,272,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,29.71,10.600000000000001,24.3,23.5,R33,8.41,47,105,57.64,117,58.3,155,65.09,,,,,,,,,,,,,,,,,3,377,,
69.5,49,35.4,178.5,67.15,7,56.26,4,40.15,62,29.71,10.600000000000001,24.3,37.5,R34,16.13,91.5,159,65.47,110,58.3,189,69.5,234,76.59,,,,,,,,,,,,,,,4,692,,
69.5,49,35.4,224.5,80.06,6,,,,,,,,,R35,9.16,62,169,68.36,156,64.45,164,66.21,143,62.5,139,62.34,,,,,,,,,,,,,5,771,,
69.5,49,35.4,224.5,80.06,9,45.6,36,9.6,15.2,,,,,R36,6.5,46,128,62.92,165,67.47,152,64.74,,,,,,,,,,,,,,,,,3,445,,
69.5,49,35.4,224.5,80.06,9,45.6,48,32.7,2,9.95,14,,,R37,6.5,28,158,64.02,115,60.22,158,66.41,175,67.89,,,,,,,,,,,,,,,4,606,,
69.5,49,35.4,224.5,80.06,9,45.6,48,32.7,45,27.4,0,,,R38,6.4,28,181,68.09,186,70.48,,,,,,,,,,,,,,,,,,,2,367,,
69.5,49,35.4,224.5,80.06,9,45.6,48,32.7,45,27.4,25,17.4,10,R39,9.8,66.5,135,61.5,196,71.49,162,67.5,199,72.3,,,,,,,,,,,,,,,4,692,,
69.5,49,35.4,224.5,80.06,9,45.6,48,32.7,45,27.4,29,16.26,11,R40,13.2,72,144,64.31,115,58.48,162,64.83,162,66.25,202,78.62,130,64.02,,,,,,,,,,,6,915,,
69.5,49,35.4,224.5,80.06,31,43.4,7,,,,,,,R41,22.5,122,130,61.87,136,62.06,97,55.58,154,65.15,138,63.12,196,72.16,147,63.32,130,61.27,,,,,,,8,1128,,
69.5,49,35.4,224.5,80.06,31,43.4,41,22.8,3,14.9,1,,,R42,25.9,35,147,65.21,154,65.53,144,64.47,149,69.47,,,,,,,,,,,,,,,4,594,,
