Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre9/ligne10 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre_fruit,RDT,Poids ,diamètre 
65.5,59,28,147,44.4,17,15.7,4,12.12,21,,,,,R1,6.02,46,103,56.22,,,,,,,,,,,,,,,,,,,,,1,103,168,68.18
65.5,59,28,147,44.4,17,15.7,4,12.12,37.3,,,,,R2,4.8,45,133,60.6,120,59.38,,,,,,,,,,,,,,,,,,,2,253,153,66.27
65.5,59,28,147,44.4,17,13.8,8,,,,,,,R3,7,57,192,54.43,113,59.15,107,57.33,,,,,,,,,,,,,,,,,3,412,,
65.5,59,28,221,18.49,8,,,,,,,,,R4,7.8,86.5,137,63.41,148,64.7,,,,,,,,,,,,,,,,,,,2,285,,
65.5,59,28,221,18.49,13,,,,,,,,,R5,6,66,153,65.49,,,,,,,,,,,,,,,,,,,,,1,153,,
65.5,59,28,221,18.49,18,,,,,,,,,R6,8.5,81,,,,,,,,,,,,,,,,,,,,,,,0,0,,
65.5,59,28,225,59,4,13.27,9,,,,,,,R7,6.6,47,140,62.75,,,,,,,,,,,,,,,,,,,,,1,140,,
65.5,59,28,225,59,33,,,,,,,,,R8,14.6,98,111,58.51,83,52.17,163,66.1,157,65.09,171,69.6,,,,,,,,,,,,,5,685,,
65.5,59,28,225,59,35.5,32.11,4,,,,,,,R9,6.28,45,159,64.93,134,61.76,,,,,,,,,,,,,,,,,,,2,293,,
65.5,59,28,225,59,40.5,30,17,,,,,,,R10,5.6,42,149,65.17,123,60.46,,,,,,,,,,,,,,,,,,,2,272,,
65.5,59,28,225,59,40.5,30,35,17,16,,,,,R11,9,48,151,65.45,178,69.19,,,,,,,,,,,,,,,,,,,2,329,,
65.5,59,28,225,59,40.5,30,43,,,,,,,R12,7.18,40,190,70.28,147,64.98,130,62.68,,,,,,,,,,,,,,,,,3,467,,
65.5,59,28,225,59,40.5,30,46,22.8,11,,,,,R13,9.4,71,143,64.42,161,66.7,188,72.05,174,67.76,232,75.7,215,75.45,,,,,,,,,,,6,1113,,
65.5,59,28,225,59,40.5,31,46,22.8,17.5,,,,,R14,5.25,33.5,180,73.43,,,,,,,,,,,,,,,,,,,,,1,180,,
65.5,59,28,225,59,40.5,32,46,22.8,20.5,,,,,R15,8.15,56,151,65.23,158,65.98,261,78.7,217,80.3,,,,,,,,,,,,,,,4,787,,
65.5,59,28,225,44,17,40.5,23,14.99,4,,,,,R16,6.6,37,138,62.98,190,72.68,,,,,,,,,,,,,,,,,,,2,328,,
65.5,59,28,225,44,17,40.5,23,14.99,7,,,,,R17,7.37,58.3,144,65.88,165,66.47,146,68.06,,,,,,,,,,,,,,,,,3,455,,
65.5,59,28,225,44,17,40.5,27,,,,,,,R18,7.29,60,137,63.79,139,63.83,169,66.01,,,,,,,,,,,,,,,,,3,445,,
65.5,59,28,225,44,17,40.5,37,15,7,12.13,9,,,R19,7.9,52,188,70.8,180,69.58,,,,,,,,,,,,,,,,,,,2,368,,
65.5,59,28,225,44,17,40.5,41,31.4,14,17.7,1,,,R20,5.8,38,121,59.77,111,57.99,149,65.59,,,,,,,,,,,,,,,,,3,381,,
65.5,59,28,225,44,17,40.5,41,31.4,14,17.7,21,,,R21,6,40.5,156,65.72,210,72.15,,,,,,,,,,,,,,,,,,,2,366,,
65.5,59,28,230,32,4,27.9,7,10.39,11,,,,,R22,5.14,39,154,65.09,131,62.9,140,62.56,,,,,,,,,,,,,,,,,3,425,,
65.5,57,38,72,71.6,2,19.6,41.5,,,,,,,R23,6,42,106,56.43,146,62.25,146,64.01,,,,,,,,,,,,,,,,,3,398,154,61.79
65.5,57,38,72,71.6,2,19.6,48.5,,,,,,,R24,5.77,34,57,59.67,110,57.23,134,61.68,,,,,,,,,,,,,,,,,3,301,210,72.82
65.5,57,38,72,71.6,2,19.6,91,,,,,,,R25,5.22,40,113,57.8,105,56.43,117,58.22,,,,,,,,,,,,,,,,,3,335,139,62.3
