Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté SPRING BRIGHT : Arbre 15/ligne 8 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nbre de fruit ,RDT,Poids ,diamètre 
71,48,37,218,67.8,12,30.27,20,,,,,,,R29,5.95,34,156,66.42,119,59.17,195,70.51,,,,,,,,,,,,,,,,,3,470,,
71,48,37,218,67.8,12,30.27,24.9,10.8,8,,,,,R30,4.97,45,187,72.15,152,66.79,120,60.9,,,,,,,,,,,,,,,,,3,459,,
71,48,37,218,67.8,12,30.27,24.9,10.8,14.5,,,,,R31,5,28,88,54.46,162,66.46,140,64.28,,,,,,,,,,,,,,,,,3,390,,
71,48,37,218,67.8,12,30.27,32.9,18.35,3.5,,,,,R32,5.46,37,149,65.14,75,48.25,180,70.91,192,71.98,,,,,,,,,,,,,,,4,596,,
71,48,37,218,67.8,12,30.27,32.9,18.35,3.5,,,,,R33,5.47,46,201,73.64,170,69.42,160,65.7,,,,,,,,,,,,,,,,,3,531,,
71,48,37,218,67.8,12,36.8,3,16.5,10,,,,,R34,6.6,61,176,70.49,176,68.65,,,,,,,,,,,,,,,,,,,2,352,,
71,48,37,218,67.8,12,36.8,6,,,,,,,R35,9.4,76.5,143,63.49,138,62.82,139,60.74,133,62.12,,,,,,,,,,,,,,,4,553,,
71,48,37,218,67.8,12,36.8,27,19.63,15,,,,,R36,7.39,55,,,,,140,69.25,,,,,,,,,,,,,,,,,1,140,,
71,48,37,218,67.8,12,36.8,27,19.63,18.2,,,,,R37,7.69,52,191,71.79,168,67.22,149,64.81,,,,,,,,,,,,,,,,,3,508,,
71,48,37,218,67.8,51,45.5,4,42.8,2.5,,,,,R38,6.09,31.2,152,66.68,136,63.32,,,,,,,,,,,,,,,,,,,2,288,,
71,48,37,218,67.8,51,45.5,22,32.64,10,,,,,R39,4.91,34.5,180,69.7,86,53.54,,,,,,,,,,,,,,,,,,,2,266,,
71,48,37,218,67.8,51,45.5,22,32.64,21,,,,,R40,6.76,36,125,62.42,126,61.62,,,,,,,,,,,,,,,,,,,2,251,,
71,48,37,218,67.8,51,45.5,22,32.64,25,,,,,R41,7.49,52,174,69.13,165,68.06,185,70.86,,,,,,,,,,,,,,,,,3,524,,
71,48,37,218,67.8,51,45.5,22,32.64,29.2,,,,,R42,7.34,41,180,70.55,187,70.14,167,68.28,,,,,,,,,,,,,,,,,3,534,,
71,41,38,134,,,,,,,,,,,R43,12.4,122,114,59.11,125,56.99,131,60.37,140,62.6,145,65.09,,,,,,,,,,,,,5,655,145,63.28
71,41,38,134,63.5,55,24.69,1.5,,,,,,,R44,5.22,65,150,64.28,98,54.47,53,42.82,,,,,,,,,,,,,,,,,3,301,153,65.04
71,41,38,134,63.5,55,24.69,3.5,14.8,5,11.5,6.3,,,R45,6.54,52,103,55.38,109,57.63,,,,,,,,,,,,,,,,,,,2,212,147,65.05
71,41,38,134,63.5,123,31.9,7,,,,,,,R46,12.7,95,157,65.8,145,62.86,135,60.62,173,68.11,,,,,,,,,,,,,,,4,610,234,76.33
71,41,38,134,63.5,123,31.9,7,23.38,11,,,,,R47,5.6,51.5,97,56.01,108,57.37,123,59.3,,,,,,,,,,,,,,,,,3,328,,
71,41,38,134,63.5,123,31.9,7,23.38,20,,,,,R48,5.09,23,97,54.46,,,,,,,,,,,,,,,,,,,,,1,97,,
71,41,38,134,63.5,123,31.9,7,23.38,23.2,,,,,R49,4.8,28,136,61.97,125,61,82,53.25,,,,,,,,,,,,,,,,,3,343,,
71,41,38,134,63.5,126,34.15,3,,,,,,,R50,8.4,72,122,59.33,118,59.4,129,61.81,,,,,,,,,,,,,,,,,3,369,,
71,41,38,134,63.5,126,34.15,21.5,22.05,5.2,9.57,8,,,R51,4.66,32,146,63.46,156,67.06,105,58.16,,,,,,,,,,,,,,,,,3,407,,
71,41,38,134,63.5,126,34.15,21.5,22.05,8.2,19.71,4.5,,,R52,5.05,29.5,142,64.48,,,,,,,,,,,,,,,,,,,,,1,142,,
71,41,38,134,78.5,2,,,,,,,,,R53,13.6,125,151,64.7,166,67.11,127,60.91,131,60.7,106,56.75,119,59.37,99,54.73,95,54.52,77,49.95,,,,,9,1071,,
71,41,38,134,78.5,27,24.5,3,13.3,9,,,,,R54,5.21,60,102,57.4,76,50.34,77,51.48,48,42.21,,,,,,,,,,,,,,,4,303,,
71,41,38,134,78.5,27,24.5,3,13.3,14.5,,,,,R55,6.6,76.3,150,65.02,105,57.03,123,59.39,115,58.63,74,50.52,,,,,,,,,,,,,5,567,,
71,41,38,134,78.5,27,59.8,37,20.9,9,,,,,R56,5.83,36.2,154,67.45,126,58.79,,,,,,,,,,,,,,,,,,,2,280,,
71,41,38,134,78.5,27,59.8,48,16.5,3.9,,,,,R57,6.17,45,168,68.08,,,,,,,,,,,,,,,,,,,,,1,168,,
71,41,38,134,78.5,27,59.8,48,16.5,6.4,,,,,R58,7.5,70,181,69.52,80,49.66,,,,,,,,,,,,,,,,,,,2,261,,
71,41,38,134,78.5,27,59.8,67,50.9,34.5,,,,,R59,6.25,37,136,62.38,164,67.31,170,66.35,,,,,,,,,,,,,,,,,3,470,,
71,41,38,134,78.5,27,59.8,67,50.9,43.5,,,,,R60,9.34,68,139,63.16,127,59.1,,,161,65.48,152,62.73,,,,,,,,,,,,,4,579,,
71,41,38,134,78.5,27,59.8,67,50.9,47.7,,,,,R61,5.57,34.2,99,56.2,191,68.85,,,,,,,,,,,,,,,,,,,2,290,,
