Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 6 / ligne 5 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit ,RDT,Poids ,diamètre ,,moy-poids
71,33,34.2,61,26.9,0,11.5,11,,,,,,,R1,6.69,52.6,,,,,,,,,,,,,,,,,,,0,0,83,50.45,,122.80074074074074
71,33,34.2,61,26.9,0,11.5,11,,,,,,,R2,3.76,31,106,57.69,,,,,,,,,,,,,,,,,1,106,,,,
71,33,34.2,61,26.9,2.5,19,0,,,,,,,R3,6.5,55,122.8,,,,,,,,,,,,,,,,,,1,122.8,,,,
71,33,34.2,61,26.9,2.5,19,28,,,,,,,R4,7,81,25,34.75,32,36.95,,,,,,,,,,,,,,,2,57,,,,
71,33,34.2,61,26.9,2.5,19,62,,,,,,,R5,5.71,76,121,60.94,84,50.8,73,49.3,,,,,,,,,,,,,3,278,,,,
71,33,34.2,61,26.9,2.5,19,70,,,,,,,R6,4.66,40,110,56.59,,,,,,,,,,,,,,,,,1,110,,,,
71,33,34.2,61,26.9,2.5,19,96.7,,,,,,,R7,4.5,49.3,52,43.4,69,49.62,103,55.67,,,,,,,,,,,,,3,224,,,,
71,33,34.2,61,26.9,2.5,19,100.7,,,,,,,R8,4.4,45.5,118,58.67,153,65.71,,,,,,,,,,,,,,,2,271,,,,
