Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 11 / ligne 13 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,Poids ,diamètre ,,moy-poids
71.5,45,32,247.8,40.6,41,14.73,1,,,,,,,R30,6.77,35.5,193,72,116.76,,152,64.93,,,,,,,,,,,,,,,,,3,461.76,,,,,,
71.5,45,32,247.8,40.6,44,23.49,15,,,,,,,R31,7.32,32,116.76,,116.76,,,,,,,,,,,,,,,,,,,,2,233.52,,,,,,
71.5,45,32,247.8,40.6,44,23.49,27.8,,,,,,,R32,10.36,58,116.76,,146,64.5,,,,,,,,,,,,,,,,,,,2,262.76,,,,,,
71.5,45,32,247.8,40.6,44,23.49,49.2,,,,,,,R33,5.9,26.5,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
71.5,41,32.5,77.5,13.97,0.5,,,,,,,,,R34,5.7,49,123,60.63,87,53.4,,,,,,,,,,,,,,,,,,,2,210,62,46.87,156,67.39,,
71.5,41,32.5,85.5,17.69,5,10.72,9.5,7.55,5,,,,,R35,4.25,23,70,46.93,70,48.51,,,,,,,,,,,,,,,,,,,2,140,124,58.46,84,53.65,,
71.5,41,32.5,114.5,15.48,1,,,,,,,,,R36,9.55,33.4,145,62.4,116.76,,,,,,,,,,,,,,,,,,,,2,261.76,159,66.63,82,53.24,,
71.5,41,32.5,123,,,,,,,,,,,R37,6.97,49,65,46.1,95,54.13,91,53.94,,,,,,,,,,,,,,,,,3,251,206,71.32,152,65.41,,
71.5,41,32.5,129.5,44.8,4,14.36,17.1,,,,,,,R38,5.64,53,,,,,,,,,,,,,,,,,,,,,,,0,0,137,62.79,165,66.69,,
71.5,41,32.5,129.5,44.8,4,14.36,20.1,,,,,,,R39,6.71,34.2,80,49.49,116.76,,,,,,,,,,,,,,,,,,,,2,196.76,124,60.25,124,59.96,,
71.5,41,32.5,129.5,44.8,27,,,,,,,,,R40,6.15,44,110,58.76,85,52.44,104,57.11,,,,,,,,,,,,,,,,,3,299,148,63.44,169,68.28,,
71.5,41,32.5,129.5,44.8,46.5,39.2,3,14.6,13,,,,,R41,4.15,16,116.76,,116.76,,,,,,,,,,,,,,,,,,,,2,233.52,78,48.44,124,60.8,,
71.5,41,32.5,129.5,44.8,46.5,39.2,4,,,,,,,R42,5.55,30,143,66.72,116.76,,,,,,,,,,,,,,,,,,,,2,259.76,87,52.5,102,58.96,,
71.5,41,32.5,129.5,44.8,46.5,39.2,20.8,33.1,3,,,,,R43,9.35,81,116.76,,116.76,,91,55.55,131,59.56,116.76,,116.76,,,,,,,,,,,,6,689.04,107,56.67,77,50.43,,
71.5,41,32.5,136.5,40.76,41.5,,,,,,,,,R44,7.81,68,106,57.54,133,61.56,142,67.74,,,,,,,,,,,,,,,,,3,381,141,63.05,,,,
71.5,41,32.5,136.5,40.76,56.5,,,,,,,,,R45,6.77,50.6,131,61.54,116,59,116.76,,,,,,,,,,,,,,,,,,3,363.76,192,73.46,,,,
