Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 10 / ligne 9 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
67,33.5,33.5,58,,,,,,,,,,,R1,6.4,85,117,58.41,,,,,,,,,,,,,,,,,1,117,123,59.6,,133.37037037037038
67,33.5,33.5,58,9.5,41.5,9.4,32,,,,,,,R2,5.7,53,95,53.58,,,,,,,,,,,,,,,,,1,95,66,47.89,,
67,33.5,33.5,68,15.2,70,9,35.5,,,,,,,R3,2.4,19,108,60.76,108,61.37,,,,,,,,,,,,,,,2,216,136,64.93,,
67,33.5,33.5,68,,,,,,,,,,,R4,5,46,98,52.4,101,55.95,,,,,,,,,,,,,,,2,199,163,69.14,,
67,33.5,33.5,84.5,7.9,7.5,,,,,,,,,R5,5.4,36.5,79,52.27,92,54.67,,,,,,,,,,,,,,,2,171,214,74.93,,
67,33.5,33.5,91.5,13.13,59,,,,,,,,,R6,3.8,41,99,54.47,118,58.2,105,54.72,,,,,,,,,,,,,3,322,183,67.95,,
67,33.5,33.5,91.5,13.13,71,,,,,,,,,R7,5.5,57.5,133.37,,,,,,,,,,,,,,,,,,1,133.37,170,67.33,,
67,33.5,33.5,91.5,12.5,17.5,,,,,,,,,R8,6.38,69,141,63.39,101,53.6,107,55.53,,,,,,,,,,,,,3,349,75,51.81,,
