Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 8 / ligne 14 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
77,8,34.5,74,24.25,8,18.8,7,,,,,,,R1,7.8,108,101,54.51,121,59.38,60,47.2,,,,,,,,,,,,,3,282,168,66.95,,123.51105263157895
77,8,34.5,74,24.25,8,18.8,30,,,,,,,R2,8.08,95,131,58.78,94,50.11,101,53.63,,,,,,,,,,,,,3,326,135,60.78,,
77,8,34.5,74,24.25,8,18.8,47,,,,,,,R3,4.1,37,132,60.08,,,,,,,,,,,,,,,,,1,132,133,62.34,,
77,8,34.5,74,24.25,8,18.8,80,,,,,,,R4,8.19,67,,,,,,,,,,,,,,,,,,,0,0,128,60.24,,
77,8,34.5,74,24.25,8,18.8,88.5,,,,,,,R5,6.5,50,95,52.54,,,,,,,,,,,,,,,,,1,95,175,69.39,,
77,8,34.5,89,16.8,38,13.6,10,,,,,,,R6,5.77,68,87,53.78,82,49.62,,,,,,,,,,,,,,,2,169,130,63.16,,
77,8,34.5,89,16.8,56,,,,,,,,,R7,5.9,53,79,48.59,78,49.13,,,,,,,,,,,,,,,2,157,123,60.78,,
77,8,34.5,89,16.8,65,,,,,,,,,R8,5.3,42.5,95,54.99,,,,,,,,,,,,,,,,,1,95,114,60.34,,
