Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 10 / ligne 15 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,moy_poids
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,133.99099099099098
69,26.5,24.5,64,,,,,,,,,,,R1,8.45,94,132,59.78,82,48.68,126,61.4,,,,,,,,,,,,,3,340,118,59.11,,
69,26.5,24.5,101,13.74,7,10.5,15,,,,,,,R2,8.51,75,36,39.6,94,51.85,93,52.28,59,46.53,133.99,,,,,,,,,,5,415.99,108,58.04,,
69,26.5,24.5,101,14.8,9.5,,,,,,,,,R3,6.39,70,133.99,,99,54.12,115,57.69,147,62.25,133.99,,,,,,,,,,5,628.98,141,60.97,,
69,26.5,24.5,135.5,11.2,13,9.38,5,,,,,,,R4,5.49,18,,,,,,,,,,,,,,,,,,,0,0,75,49.68,,
69,26.5,24.5,165.5,61.5,4,22.42,7,,,,,,,R5,13.7,73,157,64.38,106,55.52,116,56.79,1221,59.83,,,,,,,,,,,4,1600,125,59.69,,
69,26.5,24.5,165.5,61.5,4,25.6,3,,,,,,,R6,8.27,65.5,115,56.46,131,60.57,138,62.84,133.99,,,,,,,,,,,,4,517.99,87,54.07,,
69,26.5,24.5,165.5,61.5,83,18.07,3,,,,,,,R7,6.82,79.2,133.99,,149,63.32,119,61.13,,,,,,,,,,,,,3,401.99,,,,
69,26.5,24.5,165.5,61.5,98,39.7,2,18.6,26,,,,,R8,4.01,23,136,60.04,125,57.58,133.99,,,,,,,,,,,,,,3,394.99,,,,
69,26.5,24.5,165.5,61.5,98,39.7,2,18.6,32,,,,,R9,4.75,25,133.99,,,,,,,,,,,,,,,,,,1,133.99,,,,
69,26.5,24.5,165.5,61.5,98,39.7,2,18.6,38,,,,,R10,6.46,28,142,58.78,133.99,,133.99,,,,,,,,,,,,,,3,409.98,,,,
69,26.5,24.5,165.5,61.5,98,39.7,2,18.6,41,,,,,R11,4.37,24,,,,,,,,,,,,,,,,,,,0,0,,,,
69,26.5,24.5,165.5,61.5,98,39.7,2,18.6,3,,,,,R12,4.5,22,,,,,,,,,,,,,,,,,,,0,0,,,,
69,26.5,24.5,165.5,61.5,98,39.7,2,18.6,20,,,,,R13,6.87,45,116,55.56,133.99,,133.99,,,,,,,,,,,,,,3,383.98,,,,
69,26.5,24.5,165.5,61.5,98,39.7,17,15.77,40,,,,,R14,4.45,34,133.99,,96,52.94,,,,,,,,,,,,,,,2,229.99,,,,
69,26.5,24.5,165.5,61.5,98,39.7,17,15.77,45,,,,,R15,5.44,46,133.99,,,,,,,,,,,,,,,,,,1,133.99,,,,
69,19,38,86,61.28,20,20.5,22,9.5,13,,,,,R16,7.42,63,179,67.89,,,,,,,,,,,,,,,,,1,179,130,61.36,,
69,19,38,86,61.28,20,20.5,25,10.25,32,,,,,R17,3.44,10.3,133.99,,,,,,,,,,,,,,,,,,1,133.99,137,64.17,,
69,19,38,86,61.28,46,38.7,0,19.34,13,,,,,R18,7.66,80,139,61.76,109,56,122,65.55,,,,,,,,,,,,,3,370,158,65.14,,
69,19,38,86,61.28,46,38.7,29,12.3,1,,,,,R19,7.65,40.2,150,65.72,121,59.77,,,,,,,,,,,,,,,2,271,111,59.16,,
69,19,38,86,61.28,46,38.7,48,33.47,10,10.27,2,,,R20,4.53,31,133.99,,113,55.32,,,,,,,,,,,,,,,2,246.99,212,77.39,,
69,19,38,86,61.28,46,38.7,48,33.47,13.5,,,,,R21,7.13,68,94,53.64,148,61.46,,,,,,,,,,,,,,,2,242,169,68.54,,
69,19,38,86,61.28,46,38.7,48,33.47,17.5,13.27,19,,,R22,5.6,36,136,62.28,,,,,,,,,,,,,,,,,1,136,152,66.63,,
69,19,38,86,61.28,46,38.7,48,33.47,17.5,13.27,27,,,R23,6.28,42,139,63.41,133.99,,,,,,,,,,,,,,,,2,272.99,132,63.17,,
69,19,38,86,61.28,66,45.18,21,13.3,2,,,,,R24,5.5,24,140,62.26,113,58.17,,,,,,,,,,,,,,,2,253,158,67.51,,
69,19,38,86,61.28,66,45.18,50,2.86,2,,,,,R25,8.21,49.5,156,65.84,133.99,,185,70.3,,,,,,,,,,,,,3,474.99,166,67.78,,
69,19,38,86,61.28,66,45.18,52.5,34.14,4,34.21,22,,,R26,7.59,72,193,72.2,,,,,,,,,,,,,,,,,1,193,194,74.36,,
69,19,38,86,61.28,66,45.18,52.5,34.14,4,34.21,33,,,R27,9.07,25,133.99,,,,,,,,,,,,,,,,,,1,133.99,149,63.91,,
69,19,38,86,61.28,66,45.18,52.5,34.14,4,34.21,37,25.5,30.2,R28,7.02,54,133.99,,133.99,,,,,,,,,,,,,,,,2,267.98,100,55,,
69,19,38,124,21.4,22,10.74,1.3,1.3,,,,,,R29,6.7,56,66,47.31,60,47.89,82,51.39,,,,,,,,,,,,,3,208,131,63.77,,
69,19,38,135,40.68,3,,,,,,,,,R30,11.76,78.5,123,60.27,136,58.85,90,51.5,106,57.76,,,,,,,,,,,4,455,147,65.9,,
69,19,38,166,61.8,25.5,,,,,,,,,R31,11.34,80,132,61.51,133.99,,,,,,,,,,,,,,,,2,265.99,84,51.1,,
69,19,38,166,61.8,53.5,42.23,26,26.42,5,,,,,R32,10.95,72,181,71.44,,,,,,,,,,,,,,,,,1,181,179,68.56,,
69,19,38,166,61.8,53.5,53.4,2,26.3,5,9.24,13,,,R33,9.09,45,127,61.03,154,69.76,,,,,,,,,,,,,,,2,281,146,65.61,,
69,19,38,166,61.8,53.5,53.4,41,23.25,7,,,,,R34,8.43,29,,,,,,,,,,,,,,,,,,,0,0,163,69.31,,
69,19,38,166,61.8,53.5,53.4,41,23.25,19,,,,,R35,6.15,21,153,66.04,133.99,,,,,,,,,,,,,,,,2,286.99,114,61.26,,
69,19,38,166,61.8,53.5,53.4,41,23.25,34,14.44,1,,,R36,7.38,45,133.99,,,,,,,,,,,,,,,,,,1,133.99,104,56.91,,
69,19,38,166,61.8,53.5,53.4,41,23.25,34,14.44,15,,,R37,5.88,25,133.99,,,,,,,,,,,,,,,,,,1,133.99,196,72.33,,
69,19,38,166,61.8,53.5,53.4,55.5,38.01,0.5,,,,,R38,7.37,23.5,189,69.92,,,,,,,,,,,,,,,,,1,189,143,68.02,,
69,19,38,166,61.8,53.5,53.4,55.5,38.01,22.5,23.25,47,,,R39,8.85,42,133.99,,,,,,,,,,,,,,,,,,1,133.99,93,57.31,,
69,19,38,166,61.8,53.5,53.4,55.5,38.01,22.5,23.25,50.2,,,R40,5.96,32,133.99,,170,68.72,,,,,,,,,,,,,,,2,303.99,118,57.96,,
69,19,38,166,61.8,53.5,53.4,55.5,38.01,22.5,23.25,53.7,,,R41,6.24,36.5,133.99,,165,66.44,,,,,,,,,,,,,,,2,298.99,138,61.6,,
69,19,38,181,17.71,5,,,,,,,,,R42,9.53,58.5,123,59.96,151,67.49,,,,,,,,,,,,,,,2,274,106,59.13,,
69,19,38,203,11.25,5.5,,,,,,,,,R43,10.18,75.5,171,69.91,211,72.63,,,,,,,,,,,,,,,2,382,,,,
69,19,38,209,14.91,13,,,,,,,,,R44,12.07,68.5,179,69.78,107,57.88,167,67.08,,,,,,,,,,,,,3,453,,,,
