Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 16 / ligne 15 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
58.8,41,32,77,20.29,4,,,,,,,,,R1,15.75,149,137.23,,137.23,,137.23,,,,,,,,,,,,,,3,411.68999999999994,149,62.81,,137.2284263959391
58.8,41,32,77,20.29,7,,,,,,,,,R2,6.3,49.5,137.23,,137.23,,143,66.25,,,,,,,,,,,,,3,417.46,199,71.92,,
58.8,41,32,97,,,,,,,,,,,R3,10.5,118,137.23,,137.23,,,,,,,,,,,,,,,,2,274.46,135,63.82,,
58.8,41,32,100.5,49.36,63.5,,,,,,,,,R4,10.3,98,163,67.33,107,56.17,137.23,,137.23,,137.23,,,,,,,,,,5,681.69,196,70.23,,
58.8,41,32,100.5,49.36,71.5,25.8,6,10.6,60,,,,,R5,3.4,29.5,137.23,,,,,,,,,,,,,,,,,,1,137.23,252,79.98,,
58.8,41,32,100.5,49.36,118.5,31,6,19.7,40,,,,,R6,7.5,65,137.23,,137.23,,,,,,,,,,,,,,,,2,274.46,219,73.4,,
58.8,41,32,100.5,49.36,118.5,31,16,16,6,,,,,R7,6,22,137.23,,,,,,,,,,,,,,,,,,1,137.23,170,68.37,,
58.8,41,32,107.5,30.11,46,,,,,,,,,R8,8,62,130,61.56,137.23,,137.23,,137.23,,,,,,,,,,,,4,541.69,147,64.29,,
