Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 10 / ligne 11 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,Fruit 10,,Fruit 11,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit,RDT,Poids ,diamètre ,,moy-poids
69,34,37,71,29.3,20,,,,,,,,,R30,11.24,88,102,55.81,125.23,,,,,,,,,,,,,,,,,,,,2,227.23000000000002,142,64.08,,
69,34,37,71,29.3,34,11.35,3,,,,,,,R31,7.5,69,123,57.67,137,61.7,103,56.25,,,,,,,,,,,,,,,,,3,363,96,54.63,,
69,34,37,71,29.3,65,,,,,,,,,R32,5.9,43,125.23,,105,57.1,99,55.61,,,,,,,,,,,,,,,,,3,329.23,108,60.28,,
69,34,37,71,29.3,75,11.08,13,,,,,,,R33,6.1,31,125.23,,125.23,,,,,,,,,,,,,,,,,,,,2,250.46,143,63.56,,
69,34,37,71,29.3,84,9,1.5,,,,,,,R34,4.88,28,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,130,62.19,,
69,34,37,80,15.8,28,,,,,,,,,R35,8.18,88,125.23,,96,56.67,125.23,,96,53.57,,,,,,,,,,,,,,,4,442.46000000000004,91,52.54,,
69,34,37,104,36,38,19.42,33.5,,,,,,,R36,4.44,39,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,118,58.47,,
69,34,37,104,36,38,19.42,38.5,,,,,,,R37,5.05,50,134,61.93,101,55.29,125.23,,,,,,,,,,,,,,,,,,3,360.23,112,57.19,,
69,34,37,104,36,38,19.42,42.5,,,,,,,R38,5.19,37,113,57.62,,,,,,,,,,,,,,,,,,,,,1,113,125,61.78,,
69,34,37,104,36,38,19.42,47.5,,,,,,,R39,4.8,41,140,63.13,,,,,,,,,,,,,,,,,,,,,1,140,120,60.11,,
69,34,37,104,36,38,19.42,51.5,,,,,,,R40,9.8,76,130,61.42,102,57.21,0,56.57,,,,,,,,,,,,,,,,,3,232,105,56.1,,
69,34,37,118,61.9,36,23.9,23,,,,,,,R41,6.9,84,128,58.75,121,57.89,125.23,,,,,,,,,,,,,,,,,,3,374.23,58,44.52,,
69,34,37,118,61.9,36,23.9,58,,,,,,,R42,5.6,52,125.23,,88,55.37,152,63.42,,,,,,,,,,,,,,,,,3,365.23,88,52.98,,
69,34,37,118,61.9,83,44.66,9,31.6,3.5,,,,,R43,7.47,83,146,64.13,130,59.24,151,61.79,,,,,,,,,,,,,,,,,3,427,97,53.31,,
69,34,37,118,61.9,83,44.66,9,31.6,3.5,,,,,R44,7.8,91,125.23,,136,62.86,125.23,,,,,,,,,,,,,,,,,,3,386.46000000000004,104,56.96,,
69,34,37,179,12.08,10,,,,,,,,,R45,6.4,36,98,54.92,110,58.47,125.23,,,,,,,,,,,,,,,,,,3,333.23,64,47.66,,
69,34,37,179,13.5,23,,,,,,,,,R46,7.3,34,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,53,40.68,,
69,34,37,206,37.71,2,23.5,2,,,,,,,R47,4.72,15,,,,,,,,,,,,,,,,,,,,,,,0,0,153,65.61,,
69,34,37,206,43,16,17.7,2,,,,,,,R48,6.7,40,115,58.05,125.23,,125.23,,,,,,,,,,,,,,,,,,3,365.46000000000004,101,55.89,,
69,34,37,206,43,58.5,25.8,2,7.3,9,,,,,R49,5.77,48,158,65.3,140,63.78,,,,,,,,,,,,,,,,,,,2,298,103,54.16,,
69,34,37,206,43,63.5,32.8,10,21.7,47,,,,,R50,7.25,38.5,122,58.18,94,53.53,118,59.52,,,,,,,,,,,,,,,,,3,334,95,55.88,,
69,34,37,206,43,63.5,32.8,10,21.7,50,,,,,R51,5.77,31,105,55.39,107,55.69,86,52.04,152,62.56,124,58.49,,,,,,,,,,,,,5,574,51,40.74,,
69,34,37,206,43,63.5,32.8,10,21.7,53,,,,,R52,5.8,34.5,78,48.25,88,53.18,105,56.8,95,53.34,104,54.11,91,53.01,97,55.14,112,59.65,79,50.35,,,,,9,849,132,61.24,,
69,34,37,206,43,63.5,32.8,10,21.7,56.5,,,,,R53,8,45,96,53.78,87,51.8,121,59.41,95,56.77,96,53.61,59,43.82,58,42.56,102,55.41,103,56.54,81,53.05,111,56.45,11,1009,146,61.31,,
69,34,37,206,43,63.5,32.8,22,28.9,6,9.8,9,,,R54,7.73,71,107,59.63,125.23,,125.23,,58,44.98,,,,,,,,,,,,,,,4,415.46000000000004,132,62.24,,
69,34,37,206,43,63.5,32.8,22,28.9,10,21.5,15,,,R55,4.39,14,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,110,55.73,,
69,34,37,206,43,63.5,32.8,22,28.9,10,21.5,53,,,R56,6.36,42,99,56.27,130,61.33,103,56.38,,,,,,,,,,,,,,,,,3,332,105,58.41,,
69,34,37,206,43,63.5,32.8,22,28.9,10,21.5,56,,,R57,6.77,43,125.23,,125.23,,132,59.95,,,,,,,,,,,,,,,,,3,382.46000000000004,78,50.54,,
69,34,37,206,43,63.5,32.8,22,28.9,34,10.3,17,,,R58,4.07,13,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,99,54.44,,
69,34,37,206,43,63.5,32.8,22,28.9,34,10.3,27.5,,,R59,4.02,19,,,,,,,,,,,,,,,,,,,,,,,0,0,94,55.53,,
69,34,37,242,53.2,7,27.06,2,11.36,2,,,,,R60,7.21,47,184,67.78,146,63.57,125.23,,,,,,,,,,,,,,,,,,3,455.23,120,57.72,,
69,34,37,252,60.7,5,39.5,15,16.36,2,11.8,6,,,R61,5.33,28,125.23,,,,,,,,,,,,,,,,,,,,,,1,125.23,166,69.92,,
69,34,37,263,55.18,31,39.82,9,,,,,,,R62,9.5,73,132,62.87,125.23,,125.23,,125.23,,,,,,,,,,,,,,,,4,507.69000000000005,165,67.92,,
69,34,37,263,55.18,31,39.82,36,,,,,,,R63,11.4,43,175,69.91,125.23,,125.23,,,,,,,,,,,,,,,,,,3,425.46000000000004,303,80.49,,
