Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Varieté 48/52 : Arbre 14 / ligne 13 ,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Fruit 1 ,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,,Fruit 9,,,,Chiffons ,,,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Poids ,diamètre ,Nombre de fruit ,RDT,Poids ,diamètre ,,moy-poids
62,25.5,35.5,100,,,,,,,,,,,R1,9.12,102,37,40.91,109,58.86,128,60.32,128.51,,,,,,,,,,,,4,402.51,101,55.43,,128.51006711409397
62,25.5,35.5,112,31,5,,,,,,,,,R2,7.4,81,135,64.79,128.51,,128.51,,,,,,,,,,,,,,3,392.02,121,62.65,,
62,25.5,35.5,112,31,5,,,,,,,,,R3,13,121,121,58.32,113,57.02,,,,,,,,,,,,,,,2,234,104,52.59,,
62,25.5,35.5,112,,,,,,,,,,,R4,4.18,20,128.51,,115,60.8,,,,,,,,,,,,,,,2,243.51,116,60.19,,
62,25.5,35.5,112,11,14,,,,,,,,,R5,7.3,82,128.51,,,,,,,,,,,,,,,,,,1,128.51,107,61.18,,
62,25.5,35.5,134,,,,,,,,,,,R6,13.18,136,101,53.74,,,,,,,,,,,,,,,,,1,101,122,60.03,,
62,25.5,35.5,134,,,,,,,,,,,R7,6.8,54,128.51,,128.51,,,,,,,,,,,,,,,,2,257.02,125,59.93,,
62,25.5,35.5,151,36,18,,,,,,,,,R8,6,23,128.51,,,,,,,,,,,,,,,,,,1,128.51,40,39.55,,
