Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arbre N° : 7,,Ligne N° : 7,,Variété : ,Nectarinier ,,,,Parcelle :  1306,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,,,,
,,Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau,,,
,,82,45,40,160,134.5,14,18,20,,,,,,,R 34,7.5,83,132,64.86,118,57.78,80,50.27,,,,,,,,,3,330,,,
,,82,45,40,160,134.5,31,43.4,7.5,22.1,5.5,,,,,R 35,6.3,41,110,55.65,133,62.53,,,,,,,,,,,2,243,,,
,,82,45,40,160,134.5,31,43.4,7.5,22.1,19,,,,,R 36,6.4,39,135,65.17,134,62.44,135,58.78,,,,,,,,,3,404,,,
,,82,45,40,160,134.5,31,43.4,7.5,22.1,33,,,,,R 37,7,32,153,66.38,107,57.44,96,56.21,,,,,,,,,3,356,,,
,,82,45,40,160,134.5,31,43.4,66.5,11.7,9,,,,,R 38,6.3,43,148,62.6,92,58.13,150,61.67,167,66.77,,,,,,,4,557,,,
,,82,45,40,160,134.5,31,43.4,66.5,11.7,12,,,,,R 39,5,22,124,61.65,,,,,,,,,,,,,1,124,,,
,,82,45,40,160,134.5,31,43.4,68.5,25.2,8,,,,,R 40,11.3,95,162,63.14,160,62.76,158,67.48,95,52.27,,,,,,,4,575,,,
,,82,45,40,160,134.5,31,43.4,73,24.1,2,,,,,R 41,10,89,152,60.14,173,67.39,72,51.38,126,63.03,,,,,,,4,523,,,
,,82,45,40,160,134.5,41,44,18,19.4,3.7,15.8,7,14.2,9,R 42,6.8,50,139,62.66,139,63.95,,,,,,,,,,,2,278,,,
,,82,45,40,160,134.5,41,44,18,19.4,3.7,15.8,12,9,2.3,R 43,5.5,37,219,73.84,112,54.99,,,,,,,,,,,2,331,,,
,,82,45,40,160,134.5,41,44,18,19.4,3.7,15.8,12,9,4.3,R 44,6.3,40,180,69.73,147,62.23,,,,,,,,,,,2,327,,,
,,82,45,40,160,134.5,71,,,,,,,,,R 45,21.3,119,182,69.85,161,67.34,110,60.02,140,62.09,143,64.56,123,59.53,,,6,859,,,
,,82,45,40,160,134.5,75,41.4,9,,,,,,,R 46,6.2,46,108,59.18,142,64.3,106,60.43,,,,,,,,,3,356,,,
,,82,45,40,160,134.5,75,41.4,27,,,,,,,R 47,5.8,31,,,,,,,,,,,,,,,0,0,,,
,,82,45,40,160,134.5,75,41.4,47,,,,,,,R 48,8.7,59,83,51.75,71,54.21,,,,,,,,,,,2,154,,,
,,82,45,40,160,134.5,75,41.4,58,,,,,,,R 49,8.7,63,125,59.49,112,59.58,,,,,,,,,,,2,237,,,
,,82,41,43,133,148,6,95.4,3,16.1,12,11.1,2,,,R 50,7,82,175,69,118,59.54,118,49.54,138,62.88,",",",",",",",",,,4,549,,,
,,82,41,43,133,148,6,95.4,3,16.1,17,10.8,6,,,R 51,5.8,64,110,58.28,73,50.35,,,,,,,,,,,2,183,,,
,,82,41,43,133,148,6,95.4,3,16.1,22,10.8,10,,,R 52,6.4,39,115,56.15,,,,,,,,,,,,,1,115,,,
,,82,41,43,133,148,6,95.4,4.5,,,,,,,R 53,8.1,88,124,62.57,,,,,,,,,,,,,1,124,,,
,,82,41,43,133,148,6,95.4,52.5,33.5,11,,,,,R 54,7.3,54,116,58.13,144,63.79,,,,,,,,,,,2,260,,,
,,82,41,43,133,148,6,95.4,52.5,33.5,19.7,,,,,R 55,6.8,31,136,64.19,86,56.43,121,60.74,,,,,,,,,3,343,,,
,,82,41,43,133,148,6,95.4,52.5,33.5,24.5,,,,,R 56,7.7,36,69,47.72,,,,,,,,,,,,,1,69,,,
,,82,41,43,133,148,6,95.4,52.5,33.5,41,,,,,R 57,5.6,26,,,,,,,,,,,,,,,0,0,,,
,,82,41,43,133,148,6,95.4,53.5,13.1,,,,,,R 58,7.5,53,92,53.14,148,65.87,112,55.48,,,,,,,,,3,352,,,
,,82,41,43,133,148,6,95.4,126.5,35.1,10,,,,,R 59,7.1,60,175,67.86,145,61.18,,,,,,,,,,,2,320,,,
,,82,41,43,133,148,6,95.4,139.5,23.3,5.5,19.6,8,,,R 60,6.6,37,109,58.33,151,61.51,,,,,,,,,,,2,260,,,
,,82,41,43,133,148,6,95.4,139.5,23.3,5.5,19.6,41,,,R 61,12.1,60,102,57.84,154,66.12,155,65.13,",",",",,,,,,,3,411,,,
,,82,41,43,133,148,6,95.4,145.5,,,,,,,R 62,22.1,50,120,60.24,,,,,,,,,,,,,1,120,,,
,,82,41,43,133,148,6,95.4,155.5,,,,,,,R 63,10.1,58,139,64.17,,,,,,,,,,,,,1,139,,,
,,82,41,43,133,148,6,95.4,166.5,,,,,,,R 64,7,39,145,62.3,133,61.39,,,,,,,,,,,2,278,,,
,,82,41,43,133,148,6,95.4,171.5,15,6.5,,,,,R 65,7.8,35,152,64.9,93,51.92,,,,,,,,,,,2,245,,,
,,82,41,43,133,148,6,95.4,171.5,15,34.5,,,,,R 66,5.6,33,143,63.98,,,,,,,,,,,,,1,143,,,
,,82,41,43,133,148,6,95.4,188.5,17.3,3,,,,,R 67,6,41,130,59.98,,,,,,,,,,,,,1,130,,,
,,82,41,43,133,148,6,95.4,203,,,,,,,R 68,11.7,80,166,63.56,136,62.2,123,58.39,120,61.53,124,60.13,,,,,5,669,,,
,,82,41,43,203,15.4,4.5,,,,,,,,,R 69,6.3,63,107,58.42,132,63.2,122,61.11,82,53.3,57,47.74,,,,,5,500,,,
,,82,41,43,207,28,0,16.4,13,,,,,,,R 70,6.6,50,139,61.76,111,60.76,,,,,,,,,,,2,250,,,
