Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arbre N° : 15,,Ligne N° : 8,,"Variété : Nectarinier ""Spring Bright """,,,,,Parcelle : 1306,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
,,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau
,,72,47,42,86,76.2,1.3,34.5,13,22.2,12,14.3,7.8,10.4,13.2,R1,5.6,52,,,,,,,,,,,,,,,0,0
,,72,47,42,86,76.2,1.3,34.5,13,22.2,12,14.3,13.5,10,6,R2,5,33,106,56.11,,,,,,,,,,,,,1,106
,,72,47,42,86,76.2,4.3,40.2,9,20,3,,,,,R3,7.5,83,99,55.59,118,61.77,,,,,,,,,,,1,217
,,72,47,42,86,76.2,4.3,40.2,9,20,4,,,,,R4,5.8,47,,,,,,,,,,,,,,,0,0
,,72,47,42,86,76.2,4.3,40.2,71,27.5,4,21.6,5,,,R5,13,143,,,,,,,,,,,,,,,0,0
,,72,47,42,86,76.2,4.3,40.2,71,27.5,8.7,11.1,13.9,,,R6,5.4,27,67,52.29,,,,,,,,,,,,,1,67
,,72,47,42,86,76.2,9.3,37.3,5.4,22,3.6,,,,,R7,5.5,50,,,,,,,,,,,,,,,0,0
,,72,47,42,86,76.2,9.3,37.3,5.4,22,21.900000000000002,,,,,R8,5,46.3,112,59.95,91,49.22,,,,,,,,,,,2,203
,,72,47,42,176,94,40.2,37.6,0,11.4,12.8,,,,,R9,6,48,162,58.57,100,57.65,,,,,,,,,,,2,262
,,72,47,42,176,94,42.2,,,,,,,,,R10,7.5,74,123,60.76,123,60.26,122,63.41,,,,,,,,,3,368
,,72,47,42,224,48.3,19,10,13.3,,,,,,,R11,4.5,23.5,,,,,,,,,,,,,,,0,0
,,72,47,42,233,53,5,36,28,7.2,7,,,,,R12,4.3,25,,,,,,,,,,,,,,,0,0
,,72,47,42,233,53,10,25,22,,,,,,,R13,6.4,50,185,70.2,140,62.95,155,66.45,,,,,,,,,3,480
,,72,47,42,272,121.6,15,55.2,0,40.7,32,36,3,17,15,R14,7.3,86,144,64.18,194,67.1,180,63.53,128,62.15,175,70.45,,,,,5,821
,,72,47,42,272,121.6,15,55.2,0,40.7,32,36,22,,,R15,5.2,29,109,67.41,,,,,,,,,,,,,1,109
,,72,47,42,272,121.6,15,55.2,0,40.7,32,36,26,,,R16,7.4,81,183,65.25,156,66.47,,,,,,,,,,,2,339
,,72,47,42,272,121.6,15,55.2,0,40.7,32,36,29.4,,,R17,7,65,175,69.39,,,,,,,,,,,,,1,175
,,72,47,42,272,121.6,15,55.2,5.5,36.4,4.3,,,,,R18,5.7,86,172,65.32,,,,,,,,,,,,,1,172
,,72,47,42,272,121.6,15,55.2,28.5,38.9,4,,,,,R19,6,54,176,62.25,,,,,,,,,,,,,1,176
,,72,47,42,272,121.6,15,55.2,28.5,38.9,13,,,,,R20,7.6,59,120,59.11,131,60.8,158,64.27,,,,,,,,,3,409
,,72,47,42,272,121.6,43,7,2.5,,,,,,,R21,7.2,32.5,109,52.74,,,,,,,,,,,,,1,109
,,72,47,42,272,121.6,57,41.3,13,29.3,2,,,,,R22,6.3,42,231,70.13,188,68.46,,,,,,,,,,,2,419
,,72,47,42,272,121.6,57,41.3,20,17.9,3.4,,,,,R23,9,68,159,68.4,146,63.45,,,,,,,,,,,2,305
,,72,47,42,272,121.6,57,41.3,53,30.7,3,,,,,R24,5.9,24,153,64.22,133,56.15,,,,,,,,,,,2,286
,,72,47,42,272,121.6,57,41.3,58.2,14.3,12,,,,,R25,7.4,44,161,61.49,174,64.09,,,,,,,,,,,2,335
,,72,47,42,272,121.6,57,41.3,58.2,14.3,14,,,,,R26,4.1,23,176,64.36,180,63.97,63,41.73,,,,,,,,,3,419
,,72,49,41.2,129,17.4,43.7,,,,,,,,,R27,7,68,103,55.62,135,65.92,51,47.09,,,,,,,,,3,289
,,72,49,41.2,129,17.4,48.7,,,,,,,,,R28,6.6,57,115,58.05,105,58.09,,,,,,,,,,,2,220
,,72,49,41.2,133.5,,,,,,,,,,,R29,6.2,74,,,,,,,,,,,,,,,0,0
,,72,49,41.2,134.5,19.8,26,,,,,,,,,R30,6.6,43,79,51.44,84,53.34,120,56.98,,,,,,,,,3,283
,,72,49,41.2,134.5,19.8,32.5,,,,,,,,,R31,5.6,20,64,47.68,,,,,,,,,,,,,1,64
,,72,49,41.2,134.5,19.8,49,,,,,,,,,R32,4.8,39,73,52.37,72,52.67,,,,,,,,,,,2,145
,,72,49,41.2,134.5,19.8,59.3,,,,,,,,,R33,4,26,90,57.83,,,,,,,,,,,,,1,90
,,72,49,41.2,134.5,19.8,78.3,,,,,,,,,R34,5.8,38,66,48.04,88,58.19,,,,,,,,,,,2,154
,,72,49,41.2,136.5,127.1,0,84.4,25,34,4.5,,,,,R35,6.8,57,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,0,84.4,25,34,5.5,11.6,5,,,R36,7.5,32,116,60.46,70,50.81,,,,,,,,,,,2,186
,,72,49,41.2,136.5,127.1,0,84.4,68,29.5,9,9.6,3,9,4,R37,4.7,29,119,60.2,,,,,,,,,,,,,1,119
,,72,49,41.2,136.5,127.1,0,84.4,78,22.9,4.7,11.5,8.5,,,R38,4.3,29,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,0,84.4,78,22.9,4.7,11.5,12,,,R39,7.4,80,145,62.76,123,58.95,146,64.25,,,,,,,,,3,414
,,72,49,41.2,136.5,127.1,0,84.4,78,22.9,5.2,,,,,R40,5.3,20,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,0,84.4,85,34.6,3.2,,,,,R41,6.4,44,120,58.08,119,60.44,,,,,,,,,,,2,239
,,72,49,41.2,136.5,127.1,0,84.4,101,51.4,46,22,8.5,,,R42,6.6,36,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,0,84.4,101,51.4,46,22,13.2,,,R43,5.7,33,117,59.54,,,,,,,,,,,,,1,117
,,72,49,41.2,136.5,127.1,0,84.4,101,51.4,46,22,24.7,,,R44,4.8,28,214,73.64,,,,,,,,,,,,,1,214
,,72,49,41.2,136.5,127.1,0,84.4,101,51.4,46,22,35.7,,,R45,6.7,46,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,52,30.6,3,16.2,3.2,13.8,0,R46,5.2,28,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,119,32.4,5.5,17.7,4,,,R47,4.9,30,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,119,32.4,5.5,17.7,25,,,R48,6.2,37,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,119,32.4,8.5,24.1,11,11.3,12,R49,5.5,40,156,62.13,,,,,,,,,,,,,1,156
,,72,49,41.2,136.5,127.1,7,72.2,119,32.4,8.5,24.1,24,14.4,2.3,R50,7,58,175,67.43,110,54.56,,,,,,,,,,,2,285
,,72,49,41.2,136.5,127.1,7,72.2,124,54.3,6,29.6,3,,,R51,8.8,48,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,124,54.3,6,29.6,3,,,R52,6,24,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,124,54.3,21,24.3,15,,,R53,8.6,61,129,58.07,,,,,,,,,,,,,1,129
,,72,49,41.2,136.5,127.1,7,72.2,124,54.3,21,24.3,15,9.9,1,R54,6.4,40,,,,,,,,,,,,,,,0,0
,,72,49,41.2,136.5,127.1,7,72.2,124,54.3,21,24.3,15,9.9,12.3,R55,6.9,60,108,59.95,,,,,,,,,,,,,1,108
,,72,49,41.2,224.5,68.5,21,52.2,4,23,9,19.3,6,,,R56,4.3,31,139,63.95,,,,,,,,,,,,,1,139
,,72,49,41.2,224.5,68.5,21,52.2,4,23,9,19.3,9.5,,,R57,3.7,24,,,,,,,,,,,,,,,0,0
,,72,49,41.2,224.5,68.5,21,52.2,4,23,9,19.3,12.5,,,R58,4.3,23.5,,,,,,,,,,,,,,,0,0
,,72,49,41.2,224.5,68.5,37.2,16.6,1,14.3,7.3,,,,,R59,7.4,79,164,65.34,71,50.51,133,65.62,147,62.1,,,,,,,4,515
,,72,49,41.2,224.5,68.5,37.2,16.6,8,,,,,,,R60,9.2,104,222,73.22,,,,,,,,,,,,,1,222
,,72,49,41.2,224.5,68.5,67.2,35.3,8,16.1,2,,,,,R61,9,68,174,62.21,159,62.85,,,,,,,,,,,2,333
,,72,49,41.2,224.5,68.5,67.2,35.3,16,13.9,25,,,,,R62,7,64,114,59.54,235,75.82,129,62.99,,,,,,,,,3,478
,,72,49,41.2,224.5,68.5,87.2,58,0,28.4,17,,,,,R63,9.4,71,134,63.54,,,,,,,,,,,,,1,134
,,72,49,41.2,224.5,68.5,87.2,58,0,28.4,27,,,,,R64,8.6,71,146,62.58,72,49.17,,,,,,,,,,,2,218
,,72,49,41.2,224.5,68.5,87.2,58,2,25.3,2.4,11.1,7,,,R65,7.5,61,106,55.4,164,67.52,144,65.51,115,60.66,,,,,,,4,529
,,72,52,31,131,55.4,34,32.7,3,10.8,4,8.6,5,,,R66,4.2,20,108,57.86,,,,,,,,,,,,,1,108
,,72,52,31,131,55.4,34,32.7,3,10.8,4,8.6,10,,,R67,4.5,26,108,55.08,,,,,,,,,,,,,1,108
,,72,52,31,131,55.4,34,32.7,7.3,13.5,6.2,,,,,R68,4,20,117,54.05,,,,,,,,,,,,,1,117
,,72,52,31,131,55.4,34,32.7,7.3,13.5,13.2,,,,,R69,7.2,20,161,63.59,,,,,,,,,,,,,1,161
,,72,52,31,171,60.7,9.3,38,10,,,,,,,R70,6,52,125,59.89,108,59.29,120,58.28,,,,,,,,,3,353
,,72,52,31,171,60.7,14.3,19.2,12.4,,,,,,,R71,10.4,107,136,58.04,99,56.42,65,52.47,,,,,,,,,3,300
