Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arbre N° : 8,,Ligne N° : 9,,"Variété : Nectarinier ""Spring Bright """,,,,,Parcelle : 1306,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
,,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau
,,75,42,35.5,90.5,56.6,6.5,25.5,28,,,,,,,R1,7.9,75.5,116,61.72,,,,,,,,,,,,,1,116
,,75,42,35.5,90.5,56.6,6.5,25.5,34.5,,,,,,,R2,4.7,35,,,,,,,,,,,,,,,0,0
,,75,42,35.5,90.5,56.6,6.5,25.5,44,,,,,,,R3,5.2,35,,,,,,,,,,,,,,,0,0
,,75,42,35.5,90.5,56.6,7,11.2,1.7,,,,,,,R4,3.9,24,,,,,,,,,,,,,,,0,0
,,75,42,35.5,90.5,56.6,7,11.2,10.2,,,,,,,R5,4.4,25.5,91,55.5,107,57.2,,,,,,,,,,,2,198
,,75,42,35.5,90.5,56.6,7,11.2,20.5,,,,,,,R6,3.7,25,133,63.3,,,,,,,,,,,,,1,133
,,75,42,35.5,90.5,56.6,7,11.2,34,,,,,,,R7,4,23,76,52.31,97,57.49,,,,,,,,,,,2,173
,,75,42,35.5,91,51.6,16,15,25,10.5,5.5,,,,,R8,5.6,41.5,96,53.46,99,55.43,,,,,,,,,,,2,195
,,75,42,35.5,91,51.6,16,15,25,10.5,25.9,,,,,R9,3.1,20.1,123,57.3,,,,,,,,,,,,,1,123
,,75,42,35.5,91,51.6,16,15,25,10.5,29.9,,,,,R10,4.3,38.7,110,58.5,,,,,,,,,,,,,1,110
,,75,42,35.5,91,51.6,22,19.5,7,14.5,19.5,,,,,R11,4.5,46,59,45.4,53,45.86,94,54.52,,,,,,,,,3,206
,,75,42,35.5,91,51.6,22,19.5,7,14.5,30.8,,,,,R12,3.9,15,80,51.68,79,53.49,,,,,,,,,,,2,159
,,75,42,35.5,91,51.6,22,19.5,7,14.5,39.3,,,,,R13,3.8,27.5,76,54.4,50,45.95,,,,,,,,,,,2,126
,,75,42,35.5,156.5,53.9,13.5,22.2,2.5,9.3,10,,,,,R14,3.6,17.5,81,54.6,,,,,,,,,,,,,1,81
,,75,42,35.5,156.5,53.9,13.5,22.2,2.5,9.3,20.8,,,,,R15,3.7,20,,,,,,,,,,,,,,,0,0
,,75,42,35.5,156.5,53.9,13.5,22.2,6.5,11.5,58.5,,,,,R16,11.5,58.5,133,64.51,,,,,,,,,,,,,1,133
,,75,42,35.5,156.5,53.9,13.5,22.2,10.5,13.3,3,,,,,R17,3.3,21.5,87,55.79,136,64.96,,,,,,,,,,,2,223
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,3,20.8,14.5,,,R18,10.5,75,128,62.16,129,63.07,,,,,,,,,,,2,257
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,3,20.8,39.8,,,R19,5.7,56.5,156,65.17,100,54.66,90,54.9,,,,,,,,,3,346
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,3,20.8,43.599999999999994,,,R20,5.9,34.5,99,57.05,107,57.2,,,,,,,,,,,2,206
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,6,11,0.5,,,R21,5.8,49.5,133,63.12,,,,,,,,,,,,,1,133
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,17.5,17.5,12.5,,,R22,5.3,34.5,82,55.57,128,63.63,109,57.21,,,,,,,,,3,319
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,17.5,17.5,14.9,,,R23,4.5,29.5,124,61.78,,,,,,,,,,,,,1,124
,,75,42,35.5,196.5,90,11,61.5,5.5,29.8,17.5,17.5,20.9,,,R24,4.8,22.5,123,62.22,144,56.8,178,66.55,,,,,,,,,3,445
,,75,42,35.5,196.5,90,11.5,47.3,27.5,11.8,5,,,,,R25,4,22.7,90,56.39,,,,,,,,,,,,,1,90
,,75,42,35.5,196.5,90,21,80,0,,,,,,,R26,6.3,57,109,60.5,128,60.48,76,53.94,,,,,,,,,3,313
,,75,42,35.5,196.5,90,21,80,2,,,,,,,R27,13,138,120,59.2,105,56.7,106,56.49,110,58.36,,,,,,,4,441
,,75,42,35.5,196.5,90,51,63.7,6,29.6,12.7,,,,,R28,4.8,27.5,108,61.28,130,59.34,,,,,,,,,,,2,238
,,75,42,35.5,196.5,90,51,63.7,8.5,44.4,14.7,,,,,R29,5.4,38.5,148,65.08,115,58.25,,,,,,,,,,,2,263
,,75,42,35.5,196.5,90,51,63.7,8.5,44.4,27.9,28.7,25.3,,,R30,8.6,72.5,79,48.01,136,62.86,112,61.82,,,,,,,,,3,327
,,75,42,35.5,196.5,90,51,63.7,8.5,44.4,27.9,28.7,48.8,,,R31,7.2,32.5,180,70.41,87,57.29,60,44.99,,,,,,,,,3,327
,,75,42,35.5,196.5,90,51,63.7,8.5,44.4,27.9,28.7,57.8,,,R32,9.2,78.5,142,63.75,146,63.74,179,66.38,,,,,,,,,3,467
,,75,42,35.5,196.5,90,51,63.7,8.5,44.4,55.4,20.4,15.8,,,R33,7,44.5,154,67.31,145,61.51,156,63.74,,,,,,,,,3,455
,,75,42,35.5,196.5,90,51,63.7,8.5,44.4,55.4,20.4,33.3,,,R34,5.6,29.5,117,58.73,70,48.55,,,,,,,,,,,2,187
,,75,42,35.5,196.5,90,51,64.7,8.5,45.4,55.4,20.4,37.8,,,R35,5.1,23,,,,,,,,,,,,,,,0,0
,,75,42,35.5,196.5,90,51,65.7,8.5,46.4,55.4,20.4,41.3,,,R36,6.4,46.2,,,,,,,,,,,,,,,0,0
,,75,38,37,36,51.9,4,29.7,0,,,,,,,R37,4.9,36.5,59,47.85,111,59.62,,,,,,,,,,,2,170
,,75,38,37,36,51.9,4,29.7,15.3,,,,,,,R38,9.1,117.7,59,48.38,125,61.84,95,53.03,,,,,,,,,3,279
,,75,38,37,36,51.9,4,29.7,36.3,11.7,1.2,,,,,R39,7,73,47,44.7,105,59.5,108,57.72,,,,,,,,,3,260
,,75,38,37,36,51.9,4,29.7,45.5,,,,,,,R40,6,67,112,59.78,130,62.14,,,,,,,,,,,2,242
,,75,38,37,36,51.9,4,29.7,55.5,,,,,,,R41,6.2,32,129,60.02,,,,,,,,,,,,,1,129
,,75,38,37,36,51.9,4,29.7,63.5,,,,,,,R42,9.5,104.5,76,50.13,62,47.46,142,66.03,107,56.03,,,,,,,4,387
,,75,38,37,36,51.9,4,29.7,87.1,,,,,,,R43,4.5,36,,,,,,,,,,,,,,,0,0
,,75,38,37,36,51.9,4,29.7,90.6,,,,,,,R44,5.8,51,109,59.83,95,55.55,,,,,,,,,,,2,204
,,75,38,37,198,100,3.5,86.4,7.5,,,,,,,R45,4.5,24,,,,,,,,,,,,,,,0,0
,,75,38,37,198,100,3.5,86.4,7.5,35.2,2,,,,,R46,7.5,45.2,,,,,,,,,,,,,,,0,0
,,75,38,37,198,100,3.5,86.4,7.5,35.2,107,13.3,4,7.5,5.5,R47,5.4,29,,,,,,,,,,,,,,,0,0
,,75,38,37,198,100,3.5,86.4,24,28.4,6.5,9.2,1,,,R48,5.4,41,,,,,,,,,,,,,,,0,0
,,75,38,37,198,100,3.5,86.4,73.5,56.7,28,,,,,R49,8.5,67.5,,,,,,,,,,,,,,,0,0
