Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Arbre N° : 12,,Ligne N° : 8,,Variété : ," Nectarinier ""Spring Bright """,,,,Parcelle :  1306,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4 éme ss charpant,,5 éme ss charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
,,Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Nbr de fruit par rameau,Poid total de fruit  par rameau
,,79,55,38,114,74.1,11,33.6,11.2,25,15.7,16.5,14,,,R 1,7.8,63,,,,,,,,,,,,,,,0,0
,,79,55,38,114,74.1,11,33.6,11.2,25,15.7,16.5,19.5,,,R 2,9.4,92,,,,,,,,,,,,,,,0,0
,,79,55,38,114,74.1,11,33.6,11.2,25,26.2,,,,,R 3,10.5,49,76,54.58,51,44.05,44,43.08,,,,,,,,,3,171
,,79,55,38,114,74.1,11,33.6,11.2,25,36.9,,,,,R 4,6.6,56,140,62.37,52,45.03,,,,,,,,,,,2,192
,,79,55,38,214,81,9,65.8,28,31.7,1.6,13.8,2.5,,,R 5,5.8,58,155,66.94,149,64.89,63,50.26,,,,,,,,,3,367
,,79,55,38,214,81,9,65.8,28,31.7,1.6,13.8,12.5,,,R 6,6.3,73,110,60.34,,,,,,,,,,,,,1,110
,,79,55,38,214,81,9,65.8,28,31.7,15.6,,,,,R 7,6.2,36,,,,,,,,,,,,,,,0,0
,,79,55,38,214,81,9,65.8,56,43.2,5,16.4,1,,,R 8,4.7,22,129,62.79,138,60.94,142,63.38,139,61.53,63,50.48,102,59.73,,,6,713
,,79,55,38,214,81,9,65.8,74,39.8,8.4,22,14,,,R 9,5.5,29,67,48.21,,,,,,,,,,,,,1,67
,,79,55,38,214,81,9,65.8,74,39.8,8.4,22,18,15.7,2,R 10,10.5,92,,,,,,,,,,,,,,,0,0
,,79,55,38,214,81,9,65.8,74,39.8,13.4,25.7,11.7,,,R 11,8.9,60,126,53.5,,,,,,,,,,,,,1,126
,,79,55,38,214,81,9,65.8,74,39.8,13.4,25.7,26.7,,,R 12,8,61,124,61.05,66,50.49,,,,,,,,,,,2,190
,,79,55,38,214,81,15,39.8,14,,,,,,,R 13,5.3,47,,,,,,,,,,,,,,,0,0
,,79,55,38,214,81,15,39.8,42,9.1,6.3,,,,,R 14,6.5,47,,,,,,,,,,,,,,,0,0
,,79,55,38,221,95,58,26,22.4,,,,,,,R 15,7.3,38,47,41.94,42,42.24,112,53.43,,,,,,,,,3,201
,,79,55,38,221,95,79,15,3,,,,,,,R 16,9.1,58,147,68.69,177,47.25,,,,,,,,,,,2,324
,,79,55,38,221,95,81,37,2.3,,,,,,,R 17,7.2,64,134,64.21,84,52.29,,,,,,,,,,,2,218
,,79,58,40,70,66.2,13,29.8,26,,,,,,,R 18,12.3,95,50,46.51,52,43.1,50,44.8,50,44.91,,,,,,,4,202
,,79,58,40,70,66.2,13,29.8,42.5,,,,,,,R 19,7.1,70,85,55.29,75,51.39,,,,,,,,,,,2,160
,,79,58,40,70,66.2,13,29.8,62.5,,,,,,,R 20,7.5,75,36,38.51,74,53.09,40,40.54,54,44.37,41,40.91,,,,,5,245
,,79,58,40,70,66.2,13,29.8,84.9,,,,,,,R 21,6.8,51,88,54.69,39,40.21,,,,,,,,,,,2,127
,,79,58,40,90,70,23,34.4,14,11,1.2,,,,,R 22,8,66,63,48.52,116,59.21,77,50.32,,,,,,,,,3,256
,,79,58,40,90,70,41,36,3.5,21,4,,,,,R 23,9.8,97,120,62.42,140,63.15,150,65.14,,,,,,,,,3,410
,,79,58,40,90,70,59,36,3.5,21,18,16.4,14,,,R 24,6.5,31,89,53.61,68,51.17,104,58.46,104,60.33,,,,,,,5,365
,,79,58,40,90,70,77,36,3.5,21,18,16.4,23,,,R 25,6,26,,,,,,,,,,,,,,,0,0
,,79,58,40,90,70,95,36,3.5,21,18,16.4,29,,,R 26,6.6,22,114,62.99,,,,,,,,,,,,,1,114
,,79,58,40,90,70,113,36,3.5,21,39,14,11.7,,,R 27,6.7,55,162,69.08,85,53.64,,,,,,,,,,,2,247
,,79,58,40,90,70,131,36,3.5,21,39,14,20.2,,,R 28,8.6,36,156,63.9,95,57.3,117,59.72,,,,,,,,,3,368
,,79,58,40,90,70,149,36,3.5,21,39,14,23.2,,,R 29,9.1,79,164,65.32,142,65.91,114,64.5,,,,,,,,,3,420
,,79,58,40,90,70,230,27.6,2.5,13.1,12,,,,,R 30,7.6,58,138,63.64,159,68.36,,,,,,,,,,,2,297
,,79,58,40,90,70,230,27.6,2.5,13.1,16,,,,,R 31,6.2,50,102,55.25,129,60.63,109,59.32,107,59.11,56,43.11,,,,,5,503
,,79,58,40,90,70,230,27.6,5,,,,,,,R 32,15.1,108,107,58.82,,,,,,,,,,,,,1,107
,,79,58,40,90,70,230,27.6,14,,,,,,,R 33,5.6,36,101,57.02,,,,,,,,,,,,,1,101
,,79,58,40,90,70,230,27.6,35,24,2,12.1,13,,,R 34,9.1,86,161,64.2,41,42.9,84,50.49,,,,,,,,,3,286
,,79,58,40,90,70,230,27.6,35,24,2,12.1,23,14.3,4,R 35,8.3,52,130,60.67,,,,,,,,,,,,,1,130
,,79,58,40,90,70,230,27.6,35,24,2,12.1,29,18.6,3.5,R 36,8,71,146,62.46,132,64.48,127,65.62,,,,,,,,,3,405
,,79,58,40,226,80.7,72,45,4,27.1,7.2,,,,,R 37,7.4,47,93,55.41,85,53.6,,,,,,,,,,,2,178
,,79,58,40,226,80.7,72,45,9,22.3,4.7,,,,,R 38,7.4,62,61,47.46,57,48.34,131,60.88,,,,,,,,,3,249
,,79,58,40,226,80.7,72,45,9,22.3,5.7,,,,,R 39,8.6,77,137,63.02,143,67.19,108,72.59,63,48.45,120,60.87,,,,,5,571
,,79,58,40,226,80.7,112,43.2,6,12,7,,,,,R 40,7.5,78,180,70.43,146,63.53,155,67.68,74,47.61,61,48.1,,,,,5,616
,,79,58,40,226,80.7,112,43.2,27,,,,,,,R 41,6.1,57,150,67.53,124,61.52,80,55.81,,,,,,,,,3,354
,,79,58,40,226,80.7,112,43.2,29,18,11,,,,,R 42,8.6,47,72,48.11,,,,,,,,,,,,,1,72
,,79,58,40,226,80.7,112,43.2,29,18,36,,,,,R 43,8,61,126,61.35,,,,,,,,,,,,,1,126
,,79,58,40,226,80.7,122.2,46.7,35.5,10.1,1.5,,,,,R 44,6.9,45,113,58.98,119,63.22,,,,,,,,,,,2,232
,,79,58,40,226,80.7,130.2,57.2,50,,,,,,,R 45,8.4,50,146,65.9,135,64.82,,,,,,,,,,,2,281
,,79,58,40,226,80.7,130.2,57.2,64,,,,,,,R 46,5.8,40,201,74.67,106,55.26,,,,,,,,,,,2,307
,,79,58,40,229,102,5,21.6,9.5,16.2,3,,,,,R 47,5.9,29,96,54.41,115,61.71,,,,,,,,,,,2,211
,,79,58,40,229,102,5,21.6,15.5,17.4,3.8,,,,,R 48,5.6,37,135,62.78,158,67.12,,,,,,,,,,,2,293
,,79,58,40,229,102,5,21.6,15.5,17.4,4.3,7.2,4.7,,,R 49,4.7,27,158,69.33,,,,,,,,,,,,,1,158
