DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5,year
66.5,40,31.5,56,35.82,0,19.47,24,,,,,R51,7.48,76,188,70,158,75.5,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,35.82,0,19.47,2,,,,,R52,7.46,39,182,72,174,70,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,44,,,,,,,R53,5.96,60,144,49,96,55,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,12.5,,,,,,,R54,7.97,80,190,70,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,20,8.98,8,,,,,R55,6.38,88,128,60,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,29.5,,,,,,,R56,6,29,126,59,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,23,,,,,,,R57,7.36,26,138,66,148,64.5,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,4,,,,,,,R58,9.29,63,190,68,134,59,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,56,48.52,46.5,13.3,2.5,,,,,R59,8.02,83,132,60,164,68,146,60,140,64,0,0,0,0,0,0,2019
66.5,40,31.5,34,13.69,6.5,,,,,,,R60,4.62,27,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,34,13.69,3,,,,,,,R61,7.86,23,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,35.5,,,,,,,,,R62,17.04,175,232,73,108,58,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,28,37.13,3.5,,,,,,,R63,5.94,55.5,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,13,54.43,94,,,,,,,R64,9.06,67,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,13,54.43,7,31.15,17,,,,,R65,11.97,73,208,71,168,66.5,192,69,,,0,0,0,0,0,0,2019
66.5,40,31.5,13,54.43,7,29.13,4,,,,,R66,11.62,77,224,74,150,63,170,76,,,0,0,0,0,0,0,2019
66.5,40,31.5,13,54.43,-47,,,,,,,R67,4,133,262,84,262,85,144,63,,,0,0,0,0,0,0,2019
66.5,40,31.5,30,52.92,28.5,28.16,3,,,,,R68,8.15,67,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,30,52.92,28.5,28.16,0,,,,,R69,10.88,107.5,246,74,206,70,192,71,162,65,0,0,0,0,0,0,2019
66.5,40,31.5,30,52.92,16,26.64,3,,,,,R70,9.63,81.5,172,68,158,65,158,65,,,0,0,0,0,0,0,2019
66.5,40,31.5,30,52.92,16,26.64,0,,,,,R71,8.19,69.5,224,64,148,64,162,75,,,0,0,0,0,0,0,2019
66.5,40,31.5,30,52.92,14,15.99,36,,,,,R72,10.24,56.5,182,69,138,63,,,,,0,0,0,0,0,0,2019
66.5,40,31.5,30,52.92,-16,,,,,,,R73,8.04,87,200,70,156,64,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,24,,,,,,,,,R74,15.37,123,168,66,130,63,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,23,,,,,,,,,R75,4.79,43.5,110,56,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,56,15.49,5,,,,,,,R76,6.18,61,170,65,136,61.5,74,54,,,0,0,0,0,0,0,2019
66.5,40,29.5,-46.5,11.89,4,,,,,,,R77,4.68,41,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,-46.5,11.89,4.5,9.36,14,,,,,R78,6.55,43,134,68,116,66,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,-14.5,,,,,,,,,R79,5.64,59.5,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,32,16.3,11,,,,,,,R80,4.39,28,74,51,76,50,82,49,,,0,0,0,0,0,0,2019
66.5,40,29.5,32,16.3,6,,,,,,,R81,5.4,34,110,57,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,32,16.3,2,,,,,,,R82,4.96,45,102,52.5,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,30,14.84,12.65,,,,,,,R83,10.63,113,148,63,202,70,134,68,,,0,0,0,0,0,0,2019
66.5,40,29.5,65,,,,,,,,,R84,4.93,23.5,134,58,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,13.5,10.5,9.5,,,,,,,R85,6,61,146,64,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,12,,,,,,,,,R86,7.35,32.5,164,69,126,63.5,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,23.5,,,,,,,,,R87,9.64,117,172,67,244,77,192,70,,,0,0,0,0,0,0,2019
66.5,40,29.5,5.5,30.88,38,,,,,,,R88,9.35,80,210,70,194,70,258,78,,,0,0,0,0,0,0,2019
66.5,40,29.5,9,,,,,,,,,R89,10.25,106.5,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,31,59.17,10,,,,,R90,10.14,116,136,60,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,13,,,R91,5.1,20,186,69,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,9,,,R92,11.72,106.5,214,73,200,68,182,69,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,19,,,R93,8.3,73,218,74,248,76,71,47,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,30.5,43.03,10,24.29,6.5,,,R95,5.74,48.5,,,,,,,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,0,44.93,9.5,,,,,R96,10.49,87,214,73.5,222,73.5,190,71,,,0,0,0,0,0,0,2019
66.5,40,29.5,-45,66.38,0,44.93,3,18.94,20.5,,,R97,14.5,100,280,79,152,67,262,82,,,0,0,0,0,0,0,2019
64.5,34,33,62,,,,,,,,,R1,20,104,126,62,,,,,,,,,,,,,2019
64.5,34,33,46,,,,,,,,,R2,10,59.5,166,66,,,,,,,,,,,,,2019
64.5,34,33,66,,,,,,,,,R3,12,107,158,69,178,71.5,58,47,,,,,,,,,2019
64.5,34,33,8.5,,,,,,,,,R4,9,70.5,186,73.5,178,72,152,65,,,,,,,,,2019
64.5,34,33,0,,,,,,,,,R5,16,129,162,68,136,63,210,74,218,75,130,61.5,,,140,63,2019
64.5,34,33,0,66,35,,,,,,,R6,7,44,128,61,134,61,142,65,112,60,,,,,,,2019
64.5,34,33,0,66,0,10,5,,,,,R7,6,17,158,67,,,,,,,,,,,,,2019
64.5,34,33,0,66,46,46,4,,,,,R8,9.5,96,112,57,150,66,,,,,,,,,,,2019
64.5,34,33,0,66,46,46,0,,,,,R9,12.5,106,90,51,116,59,186,71,236,80,,,,,222,74,2019
64.5,34,33,0,66,8,34,20,,,,,R10,7,45,170,67,,,,,,,,,,,,,2019
64.5,34,33,0,66,8,34,14,,,,,R11,7.5,22,182,69,,,,,,,,,,,,,2019
64.5,34,33,0,66,8,34,3,,,,,R12,8,34,210,73,200,74,,,,,,,,,,,2019
64.5,34,33,0,66,8,34,7,13,6,,,R13,6,28,148,60.5,126,58,,,,,,,,,,,2019
64.5,34,33,0,66,8,34,3,12,7,,,R14,9.5,43,172,66.5,,,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,25,,,,,,,R15,5,20,168,67,,,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,15,,,,,,,R16,9,89.5,104,56.5,202,73,184,70,,,,,,,,,2019
64.5,34,32.5,66,55.5,0,,,,,,,R17,19.5,183,108,56.5,158,67,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,26,,,,,,,R18,11,115.5,196,70,104,54,112,58,,,,,,,,,2019
64.5,34,32.5,66,55.5,-36,11,2,,,,,R19,5,34.5,152,67,,,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,46,,,,,,,R20,11,3,140,63,178,69,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,0,35,36,,,,,R21,17,17,194,70,152,69,148,65,200,70,,,,,,,2019
64.5,34,32.5,66,55.5,0,35,36,17,77,,,R22,9,50,174,68,150,64,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,17,,,,,,,R23,7,70,92,53,70,52,74,48.5,,,,,,,,,2019
64.5,34,32.5,66,55.5,0,,,,,,,R24,4.5,38,112,57,90,54,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,21,,,,,,,R25,14.5,106,204,71.5,200,72,166,66,156,62,,,,,,,2019
64.5,34,32.5,66,55.5,17,24,7.5,,,,,R26,11,82,182,67,214,75,150,63,116,59,,,,,,,2019
64.5,34,32.5,66,55.5,17,24,22,,,,,R27,7,47,216,75,186,70.5,180,70,,,,,,,,,2019
64.5,34,32.5,66,55.5,17,24,15,9.5,5,,,R28,9,71.5,150,64,154,65,,,,,,,,,,,2019
64.5,34,32.5,66,55.5,17,24,0,,,,,R29,11,67,106,55,158,64,170,68,192,68.5,,,,,208,74,2019
64.5,34,32.5,0,,,,,,,,,R30,,,100,57.5,,,,,,,,,,,,,2019
64.5,34,32.5,24,,,,,,,,,R31,13,107,160,64,58,49,,,,,,,,,,,2019
64.5,34,32.5,86,12,13,,,,,,,R32,7,63,148,64,,,,,,,,,,,,,2019
64.5,34,32.5,25,61.5,16,,,,,,,R33,7.5,68,146,63,114,60,158,65,,,,,,,,,2019
64.5,34,32.5,25,61.5,-7,,,,,,,R34,6,67.5,134,62,108,57.5,84,54,,,,,,,,,2019
64.5,34,32.5,25,61.5,7,,,,,,,R35,9,104,166,66.5,176,68,,,,,,,,,,,2019
64.5,34,32.5,0,,,,,,,,,R36,8,79,230,77,140,64,128,69.5,,,,,,,,,2019
64.5,34,32.5,42,57.5,32,,,,,,,R37,6,40,178,69,138,64,,,,,,,,,,,2019
64.5,34,32.5,42,57.5,27,,,,,,,R38,8,59,174,69.5,242,79,,,,,,,,,,,2019
64.5,34,32.5,42,57.5,-7,,,,,,,R39,12.5,122,136,64,144,65.5,156,66.5,,,,,,,,,2019
64.5,34,32.5,42,57.5,7,31,4,,,,,R40,16,100,208,72.5,216,75,,,,,,,,,,,2019
64.5,34,32.5,42,57.5,7,31,0,,,,,R41,14.5,98,220,76,240,78.5,132,61,154,67,,,,,,,2019
64.5,34,32.5,28.5,79,0,,,,,,,R42,6,61,98,51,64,46,,,,,,,,,,,2019
64.5,34,32.5,28.5,26,2,,,,,,,R43,10,110,132,62,118,58,,,,,,,,,,,2019
64.5,34,32.5,32,,,,,,,,,R44,5,24.5,146,64,,,,,,,,,,,,,2019
64.5,34,32.5,0,,,,,,,,,R45,,,,,,,,,,,,,,,,,2019
64.5,34,32.5,75,36,32,,,,,,,R46,6,64,100,53.5,138,61,,,,,,,,,,,2019
64.5,34,32.5,75,36,16.5,,,,,,,R47,9,90,180,64,144,142,,,,,,,,,,,2019
64.5,34,32.5,18,,,,,,,,,R48,9,78,148,65,,,,,,,,,,,,,2019
64.5,34,32.5,14,,,,,,,,,R49,15,59,202,74,184,69,,,,,,,,,,,2019
64.5,34,32.5,7,,,,,,,,,R50,9.5,93,158,61.5,164,62,234,61,,,,,,,,,2019
64.5,34,32.5,-27,13,12,,,,,,,R51,7,64,126,71,152,68,,,,,,,,,,,2019
64.5,34,32.5,54,,,,,,,,,R52,5.5,39,154,61,,,,,,,,,,,,,2019
64.5,34,32.5,15,45,41,35,2.5,,,,,R53,6,48,154,66,140,63,,,,,,,,,,,2019
64.5,34,32.5,15,45,41,35,0,7,7,,,R54,10,55,186,70,200,72,174,74,,,,,,,,,2019
64.5,34,32.5,15,45,41,35,0,,,,,R55,8,84,252,78,160,62,84,48,,,,,,,,,2019
64.5,34,32.5,38,11,5,,,,,,,R56,7,60,192,69,,,,,,,,,,,,,2019
64.5,34,32.5,-3,15,4,,,,,,,R57,9.5,64,154,63,148,65.5,168,65,,,,,,,,,2019
64.5,34,32.5,25,48,3,,,,,,,R58,12.5,105,256,78.5,23,75,222,77,180,69,,,,,,,2019
64.5,34,32.5,0,20,11,,,,,,,R59,5,18,186,70,,,,,,,,,,,,,2019
64.5,34,32.5,0,20,10,,,,,,,R60,5,20,186,69,,,,,,,,,,,,,2019
64.5,34,32.5,0,20,5.5,,,,,,,R61,5.5,37,184,69,188,69.5,,,,,,,,,,,2019
64.5,34,32.5,0,20,19,,,,,,,R62,6,28,144,72,,,,,,,,,,,,,2019
64.5,34,32.5,0,20,9,,,,,,,R63,9,34.5,216,63,140,63.5,,,,,,,,,,,2019
64.5,34,32.5,0,20,60,,,,,,,R64,6,46,188,70,178,69,,,,,,,,,,,2019
64.5,34,32.5,0,20,52,21,2,,,,,R65,12,45,132,60,184,70,,,,,,,,,,,2019
64.5,34,32.5,0,20,52,21,4,,,,,R66,7,34,,,,,,,,,,,,,,,2019
64.5,34,32.5,0,20,52,21,0,,,,,R67,8,56,164,65,164,68,202,72,148,63,,,,,,,2019
64.5,34,32.5,39,16.5,5.5,,,,,,,R68,12,91.5,162,68,162,66.5,,,,,,,,,,,2019
64.5,34,32.5,47,2.65,50,22,10,,,,,R69,10.5,78,204,72,178,67.5,232,77,,,,,,,,,2019
64.5,34,32.5,47,2.65,50,22,14,,,,,R70,7.5,39,188,68,,,,,,,,,,,,,2019
64.5,34,32.5,47,2.65,50,22,-18,,,,,R71,7.5,47,170,76,174,66,118,60,,,,,,,,,2019
64.5,34,32.5,-10,8,6.5,,,,,,,R72,6,65.5,184,56,108,52.5,,,,,,,,,,,2019
64.5,34,32.5,12,63,52,18,11,,,,,R73,9,73,156,66,144,64,,,,,,,,,,,2019
64.5,34,32.5,12,63,52,18,0,,,,,R74,11,76,104,57,138,68,140,63,138,60,,,,,,,2019
64.5,34,32.5,12,63,52,18,6.5,,,,,R75,8.5,63,142,62,160,67,,,,,,,,,,,2019
64.5,34,32.5,12,63,52,18,32,,,,,R76,11.5,66,154,64,166,64.5,150,65,156,66,,,,,,,2019
64.5,34,32.5,12,63,52,18,2,,,,,R77,24,109,178,68,180,69,,,154,64.5,,,,,,,2019
64.5,34,32.5,27,,,,,,,,,R78,13,105,190,78.5,154,68.5,94,53,,,,,,,,,2019
64.5,34,32.5,38,34,13,,,,,,,R79,5.5,21,198,74,,,,,,,,,,,,,2019
64.5,34,32.5,38,34,6,,,,,,,R80,9,68,186,71,178,69,110,54,,,,,,,,,2019
64.5,34,32.5,38,34,6.5,9.5,5.5,,,,,R81,7,47.5,140,64,126,64,108,65,144,55,,,,,,,2019
64.5,34,32.5,38,34,6.5,9.5,2,,,,,R82,7,27,136,61.5,,,,,,,,,,,,,2019
64.5,34,32.5,38,34,6.5,9.5,3,14.5,8,,,R83,10,78,192,71.5,194,73,148,66,,,,,,,,,2019
59.5,31,30,83,17.5,13.5,,,,,0,0,R1,8,74,114,58.5,178,69,80,50,,,,,0,0,,,2019
59.5,31,30,83,17.5,3,,,,,0,0,R2,7.5,57,174,66,,,,,,,,,0,0,,,2019
59.5,31,30,83,17.5,21.5,,,,,0,0,R3,7,45,106,78,,,,,,,,,0,0,,,2019
59.5,31,30,83,17.5,7.5,,,,,0,0,R4,6.5,56,118,56.5,76,50,,,,,,,0,0,,,2019
59.5,31,30,83,17.5,8,,,,,0,0,R5,5,1.5,,,,,,,,,,,0,0,,,2019
59.5,31,30,83,17.5,31,,,,,0,0,R6,5,1,,,,,,,,,,,0,0,,,2019
59.5,31,30,83,17.5,4.5,,,,,0,0,R7,6,40,96,56,,,,,,,,,0,0,,,2019
59.5,31,30,13,,,,,,,0,0,R8,9,88.5,112,56.5,164,68.5,112,59,,,,,0,0,,,2019
59.5,31,30,13,,,,,,,0,0,R9,10.5,79,114,58,150,64,174,68.5,,,,,0,0,,,2019
59.5,31,30,55,,,,,,,0,0,R10,6,6,178,71,,,,,,,,,0,0,,,2019
59.5,31,30,0,,,,,,,0,0,R11,6.5,53,80,52,116,58,,,,,,,0,0,,,2019
59.5,31,30,12,11,5,,,,,0,0,R12,6,49,138,64,82,48,48,39,,,,,0,0,,,2019
59.5,31,30,56,13.5,4.5,,,,,0,0,R13,8,49,170,68,,,,,,,,,0,0,,,2019
59.5,31,30,-12,,,,,,,0,0,R14,6.5,48.5,80,50,,,,,,,,,0,0,,,2019
59.5,31,30,0,,,,,,,0,0,R15,8.5,30.5,112,56,120,59.5,134,60,,,,,0,0,,,2019
59.5,31,30,34.5,,,,,,,0,0,R16,9,44.5,124,61.5,164,68,198,71,,,,,0,0,,,2019
59.5,31,30,0,21.5,2,18,5,,,0,0,R17,11,71.5,118,61,188,73,78,54,162,67,,,0,0,136,62.5,2019
59.5,31,30,32,,,,,,,0,0,R18,10.5,89,142,64,194,70,170,65.5,164,60,,,0,0,120,59.5,2019
59.5,31,30,0,34,12,,,,,0,0,R19,9,72,132,62,116,57,216,74,140,65,,,0,0,,,2019
59.5,31,30,0,34,13,16,5,,,0,0,R20,12,80,172,66,136,61,,,,,,,0,0,,,2019
59.5,31,30,0,34,10,,,,,0,0,R21,8.5,49,152,66,120,55.5,,,,,,,0,0,,,2019
59.5,31,30,0,64,5,,,,,0,0,R22,10.5,82.5,202,73,208,75,170,65,,,,,0,0,,,2019
59.5,31,30,0,64,12,28.5,4,,,0,0,R23,18,128,200,74,198,73,108,72.5,,,,,0,0,,,2019
59.5,31,30,0,64,12,28.5,0,,,0,0,R24,8.5,56,140,62,162,63,,,,,,,0,0,,,2019
59.5,31,34,66,48,35,,,,,0,0,R25,11,19,162,68,,,,,,,,,0,0,,,2019
59.5,31,34,66,48,29,,,,,0,0,R26,5,54,,,,,,,,,,,0,0,,,2019
59.5,31,34,66,48,15,,,,,0,0,R27,6,22,170,64,,,,,,,,,0,0,,,2019
59.5,31,34,66,48,25,,,,,0,0,R28,10,110,162,69,134,60,136,61.5,126,58.5,,,0,0,,,2019
59.5,31,34,66,48,25,30,10.5,13,18.5,0,0,R29,8.5,82,172,70,136,62.5,,,,,,,0,0,,,2019
59.5,31,34,66,48,0,11,7.5,,,0,0,R30,8.5,82,154,64.5,,,,,,,,,0,0,,,2019
59.5,31,34,29,,,,,,,0,0,R31,7.5,79.5,98,55.5,124,61,118,60,,,,,0,0,,,2019
59.5,31,34,22,,,,,,,0,0,R32,8.5,100.5,138,63,,,,,,,,,0,0,,,2019
59.5,31,34,72,31.5,12,,,,,0,0,R33,7,26,128,62,142,63,,,,,,,0,0,,,2019
59.5,31,34,72,31.5,36,,,,,0,0,R34,9,1.5,146,66,,,,,,,,,0,0,,,2019
59.5,31,34,72,31.5,16,,,,,0,0,R35,17,2,146,65,,,,,,,,,0,0,,,2019
59.5,31,34,72,31.5,11,,,,,0,0,R36,13.5,78,162,66.5,66,44.5,180,70,164,65,110,66,0,0,146,64,2019
59.5,31,34,72,31.5,6.5,,,,,0,0,R37,19,45,174,62,130,62.5,168,67,,,,,0,0,,,2019
59.5,31,34,72,31.5,-46.5,,,,,0,0,R38,11,78,136,62,142,64,,,,,,,0,0,,,2019
59.5,31,34,0,65,6,,,,,0,0,R39,10.5,117,142,72,,,,,,,,,0,0,,,2019
59.5,31,34,0,65,94.5,,,,,0,0,R40,16,90,206,72,130,65,120,62,,,,,0,0,,,2019
59.5,31,34,0,65,9.5,,,,,0,0,R41,8,56.5,126,60,,,,,,,,,0,0,,,2019
59.5,31,34,62,25,15,,,,,0,0,R42,8.5,66,178,61,166,68,,,,,,,0,0,,,2019
59.5,31,34,62,45,1,,,,,0,0,R43,7.5,52.5,,,,,,,,,,,0,0,,,2019
59.5,31,34,3,,,,,,,0,0,R44,5,46,204,72,202,69,,,,,,,0,0,,,2019
59.5,31,34,0,,,,,,,0,0,R45,7,82,170,66.5,144,64,96,55,150,64,114,58.5,0,0,128,60,2019
59.5,31,34,3,10,6,,,,,0,0,R46,8.5,66,170,65,155,67,164,68.5,,,,,0,0,,,2019
59.5,31,34,-53,29,3.5,17.5,12.5,,,0,0,R47,7,62,178,62,130,61.5,146,65,98,55,,,0,0,,,2019
59.5,31,34,-53,29,3.5,17.5,-1.5,,,0,0,R48,6,46,154,67,88,49,164,65,86,52,,,0,0,86,50,2019
59.5,31,33,52,53,68,,,,,0,0,R49,6.5,42.5,188,69,120,53,128,58.5,,,,,0,0,,,2019
59.5,31,33,52,53,11,,,,,0,0,R50,7,43,106,57,92,56,,,,,,,0,0,,,2019
59.5,31,33,52,53,33,,,,,0,0,R51,8,84.5,,,,,,,,,,,0,0,,,2019
59.5,31,33,52,53,30,,,,,0,0,R52,7,49,184,70.5,170,66.5,,,,,,,0,0,,,2019
59.5,31,33,52,53,44,,,,,0,0,R53,10,77,172,69,148,64,180,70.5,154,65,,,0,0,,,2019
59.5,31,33,52,53,8.5,,,,,0,0,R54,10,101,232,75,142,64,222,73,160,63,,,0,0,138,63.5,2019
59.5,31,33,52,53,0,,,,,0,0,R55,7,50,182,70,204,72,,,,,,,0,0,,,2019
59.5,31,33,52,53,0,17.5,11,,,0,0,R56,8,44,134,64,156,66,,,,,,,0,0,,,2019
