,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr6,DFr6,DChar5,LChar5,PFr5,DFr5
35,66.5,40,90.0,34.0,20.0,16.0,,,,,,,R35,7.12,93.0,122.0,58.0,122.0,58.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
36,66.5,40,90.0,34.0,40.0,13.0,,,,,,,R36,16.15,60.0,152.0,61.0,92.0,54.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
37,66.5,40,90.0,34.0,40.0,10.0,13.44,29.0,,,,,R37,4.01,27.0,176.0,69.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
38,66.5,40,90.0,34.0,40.0,10.0,13.44,13.0,,,,,R38,5.48,29.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
39,66.5,40,90.0,34.0,40.0,56.0,12.72,1.0,,,,,R39,7.2,54.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
40,66.5,40,90.0,34.0,40.0,3.0,,,,,,,R40,17.77,180.0,254.0,78.0,226.0,76.0,182.0,70.0,,,0.0,0.0,0.0,0.0,0.0,0.0
41,66.5,40,90.0,40.0,76.0,43.0,8.62,15.0,,,,,R41,11.42,125.0,152.0,68.0,138.0,61.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
42,66.5,40,90.0,110.0,14.86,3.0,,,,,,,R42,7.99,70.5,172.0,68.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
43,66.5,40,90.0,110.0,14.86,14.5,,,,,,,R43,6.73,40.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
44,66.5,40,90.0,22.0,22.87,41.0,,,,,,,R44,13.35,92.0,178.0,76.0,248.0,78.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
45,66.5,40,90.0,-17.0,18.98,6.0,,,,,,,R45,12.7,138.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
46,66.5,40,31.5,56.0,35.82,59.0,,,,,,,R46,4.81,26.0,144.0,63.5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
47,66.5,40,31.5,56.0,35.82,3.0,,,,,,,R47,8.6,94.0,114.0,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
48,66.5,40,31.5,56.0,35.82,2.0,19.12,8.0,,,,,R48,4.83,31.5,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
49,66.5,40,31.5,56.0,35.82,2.0,19.12,6.5,,,,,R49,8.05,64.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
