,DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,DFr1,PFr2,DFr2,PFr3,DFr3,PFr4,DFr4,PFr5,DFr5,PFr6,DFr6
0,71.0,33.0,34.2,61.0,26.9,0.0,11.5,11.0,,,,,,,R1,6.69,52.6,,,,,,,,,,,,
1,71.0,33.0,34.2,61.0,26.9,0.0,11.5,11.0,,,,,,,R2,3.76,31.0,106.0,57.69,,,,,,,,,,
2,71.0,33.0,34.2,61.0,26.9,2.5,19.0,0.0,,,,,,,R3,6.5,55.0,122.8,,,,,,,,,,,
3,71.0,33.0,34.2,61.0,26.9,2.5,19.0,28.0,,,,,,,R4,7.0,81.0,25.0,34.75,32.0,36.95,,,,,,,,
4,71.0,33.0,34.2,61.0,26.9,2.5,19.0,62.0,,,,,,,R5,5.71,76.0,121.0,60.94,84.0,50.8,73.0,49.3,,,,,,
5,71.0,33.0,34.2,61.0,26.9,2.5,19.0,70.0,,,,,,,R6,4.66,40.0,110.0,56.59,,,,,,,,,,
6,71.0,33.0,34.2,61.0,26.9,2.5,19.0,96.7,,,,,,,R7,4.5,49.3,52.0,43.4,69.0,49.62,103.0,55.67,,,,,,
7,71.0,33.0,34.2,61.0,26.9,2.5,19.0,100.7,,,,,,,R8,4.4,45.5,118.0,58.67,153.0,65.71,,,,,,,,
8,71.0,33.0,34.2,61.0,26.9,2.5,19.0,109.2,,,,,,,R9,4.2,45.0,0.0,,,,,,,,,,,
9,71.0,33.0,34.2,85.5,,,,,,,,,,,R10,6.0,25.0,111.0,58.09,76.0,49.56,,,,,,,,
10,71.0,33.0,34.2,121.0,27.9,11.0,23.0,49.0,,,,,,,R11,6.0,54.0,118.0,60.95,,,,,,,,,,
11,71.0,33.0,34.2,121.0,27.9,11.0,23.0,68.0,,,,,,,R12,4.4,37.0,136.0,62.35,120.0,59.96,,,,,,,,
12,71.0,33.0,34.2,121.0,27.9,11.0,23.0,85.5,,,,,,,R13,3.2,19.0,122.8,,118.0,57.6,,,,,,,,
13,71.0,33.0,34.2,121.0,27.9,11.0,23.0,89.5,,,,,,,R14,4.0,27.5,122.8,,,,,,,,,,,
14,71.0,33.0,34.2,121.0,27.9,11.0,23.0,92.5,,,,,,,R15,3.7,22.5,,,,,,,,,,,,
15,71.0,33.0,34.2,121.0,27.9,11.0,23.0,100.5,,,,,,,R16,4.5,30.0,157.0,63.93,,,,,,,,,,
16,71.0,33.0,34.2,121.0,27.9,11.0,23.0,103.8,,,,,,,R17,4.0,35.0,0.0,,,,,,,,,,,
17,71.0,33.0,34.2,121.0,27.9,16.0,14.7,30.0,,,,,,,R18,4.6,19.0,68.0,52.63,,,,,,,,,,
18,71.0,33.0,34.2,121.0,27.9,16.0,14.7,40.0,,,,,,,R19,4.7,25.2,95.0,53.74,112.0,57.24,,,,,,,,
19,71.0,33.0,34.2,121.0,27.9,97.0,,,,,,,,,R20,6.2,41.0,111.0,54.8,,,,,,,,,,
20,71.0,33.0,34.2,121.0,27.9,108.5,,,,,,,,,R21,4.6,28.0,102.0,57.99,,,,,,,,,,
