DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
71,47,40.5,223,80.97,26,57.43,10,33.41,22.1,16.21,2,,,R108,4.61,23,153,127,100,127,,,2021,1,507
70,58,31,201,66,72,44,34,15.7,11,12.8,9,,,R54,11.5,45,105,156,107,,,,2022,1,368
70,71,40.5,97,74.2,74,79.8,9,17,32.4,16.03,13.3,9.35,33.5,R24,6.8,33.7,158,147,158,,,,2021,1,463
66.5,40,39,17,62.2,14,14.55,7,,,,,0,0,R7,5.71,49,156,116,48,,0,0,2019,2,320
65.5,43,37.5,167,56,59,,,,11,,,,,R97,13.5,72,185,181,209,190,,,2019,1,765
75.5,44,38.5,91,29,74,,,,,,,,,R5,11.21,96,154,133,,,,,2021,1,287
77,46.5,38,199,17.8,14,,,,,,,,,R41,5.6,15,105,,,,,,2021,2,105
77,37,38,47,94.2,218.4,48,3,24,67,,,,,R 111,5.4,28,,,,,,,2022,2,0
60,50,113,6,76,8,53,28,25,30,,,,,R52,13,101,181,145,206,,,,2019,1,532
64,51,117.5,26,66,18,,,,20.5,,,,,R150,5,32,186,153,201,,,,2019,1,540
64,51,117.5,42,42,15,12,5,,,,,,,R127,5.5,30,138,187,,,,,2019,1,325
69,34,34,67,6.5,4.5,,,,,,,0,0,R10,5,25,120,86,,,,,2019,2,206
65.5,43,37.5,90,67,10.5,,,32,20,,,,,R52,11,49,207,175,171,,,,2019,1,553
75,43,42,98.3,71.3,4,18.4,19.3,,,,,,,R56,6.5,29.5,108,,,,,,2022,1,108
75.5,38.5,38,178,75.77,56,61.33,5,48.18,18.5,,,,,R67,5.8,48,154,125,130,,,,2021,1,409
71,41,38,202,65.5,12,22.6,18,7.72,0,,,,,R70,4.6,29.5,151,158,161,,,,2021,1,470
68,37,35,256,73.02,3,14.97,8,,,,,,,R25,8.12,75,184,,,,,,2021,2,184
76,43,45,135,58.4,9,34.7,3,,,,,,,R95,7.6,103,196,193,166,,,,2022,1,555
71.5,44,32,91,8.6,19,,,,,,,,,R122,5.4,35,125,107,,,,,2021,2,232
59,55,34,86,,27,,,,,,,,,R67,6.5,57,147,134,,,,,2019,1,281
73,41,34,152.9,52.59,32,,,,,,,,,R8,8.28,79.5,147,126,105,111,110,,2021,1,599
71,33,44.6,27,35.5,63,16,8,9.86,15.3,,,,,R47,5.44,60.5,116,91,,,,,2021,2,207
81,21,36,185,8.3,7,,,,,,,,,R119,5.4,27,150,90,,,,,2022,2,240
71,52,37,227,56.47,17,19.06,32,13,11,9.99,22.5,,,R127,4.8,27,166,,,,,,2021,1,166
73,46,32,245.9,46.8,0,34.4,1,,,,,,,R 86,4,28,,,,,,,2022,2,0
73,72,124.2,41,43.6,3.5,21.7,4,10.5,10,,,,,R24,6.2,31,101,95,114,,,,2022,1,310
73,72,91.2,41,87,65.2,85.8,97.5,40.3,5,,,,,R19,11.8,107,168,114,180,,,,2022,1,462
75,31.5,35,182,60,0,48.7,54.5,22.5,4,,,,,R 109,7.8,60.3,170,170,120,,,,2022,2,460
58.8,35,28,213.5,50,42,34.24,46.5,,,,,,,R77,6.5,49,126,163,137.23,,,,2021,2,426.23
77,8,34.5,100,63.3,135,36.6,40,11.62,20,10,12,,,R27,4.9,25,123.51,123.51,,,,,2021,2,247.02
73,52,42,192,80.33,54,81.95,23,18.16,41.1,,,,,R80,12.36,84,189,221,185,241,,,2021,1,836
77,24,33.5,128.5,23.9,7,16.92,54,,,,,,,R151,7.53,83.6,163,123.51,123.51,123.51,,,2021,2,533.53
60,50,108,87,63,2.5,18,34,6,2,,,,,R75,7.5,51,126,164,146,,,,2019,1,436
71,52,36,223,97.53,46,45.66,15.6,41.17,26,,,,,R85,6.36,48,126,128,,,,,2021,1,254
77,35,38,89,72.3,4,29.5,119,,,,,,,R63,5.79,34,94,102,,,,,2021,2,196
71.4,45,71,179,55.7,59,52.4,17,42.2,11,19.26,18,,,R85,6.5,35,125,179,140,,,,2021,1,444
65.5,43,37.5,48,71,26,,,,10,,,,,R121,22,94,198,202,190,160,202,,2019,1,952
66.5,40,90,34,40,3,,,,,,,0,0,R40,17.77,180,254,226,182,,0,0,2019,2,662
70,58,31,131,30,10,29.8,24,19.1,48,,,,,R46,6.5,60,147,177,166,135,206,,2022,1,831
77,35,38,195,35.05,4,20,11.5,,,,,,,R86,7,68,127,,,,,,2021,2,127
75,31.5,35,197,78,51.5,60.6,2.8,27.4,58,,,,,R 123,8.6,45.3,160,180,,,,,2022,2,340
64.5,34,32.5,47,2.65,50,22,-18,,,,,,,R71,7.5,47,170,174,118,,,,2019,2,462
72,43,33.7,204.3,73.6,7.5,22,46.5,,,,,,,R 60,7.8,56,,,,,,,2022,2,0
77,35,38,89,72.3,81,69.23,47,60,35,40.21,30,9.5,3.5,R71,7.6,58,131.98,131.98,,,,,2021,2,263.96
66.5,40,29.5,-45,66.38,31,59.17,10,,,,,0,0,R90,10.14,116,136,,,,0,0,2019,2,136
69,34,34,16,55,37,,,,,,,0,0,R20,12,17,128,146,,,,,2019,2,274
59,55,34,41,,,,,,4.5,,,,,R6,5.5,10,182,,,,,,2019,1,182
62,25.5,35.5,161,49,100,34.39,17.5,,,,,,,R20,12.6,,88,37,,,,,2021,2,125
77,42,38,120,17.4,4,,,,,,,,,R 51,9.8,97,110,210,,,,,2022,2,320
75.5,39,35.5,216,85.6,18,73,31,54.7,55,32.7,11,18.44,29,R90,7.9,52,126,138,,,,,2021,1,264
64,51,85,46,48.5,5,,,,7,45,5.5,11.5,11,R95,5.5,21,212,,,,,,2019,1,212
65.5,43,37.5,124,52,3,18,3.5,,,,,,,R63,12,58,215,213,122,,,,2019,1,550
67,32,33,197,65.3,63.5,34.9,10,,,,,,,R123,6.7,63,123,178,149,,,,2021,2,450
71.4,45,71,179,55.7,59,52.4,4,16.9,2.5,12.7,6,,,R84,10.3,69.5,135,161,113,184,209,221,2021,1,1023
72,33,44,323,53.2,27,12.3,40,,,,,,,R 118,7.8,56,190,200,150,200,,,2022,2,740
68,30,40.5,54,77.17,108,40.33,87,,,,,,,R41,8.04,89,127.49,127.49,127.49,,,,2021,2,382.47
66,20,44,261,60.2,44,48,41.2,33.4,19,,,,,R 45,12.6,84,90,110,150,100,160,,2022,2,610
65.5,43,37.5,48,71,26,,23,35,9,28,18,,,R123,18,92,151,165,162,120,,,2019,1,598
55.5,51,31.5,7,28.56,51,,,,,,,0,0,R49,10.64,68,164,,,,,,2019,2,164
73,34,38,152.8,29.3,3,,,,,,,,,R 58,8.9,72,140,,,,,,2022,2,140
68,37,35,183,49.66,38,49.84,20,41.65,20,35.8,26,23.5,10.9,R21,5.22,18.3,,,,,,,2021,2,0
59.5,31,36,58,11,40.5,,,,,0,0,0,0,R82,12,70.5,132,166,126,156,,,2019,2,580
73,41,34,160.9,68.27,12,48.62,51.5,9.71,21,,,,,R18,5.72,13,,,,,,,2021,1,0
64,51,117.5,26,66,18,,,,19,,,,,R151,1,1,111,,,,,,2019,1,111
77,24,33.5,128.5,23.9,86.2,,,,,,,,,R157,6.6,53.5,141,123.51,,,,,2021,2,264.51
68,37,35,256,73.8,3,29.8,4,,,,,,,R27,9.16,50.5,127.49,127.49,,,,,2021,2,254.98
70,59,33,108,69.8,12,36.86,13,24.9,3.2,11.16,16,,,R60,5.7,35,107,113,110,,,,2021,1,330
77,40,37,75,19.9,5,,,,,,,,,R106,10.03,95,103,131.98,98,,,,2021,2,332.98
