DTronc,LTronc,DChar,LChar,DChar1,LChar1,DChar2,LChar2,DChar3,LChar3,DChar4,LChar4,DChar5,LChar5,NumRam,DRam,LRam,PFr1,PFr2,PFr3,PFr4,PFr5,PFr6,year,variety,Total_Poids
75.5,38.5,38,178,75.77,56,61.33,52,19.27,11,14.4,8,,,R74,4.7,15,181,126,,,,,2021,1,307
73,41,34,137.4,40.24,11.04,17.58,1.5,11.05,11,,,,,R4,9.56,38.5,83,86,,,,,2021,1,169
75,43,42,138.3,100.7,101,10.5,4,,,,,,,R75,6.2,66,150,,,,,,2022,1,150
60,50,113,6,76,8,53,9,25,30,,,,,R51,11,55,187,273,197,189,,,2019,1,846
73,72,192.2,41,45.1,14,41.9,7,18.5,19.5,10.7,3,,,R35,6.1,51,74,114,90,63,,,2022,1,341
58.8,35,28,322.5,46,17,23.44,75.5,17.08,23,,,,,R96,8.35,60,188,137.23,,,,,2021,2,325.23
75,48,43,206,228.7,35.3,86.3,35,44.1,32,,,,,R59,13.3,91,137,102,135,68,130,,2022,1,572
71.4,34,36.1,40,14.27,23,,,,,,,,,R33,7.23,96,80,74,74,106,94,107,2021,1,535
75,55,34.3,188.1,77,48.5,43.12,48,24.5,21,12.45,6,,,R151,4.7,20,158,,,,,,2021,1,158
64.5,54.5,38,66,18,6,,,,8,,,,,R71,6.5,44,135,132,156,,,,2019,1,423
60,50,108,6.5,61,10,16.5,5,9.5,2,,,,,R79,7,62,175,170,193,,,,2019,1,538
59.5,31,34,3,10,6,,,,,0,0,0,0,R46,8.5,66,170,155,164,,,,2019,2,489
70,57,35,191,36.6,15,19.3,8,,,,,,,R93,9.34,56,109,138,147,178,177,,2021,1,749
65.5,43,37.5,47,61,26,,7.5,19,2,,,,,R31,6.5,33.5,152,119,,,,,2019,1,271
75,51,40,128,36,4,24.5,14,10.8,3,,,,,R85,6.08,28,86,76,,,,,2021,1,162
68,26,34.5,222,64.5,50,15.6,20.8,,,,,,,R59,6.7,48.5,110,100,,,,,2022,2,210
75,34,40,277,44.6,9,28.5,16.8,29.7,23,7.5,2,,,R 127,6.2,40,140,150,,,,,2022,2,290
73,59,38,207,85.3,24,42,31.2,46.6,23,22.9,30,,,R117,7.9,57,,,,,,,2022,1,0
70,55,37,203,71.3,14,31.2,48,12.6,8,,,,,R66,9.1,89,176,174,130,126,145,,2022,1,751
66,25,30,67,48.5,62,17,16,,,,,,,R 50,6.1,43,70,80,70,120,,,2022,2,340
66.5,40,39,32,60,8,51,27,,,,,0,0,R29,10.16,118,222,200,224,,0,0,2019,2,646
73,34,38,112,50.6,37,25.8,22,,,,,,,R 40,10.7,65.5,100,,,,,,2022,2,100
77,35,38,89,72.3,4,29.5,108.5,,,,,,,R62,5.37,26,,,,,,,2021,2,0
64.5,34,32.5,54,,,,,,,,,,,R52,5.5,39,154,,,,,,2019,2,154
67,33.5,33.5,192.5,67,86,22.3,52.5,,,,,,,R22,6,42.5,133.37,133.37,,,,,2021,2,266.74
64.5,34,33,0,66,46,46,0,,,,,,,R9,12.5,106,90,116,186,236,222,,2019,2,850
71.4,45,36,131,73.8,22,14.8,5,12.8,16,,,,,R70,5.6,36,101,,,,,,2021,1,101
55.5,51,27.3,57,,,,,,,,,0,0,R2,6.28,61.5,,,,,,,2019,2,0
71,55,37,70,50,20,27,6,18.5,35,,,,,R27,4.5,37,80,110,,,,,2021,1,190
75,23,36.2,282.1,55,21,,,,,,,,,R 40,8.3,77,90,130,90,140,,,2022,2,450
71,47,40.5,205,99.09,35,66.27,27,57.77,31.5,35.68,13.5,20.51,9,R102,15.4,85.4,153,146,137,247,212,,2021,1,895
72,44,33,274,58.4,20,29,1,,,,,,,R 36,8.4,88,160,120,130,180,,,2022,2,590
55.5,51,27.5,71.5,,,,,,,,,0,0,R51,5.11,35,122,114,,,,,2019,2,236
66.5,40,39,17,62.2,-6.5,13.33,2,,,,,0,0,R8,8.2,49,130,,,,0,0,2019,2,130
71.5,31,40.3,91,,,,,,,,,,,R93,9.44,91,105,90,136,129,,,2021,2,460
77,46.5,38,196,27.3,5,,,,,,,,,R40,13.07,105,108,136,145,105,,,2021,2,494
70,57,35,199,81.9,60,65.06,38,29.22,34,14.9,8.5,13.22,11,R108,6.7,33,155,142,151,136,,,2021,1,584
70,50,35,75,21.6,3,,,,,,,,,R5,4.8,33,93,79,,,,,2021,1,172
58.8,35,28,85,,,,,,,,,,,R62,6.9,87,112,80,137.23,,,,2021,2,329.23
69.5,55,34,103,35.4,8.4,23.8,52.5,,,,,,,R102,7.23,27.7,,,,,,,2021,1,0
75.5,41,39.4,187,51.3,4,16.6,1,,,,,,,R48,7.5,60,164,87,121,149,,,2021,1,521
71,55,30,211,67.17,10,29.55,32,22.7,13,,,,,R57,9.65,78,154,186,240,194,220,197,2021,1,1191
76,52,33.5,164,67.8,67,42.5,39.5,32.5,66.5,,,,,R17,7.1,62,193,,,,,,2022,1,193
67,32,32,92,47.3,111,,,,,,,,,R63,5.1,39,123,146,,,,,2021,2,269
75.5,41,39.4,130,52,23.5,49.6,26.5,,,,,,,R38,8.9,70,96,149,129,106,118,126,2021,1,724
69.5,62,31.5,147,75.8,29,49.6,49,16.6,7,15.07,3.2,,,R56,7.18,61,196,191,142,122,140,104,2021,1,895
62,25.5,35.5,161,49,27.5,,,,,,,,,R14,10,,128.51,,,,,,2021,2,128.51
64,51,117,77,42,60,,3.5,12.5,8,,,,,R14,7,40,106,122,,,,,2019,1,228
73,92,213,37.2,86.4,65,75.9,50,32.3,8,,,,,R107,13.7,106,139,34,61,58,155,112,2022,1,559
75,42,35.5,90.5,56.6,7,11.2,10.2,,,,,,,R5,4.4,25.5,91,107,,,,,2022,1,198
71,33,44.6,27,35.5,186.5,62.5,42,11.2,1,,,,,R69,5.7,29,156,,,,,,2021,2,156
71.3,32.5,41.6,45,,8.3,,,,,,,,,R 43,9.4,88,100,50,50,,,,2022,2,200
66,25,30,67,48.5,,,18,,,,,,,R 51,4.5,23,110,,,,,,2022,2,110
73,46,32,72,69.4,73.7,61,34.5,41,15,36.3,17.8,,,R 77,7.2,64,140,170,,,,,2022,2,310
75,35,36,318.2,46.7,5.8,21,2.5,,,,,,,R 165,8.3,57,170,100,,,,,2022,2,270
70,58,31,201,66,65,49.1,21,22.6,56.5,,,,,R50,5.9,38,113,100,125,,,,2022,1,338
81,14,37,263,54.8,3,27,53,,,,,,,R28,8.7,48,90,,,,,,2022,2,90
67,33.5,33.5,192.5,67,99,25.4,24,17.7,14,,,,,R24,11,83,151,133.37,,,,,2021,2,284.37
68,33,35,148.2,71,135.2,42,2.8,10.8,4,,,,,R99,9.2,76,160,120,150,150,160,,2022,2,740
71,33,34.2,61,26.9,2.5,19,96.7,,,,,,,R7,4.5,49.3,52,69,103,,,,2021,2,224
59,55,34,50,,7,17,5,,,,,,,R46,8,51,180,215,202,,,,2019,1,597
69,34,37,68,15.5,,,,,,,,0,0,R33,7,59,106,,,,,,2019,2,106
71.3,35,36,244.4,,26,75.8,46,,,,,,,R 125,6.3,37,140,200,,,,,2022,2,340
70,58,31,131,30,10,29.8,5,24,38.5,12.7,15.2,9.2,3,R45,5.7,30,126,74,158,156,,,2022,1,514
75.5,41,39.4,220,83.4,23,65.6,15,46,29,32.9,0,,,R54,7,51,135,152,175,135,154,,2021,1,751
69,34,34,44,57,72,30,39,,,,,0,0,R16,10,61,210,188,,,,,2019,2,398
69,34,37,,,,,,,,,,0,0,R51,,,106,,,,,,2019,2,106
72,33,44,74,98.5,105,100,22,30,3.2,,,,,R 82,4,39,130,120,,,,,2022,2,250
67,33.5,33.5,120.5,,,,,,,,,,,R10,4.8,28,128,103,,,,,2021,2,231
59,55,34,71,14,6.5,,,,,,,,,R89,8,46,151,191,170,,,,2019,1,512
72,43,33.7,132.7,52.5,27.6,,,,,,,,,R 48,7.4,52.2,140,180,,,,,2022,2,320
75.5,44,38.5,176,76.5,13,63.5,15.5,32.6,6.8,,,,,R23,10.6,75,112,124,172,104,,,2021,1,512
77,40,37,221.5,19.29,3,,,,,,,,,R111,6.7,23,131,,,,,,2021,2,131
71,52,36,223,97.53,64,31.88,17.2,24.8,10.5,36.89,42,22.9,2,R93,6.31,41,204,233,193,144,,,2021,1,774
71,48,37,175,62.9,74,57.4,5.5,9.79,4,,,,,R15,4.11,18,177,,,,,,2021,1,177
73,72,219.2,41,65,100,,,,,,,,,R57,13.2,75,139,150,131,,,,2022,1,420
73,60,43,146,127.4,73,59.9,3,30.6,55,,,,,R71,6.1,29,111,143,,,,,2022,1,254
75,30,40,220,53.8,42.3,8.2,3,,,,,,,R 102,7,62,150,60,,,,,2022,2,210
59.5,31,36,58,11,,,,,,0,0,0,0,R84,,,150,222,,,,,2019,2,372
73,37,36,202,87.6,88.3,67.4,46,,,,,,,R 22,9.3,45.3,,,,,,,2022,2,0
75,58,37,128,95.4,82,67.33,49,49.9,3,,,,,R68,9.43,56,164,224,,,,,2021,1,388
70,55,37,211,58.4,7,48.7,83,34.5,10,30.5,17,,,R75,6.3,49,48,118,55,,,,2022,1,221
70,71,40.5,77,20,7,11.6,30,,,,,,,R14,5.16,27,112,103,129,,,,2021,1,344
73,61,42,128,116.8,81.2,77.7,71,29.5,2,7.5,2.5,,,R40,5.4,30,181,,,,,,2022,1,181
75,43,42,138.3,100.7,0,72.9,114,21.2,11.5,14.8,15.1,,,R70,7.7,64.3,162,,,,,,2022,1,162
60,50,113,6,76,8,53,5,20.5,25,,,,,R42,10,65,143,172,158,,,,2019,1,473
77,27,37,155,56.8,60,51.7,9,22.03,7,,,,,R134,12,108,209,164,123.51,,,,2021,2,496.51
68,34,30.5,139,35.09,100.2,10.5,16.5,,,,,,,R98,5.53,21,127.49,,,,,,2021,2,127.49
69.5,55,34,173,89.8,89,38.5,10,26,9,,,,,R124,8,43,192,148,142,157,,,2021,1,639
71.5,45,32,69.5,58.61,82,56.05,42.3,30.5,30,27.9,11.9,,,R13,7.56,21.2,116.76,,,,,,2021,2,116.76
59,55,34,41,,,,,,4.5,,,,,R8,6,16,160,,,,,,2019,1,160
75,31.5,35,96,58.2,2.9,27.1,64,13.8,6,,,,,R 100,6.3,39,140,130,,,,,2022,2,270
72,43,33.7,124.7,26.9,0,,,,,,,,,R 41,13,135.7,120,80,180,,,,2022,2,380
72,43,33.7,124.7,26.9,1,9.4,1.5,,,,,,,R 42,8,51.8,100,100,,,,,2022,2,200
75,55,34.3,188.1,77,18.5,42.5,34,34.33,22,20.8,7,,,R142,7.44,57,96,127,204,160,,,2021,1,587
66,20,44,129,22.4,22,,,,,,,,,R 20,7,61,90,,,,,,2022,2,90
70,57,35,129,21.9,2,18.7,53,,,,,,,R84,6.3,77,81,120,155,,,,2021,1,356
71.5,41,32.5,206.7,60.4,13.5,41.86,31,,,,,,,R53,9.19,57,,,,,,,2021,2,0
71.5,44,32,233,51,38,33.28,50,28.9,9,,,,,R135,7.03,54,182,,,,,,2021,2,182
70,50,35,144,59.3,23,54.1,76,16.3,15.75,10,6,,,R13,5.03,22,,,,,,,2021,1,0
77,46.5,38,50,14.41,2,,,,,,,,,R21,6.93,73,121,131,98,99,,,2021,2,449
77,40,37,45,24.09,126,25.3,0.5,,,,,,,R99,8.37,91.5,116,143,124,83,,,2021,2,466
67,32,33,191.5,41,58,18.1,12.5,,,,,,,R114,6,45,115,115,,,,,2021,2,230
73,52,42,192,80.33,54,55.88,22,52.62,134.5,32.11,13.5,19.23,15,R72,11.21,74,206,198,217,180,,,2021,1,801
71,47,40.5,136,76.35,8,44.6,17,19.7,54,,,,,R69,5,34,138,,,,,,2021,1,138
55.5,51,31.5,42,18.5,-5.5,25.83,9,,,,,0,0,R35,13.43,94.5,126,120,230,,,,2019,2,476
75.5,41,39.4,130,52,23.5,49.6,75.5,36.3,31,10.4,6.5,,,R41,6.31,54,127,138,145,114,155,118,2021,1,797
77,8,34.5,100,63.3,135,36.6,40,,,,,,,R25,3.8,13.5,,,,,,,2021,2,0
64.5,54.5,38,57,75,4,,12,,,,,,,R96,9,80,207,175,160,,,,2019,1,542
77,45,25.5,209,43.6,47,33,10,14.26,32,,,,,R16,6.75,46,,,,,,,2021,2,0
70,58,31,201,66,65,49.1,21,22.6,39.5,,,,,R49,6.2,38,61,142,104,,,,2022,1,307
75,31.5,35,190.5,77.7,53,36.1,49.3,27.4,5.5,13.7,1,,,R 116,10.7,104.3,,,,,,,2022,2,0
71.4,34,36.1,204,99.93,10,29.19,39,23.26,71.2,9.45,4.2,,,R40,6.17,34,93,127,111,,,,2021,1,331
77,40,37,221.5,30,46,19,3.5,11.08,3,,,,,R112,6.5,21,161,159,,,,,2021,2,320
73,52,42,91,48.1,7,32.67,18,,,,,,,R36,6.62,60.5,152,113,76,99,,,2021,1,440
73,59,38,55,29.1,66.2,,,,,,,,,R87,5.6,59,75,112,60,,,,2022,1,247
81,19,40,221.5,18.4,3.5,,,,,,,,,R63,4.1,21,130,130,,,,,2022,2,260
65.5,43,37.5,90,67,10.5,,,,11,,,,,R53,15,52,180,156,120,,,,2019,1,456
73,27,34,377,33,29,20.3,0,,,,,,,R 129,10.5,66,130,110,,,,,2022,2,240
62,30,31,186,39.34,23,22.98,99.5,,,,,,,R136,6.66,,,,,,,,2021,2,0
71,33,44.6,27,35.5,134,24,8,18,46,,,,,R58,3.8,38,82,95,,,,,2021,2,177
67,33.5,33.5,192.5,67,49,17.9,4,10.9,3.5,,,,,R16,6.4,66,163,133.37,,,,,2021,2,296.37
69.5,49,35.4,171,52.9,9,39.24,28.5,,,,,,,R16,8.5,44,141,145,132,125,,,2021,1,543
71.4,45,34,205,73.06,55.4,51.7,13,35.26,21,36.35,36,19.05,5,R30,6.17,25,176,142,159,,,,2021,1,477
71.4,45,34,205,73.06,24,45.21,50.5,39.4,11,9.92,4,,,R20,5.14,27,153,,,,,,2021,1,153
71.5,31,40.3,103,34.8,84.5,,,,,,,,,R94,5.26,28,104,81,,,,,2021,2,185
70,60,39,69,85.6,65,61,52,19.6,3.5,11.4,8,,,R29,7.4,63,142,164,180,,,,2022,1,486
62,25.5,35.5,100,,,,,,,,,,,R1,9.12,,37,109,128,128.51,,,2021,2,402.51
68,40,33.5,186.1,28.3,0,11.7,2,,,,,,,R23,7.2,63,,,,,,,2022,2,0
73,50,39,117,93.8,51.2,17.6,2,,,,,,,R9,6,50,,,,,,,2022,1,0
64,51,117,77,67,14,61,12,12,13,,,,,R20,10.5,57,186,185,189,,,,2019,1,560
68,37,35,42,13.31,2.5,,,,,,,,,R1,7.9,39.5,129,,,,,,2021,2,129
69.5,49,35.4,171,52.9,9,39.24,9,,,,,,,R15,8.24,69,141,138,138,137,136,120,2021,1,810
77,35,38,183,57.6,110.5,46,15.5,35.4,39.5,,,,,R85,7.38,56,,,,,,,2021,2,0
69.5,49,35.4,171,52.9,9,39.24,75.7,25.39,15,,,,,R17,6.83,30,139,132,111,,,,2021,1,382
72,43,33.7,125.7,4,78.5,31.8,5,15.8,43.3,,,,,R 46,6.4,50.5,120,140,,,,,2022,2,260
75,34,34.5,190.5,106.3,7.5,73.1,0,20.4,21,,,,,R 13,5.5,50,130,110,130,,,,2022,2,370
73,52,42,91,48.1,47,45.65,42,26.78,13.5,15.44,34,,,R46,6.11,40,151,157,,,,,2021,1,308
77,45,25.5,207,7.22,4,,,,,,,,,R15,7.62,71,,,,,,,2021,2,0
75,34,35.3,201.5,103.5,1,9.8,86.5,,,,,,,R 55,8.2,49,180,120,160,,,,2022,2,460
62,25.5,35.5,181,42.3,44.5,,,,,,,,,R28,6.2,,128.51,,,,,,2021,2,128.51
71.4,34,36.1,204,99.93,10,64.35,37,18,2,,,,,R48,6.44,21.2,116,99,,,,,2021,1,215
64,51,117,31,60,36.5,,14,7,5,,,,,R33,14,3,151,,,,,,2019,1,151
55.5,51,31.5,42,18.5,-5.5,25.83,8,,,,,0,0,R33,9.37,72.5,162,,,,,,2019,2,162
77,35,38,270.5,69.5,14,,,,,,,,,R90,8.27,42,131.98,131.98,,,,,2021,2,263.96
64.5,34,33,0,66,8,34,3,,,,,,,R12,8,34,210,200,,,,,2019,2,410
71.4,33,39,210,104.8,8,49.5,53,38.38,34,30,3.5,,,R102,7,41,97,135,197,178,,,2021,1,607
72,43,33.7,125.7,4,55.8,16.7,39.5,,,,,,,R 44,10.4,42.8,,,,,,,2022,2,0
75,51,40,142,104,22,64.7,40,46.3,53.5,27.5,37,,,R108,11.42,60,,,,,,,2021,1,0
70,58,31,131,30,6,15.5,80,,,,,,,R43,5.6,36,156,195,,,,,2022,1,351
73,45,39,127,52.35,10,40.86,41,11.35,10,,,,,R121,8,77,152,141,148,139,137,,2021,1,717
73,92,128,37.2,71.4,4,35.5,2.7,23.8,7.6,,,,,R77,4.5,22,82,,,,,,2022,1,82
69,34,37,61,,,,,,,,,0,0,R50,8.5,34.5,154,,,,,,2019,2,154
72,40,34,80,47,122,9.4,9,,,,,,,R 124,7.2,91,140,150,120,,,,2022,2,410
62,30.4,30,219,30.95,30.1,19.16,2.5,14,7,,,,,R94,6.23,,128.51,128.51,,,,,2021,2,257.02
77,27,37,239,58.7,5,,,,,,,,,R145,12.33,68,,,,,,,2021,2,0
69,34,37,68,55,36.5,,,,,,,0,0,R32,7,45.5,152,,,,,,2019,2,152
64.5,54.5,38,3.5,47.5,47,37,6,,,,,,,R156,23.5,135,206,164,156,,,,2019,1,526
71,62,35,105,66.62,2,31.1,6,20.69,61,16.05,6,13.92,8.5,R20,5.7,51,115,100,,,,,2021,1,215
71,52,37,227,56.47,17,19.06,32,13,11,9.99,19,,,R126,6.24,43,163,212,151,,,,2021,1,526
75,31.5,35,259,57.6,42,20.8,11.5,,,,,,,R 133,6.9,28.3,190,,,,,,2022,2,190
59,55,34,60,,,,10.5,,,,,,,R128,12,46.5,225,230,189,,,,2019,1,644
68,40,33.5,77,33.3,2.5,16.2,28.5,,,,,,,R1,5.2,32,140,,,,,,2022,2,140
60,50,108,6.5,61,10,16.5,4,9.5,2,,,,,R78,9,60,165,189,197,191,,,2019,1,742
75.5,38.5,38,178,75.77,56,61.33,5,48.18,26.5,41.55,13,24.18,21,R69,7.5,69.5,189,145,,,,,2021,1,334
77,6,36.5,208.5,28.26,25,,,,,,,,,R91,5.99,18.5,144,149,,,,,2021,2,293
70,55,37,211,58.4,7,48.7,83,34.5,19,,,,,R78,7.1,40,117,130,,,,,2022,1,247
77,8,34.5,74,24.25,8,18.8,47,,,,,,,R3,4.1,37,132,,,,,,2021,2,132
67,33.5,33.5,68,15.2,70,9,35.5,,,,,,,R3,2.4,19,108,108,,,,,2021,2,216
65.5,43,37.5,47,61,40,15.5,4,,,,,,,R25,9,47,130,139,143,,,,2019,1,412
75,58,37,89,41.81,41.5,,,,,,,,,R50,9.66,95,157,167,143,105,108,,2021,1,680
76,43,45,135,58.4,8,45.4,102,16.9,10,,,,,R93,12.2,102,191,,,,,,2022,1,191
73,59,38,55,29.1,26,,,,,,,,,R83,5.3,53,108,,,,,,2022,1,108
65.5,43,37.5,53,40,5,,,,,,9.5,,,R113,9,35,210,128,,,,,2019,1,338
68,30,40.5,54,32.5,50,,,,,,,,,R36,5.15,30,127.49,,,,,,2021,2,127.49
65.5,43,37.5,124,52,6,12,9,,,,,,,R57,7,30,170,174,,,,,2019,1,344
73,51,35.5,117.5,72.8,185,56.04,16,33.23,3,18.72,39.5,,,R117,7.5,38,171,163,190,,,,2021,1,524
71,48,37,175,62.9,74,57.4,18.5,43.6,1.3,10.36,2.3,,,R20,7.19,45,116,103,116,,,,2021,1,335
73,52,42,91,16.65,72,,,,,,,,,R35,6.85,32,76,96,82,,,,2021,1,254
77,27,37,50,15.6,72,,,,,,,,,R118,5.9,61,101,46,,,,,2021,2,147
64.5,54.5,38,11,54.5,6,,,17,7,,,,,R19,10.5,79,133,148,153,,,,2019,1,434
77,46.5,38,244,54.27,43,50.18,15,47.3,2,17.82,1,,,R59,8.26,59,133,168,,,,,2021,2,301
75,42,35.5,196.5,90,51,63.7,8.5,44.4,27.9,28.7,25.3,,,R30,8.6,72.5,79,136,112,,,,2022,1,327
71,48,37,86,42.19,69,27.9,4.5,17.8,5.5,16.65,4,,,R7,8.85,73,114,140,,,,,2021,1,254
81,21,36,153,40.2,38.8,,,,,,,,,R109,7.8,72,130,150,,,,,2022,2,280
68,30,40.5,106,22,61.5,,,,,,,,,R64,3.99,30,113,99,,,,,2021,2,212
75,51,40,142,104,22,73,77,58.5,4,15.9,26,13,3,R99,6.37,30,136,149,191,,,,2021,1,476
68,30,40.5,54,32.5,95.5,,,,,,,,,R38,5.4,29,109,,,,,,2021,2,109
81,19,40,68,114,200,5.8,4,,,,,,,R42,5.2,35,130,,,,,,2022,2,130
55.5,51,29.3,28,46.46,30,,,,,,,0,0,R81,8.5,62.5,210,200,130,,,,2019,2,540
73,45,39,225,83.03,15,75.3,22.5,52,48,37.9,40,15.6,26.5,R154,9.5,59,264,243,154,,,,2021,1,661
81,21,36,277,44,18,,,,,,,,,R137,6.5,52,180,70,130,,,,2022,2,380
72,33,44,218,45,6.5,,,,,,,,,R 111,7,56,190,100,80,,,,2022,2,370
62,30,31,89,10.11,36.5,,,,,,,,,R115,3.7,,109,128.51,,,,,2021,2,237.51
77,27,37,102,23.67,19,,,,,,,,,R126,6.88,82,110,108,80,104,,,2021,2,402
69,34,37,68,15.5,-9,,,,,,,0,0,R37,8,1.5,86,,,,,,2019,2,86
73,50,39,117,93.8,166.4,69.7,50,39.1,3,,,,,R20,9.6,88,169,166,208,,,,2022,1,543
69,34,37,68,15.5,13,29,7,,,,,0,0,R38,11,41,152,166,,,,,2019,2,318
73,37,36,202,87.6,88.3,67.4,45.5,,,,,,,R 21,7.7,59.7,,,,,,,2022,2,0
71.3,32.5,41.6,145,,64.8,42,67.1,,,,,,,R 91,3.9,31,170,,,,,,2022,2,170
73,37,36,160,31.7,110.8,,,,,,,,,R 11,8,59.7,90,,,,,,2022,2,90
77,37,41,183.1,101.8,115.7,23,2,,,,,,,R 88,10.8,92,210,130,140,60,,,2022,2,540
65.5,43,37.5,42,90,14,,,,5,,,,,R82,13,76,276,221,169,,,,2019,1,666
73,72,192.2,41,45.1,14,41.9,5,17.5,5.5,,,,,R34,8.3,55,150,141,114,142,,,2022,1,547
75.5,44,38.5,91,68.6,111,67.1,59,43.6,15,16.2,13,,,R16,6.86,32,82,144,115,143,,,2021,1,484
71,33,44.6,26,31,150,49,96,,,,,,,R99,5.7,45,126,122.8,169,146,,,2021,2,563.8
71,33,38,246,73,88,35.9,3.5,,,,,,,R150,9.8,100,142,149,122.8,,,,2021,2,413.8
73,72,91.2,41,87,65.2,85.8,8,50.8,46.2,15.3,6,,,R8,4.9,39.3,78,,,,,,2022,1,78
69,34,32,6,,,,,,,,,0,0,R95,10,88.5,114,102,86,,,,2019,2,302
77,24,33.5,208.5,57.9,132.3,,,,,,,,,R177,18.5,86,137,123.51,123.51,,,,2021,2,384.02
69.5,49,35.4,224.5,80.06,9,45.6,48,32.7,2,9.95,14,,,R37,6.5,28,158,115,158,175,,,2021,1,606
69,34,37,85,38,18,,,,,,,0,0,R25,6,45.5,,,,,,,2019,2,0
66.5,40,39,17,62.2,23,26,0,16.06,42,14.54,8,0,0,R20,10.8,95,238,,,,0,0,2019,2,238
69,34,37,85,38,31,,,,,,,0,0,R29,8,56,130,,,,,,2019,2,130
66,22.5,34,127,40,9.2,,,,,,,,,R 81,6,38,180,,,,,,2022,2,180
77,35,38,89,72.3,4,29.5,124,,,,,,,R64,7.17,71.5,72,131.98,131.98,,,,2021,2,335.96
60,50,108,41,82,12.5,67,31,25,12.5,27.5,4.5,,,R96,6.5,56,215,172,181,,,,2019,1,568
58.8,35,28,219.5,,,,,,,,,,,R81,4.6,31,132,153,,,,,2021,2,285
73,27,34,256,42,3,20,75.7,,,,,,,R 115,5,31,100,80,,,,,2022,2,180
71,47,40.5,205,99.09,35,67.3,41,31.26,28.5,25.8,18.5,16.04,1,R96,7.6,48,127,162,202,,,,2021,1,491
64,51,117.5,26,66,18,47,5.5,16,12,,,,,R141,7,41,161,139,180,,,,2019,1,480
77,35,38,89,72.3,81,69.23,47,60,57,32.26,8.5,27.8,7,R76,8.26,63,131.98,130,,,,,2021,2,261.98
81,19,40,221.5,18.4,25.5,10.2,13.5,,,,,,,R64,8.2,42,90,,,,,,2022,2,90
73,41,34,160.9,68.27,12,20.62,25,10.04,8,,,,,R15,5.38,27.6,120,116,,,,,2021,1,236
67,33.5,33.5,91.5,13.13,59,,,,,,,,,R6,3.8,41,99,118,105,,,,2021,2,322
64.5,34,32.5,42,57.5,32,,,,,,,,,R37,6,40,178,138,,,,,2019,2,316
71.4,45,36,112,21.4,25.5,,,,,,,,,R61,6.6,48,123,118,126,,,,2021,1,367
58.8,35,28,292.5,32.42,7,14.69,37,,,,,,,R87,5.34,40,,,,,,,2021,2,0
58.8,35,28,322.5,46,10,23.44,47.5,,,,,,,R91,5.4,50,137.23,137.23,,,,,2021,2,274.46
64.5,54.5,38,12.5,24,7.5,,38.5,,,,,,,R9,7.5,44.5,118,136,151,,,,2019,1,405
66,22.5,34,227,44.3,71,18,1.3,,,,,,,R 91,7.7,69.5,180,110,,,,,2022,2,290
77,6,36.5,78,68.49,103,29.38,77.5,,,,,,,R52,4.63,42,145,98,,,,,2021,2,243
70,55,37,168,71.2,14,46,52,16,15,,,,,R62,6,30,143,,,,,,2022,1,143
72,44,33,246,42.3,12,40,43.5,,,,,,,R 31,12,62,60,40,60,,,,2022,2,160
75,34,41,129.5,59,9.5,18.6,41.5,,,,,,,R106,6,32,92,135,,,,,2022,1,227
62,30.4,30,219,35.2,42,30.7,6,,,,,,,R98,9.87,,184,,,,,,2021,2,184
73,27,34,256,42,3,20,6.5,,,,,,,R 110,6.5,69,140,90,,,,,2022,2,230
58.8,41,32,184.5,31.11,68,18.55,37.5,,,,,,,R17,6,32.5,162,137.23,,,,,2021,2,299.23
77,24,33.5,269,42.46,18.5,,,,,,,,,R179,9.2,51.3,117,135,148,170,135,,2021,2,705
75.5,39,34.5,166,77.9,5,63.6,6,42.5,4,16.7,19,9.35,16,R86,6.5,25,124,141,,,,,2021,1,265
73,52,42,91,48.1,47,45.65,42,26.78,13.5,15.44,23,,,R45,5.22,16.2,202,129,172,,,,2021,1,503
73,37,36,202,87.6,0,15.5,21,,,,,,,R 14,5.6,56,100,,,,,,2022,2,100
68,26,34.5,66,90,44.3,33.4,3.5,17.7,31,8.2,22.4,7.7,20,R32,4.2,24,,,,,,,2022,2,0
75,48,43,206,228.7,35.3,86.3,35,44.1,13,37.5,6,13.5,4,R58,7.6,83,148,154,112,138,,,2022,1,552
71,33,34.2,61,26.9,0,11.5,11,,,,,,,R1,6.69,52.6,,,,,,,2021,2,0
70,57,35,199,81.9,60,65.06,10,48.4,36,18.45,37,,,R104,5.7,47.5,181,,,,,,2021,1,181
73,51,35.5,117.5,72.8,185,56.04,8,22.6,31.5,,,,,R111,6.8,52,118,154,170,,,,2021,1,442
68,37,35,159,33.8,73.8,19.7,7,9.43,3,,,,,R15,9.5,63,127.49,127.49,127.49,,,,2021,2,382.47
69.5,62,31.5,147,75.8,29,49.6,27,20.84,41,8.8,4,,,R54,5.5,45,171,,,,,,2021,1,171
71.4,45,36,131,73.8,110,,,,,,,,,R73,6.12,40,138,129,140,,,,2021,1,407
70,71,40.5,97,74.2,74,79.8,67,25.18,2.5,,,,,R31,7.5,54,,211,,,,,2021,1,211
64.5,54.5,38,57,75,11,,,,,,,,,R101,7,39,166,118,,,,,2019,1,284
59,55,34,50,39,8.5,24.5,8,14,7,,,,,R10,5,23,135,,,,,,2019,1,135
64.5,54.5,38,36,72,2,,,,,,4,,,R42,9.5,38,159,153,187,172,,,2019,1,671
