Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,6ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,,,,17.5,12.5,15,,,,,,,,,R54,5.5,18,,R54,172,65.5,119,59.5,,,,,,,,,,,,
,,,,,,,21.5,,,,,,,,,R55,7,39,,R55,126,62,164,66.5,146,65,,,,,,,,,,
,,,,,16.5,18,8,,,,,,,,,R56,9,15.5,,R56,140,62.5,250,75,,,,,,,,,,,,
,,,,,3,,,,,,,,,,,R57,7.5,29.5,,R57,135,60.5,239,73,,,,,,,,,,,,
,,,,,2,22.5,4.5,,,,,,,,,R58,16.5,111,,R58,181,68.5,168,68,154,64.5,170,65.5,150,62.5,,,,,,
,,,,,4.5,19,23,,,,,,,,,R59,7,39,,R59,196,71,181,69,173,66,,,,,,,,,,
,,,,,,,14.5,,,,,,,,,R60,17,132,,R60,147,63,259,75,222,73,117,60,150,63.5,,,,,,
,,85,87,40,9,10,28,,,,,,,,,R61,4.5,40,,R61,182,68.5,160,67,,,,,,,,,,,,
,,,46,37.5,32,41.5,2,,,,,,,,,R62,10,93.5,,R62,130,59,156,58.5,228,72.5,128,65,,,,,,,,
,,,,,,,,15.5,7.5,,,,,,,R63,6.5,32.5,,R63,230,74,130,62,,,,,,,,,,,,
,,,,,,,,,15,12,13,,,,,R64,5,29,,R64,134,62.5,,,,,,,,,,,,,,
,,,,,,,,,,,4,,,,,R65,5,3.5,,R65,164,67,,,,,,,,,,,,,,
,,,,,,,,,,,6,,,,,R66,5.5,39,,R66,174,62.5,180,69.5,,,,,,,,,,,,
,,,,,,,,,,,7.5,,,,,R67,5,11,,R67,149,64,,,,,,,,,,,,,,
,,,,,,,,,,,13.5,,,,,R68,6.5,38,,R68,150,65,142,63.5,,,,,,,,,,,,
,,,,55,6.5,26,12,15,5,12,5,,,,,R69,8,71,,R69,148,63,147,63,138,64,,,,,,,,,,
,,,,,,,,,,,20,,,,,R70,8,69,,R70,180,64.5,145,62,,,,,,,,,,,,
,,,,20,11,12,4.5,,,,,,,,,R71,7,57,,R71,134,61,165,68,201,71.5,,,,,,,,,,
