Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Fruit 1,Unnamed: 18,Fruit 2,Unnamed: 20,Fruit 3,Unnamed: 22,Fruit 4,Unnamed: 24,Fruit 5,Unnamed: 26,Fruit 6,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
64.5,34,32.5,42,57.5,7,31,0,,,,,,,R41,14.5,98,220,76,240,78.5,132,61,154,67,,,,,41,2,39,250,31,0,250
64.5,34,32.5,28.5,79,0,,,,,,,,,R42,6,61,98,51,64,46,,,,,,,,,42,1,15,260,79,0,260
64.5,34,32.5,28.5,26,2,,,,,,,,,R43,10,110,132,62,118,58,,,,,,,,,43,1,42,260,26,2,262
64.5,34,32.5,32,,,,,,,,,,,R44,5,24.5,146,64,,,,,,,,,,,44,0,1,215.5,32.5,32,247.5
64.5,34,32.5,0,,,,,,,,,,,R45,,,,,,,,,,,,,,,45,0,0,34,32.5,0,34
64.5,34,32.5,75,36,32,,,,,,,,,R46,6,64,100,53.5,138,61,,,,,,,,,46,1,15,109,36,32,141
64.5,34,32.5,75,36,16.5,,,,,,,,,R47,9,90,180,64,144,142,,,,,,,,,47,1,15,141,36,16.5,157.5
64.5,34,32.5,18,,,,,,,,,,,R48,9,78,148,65,,,,,,,,,,,48,0,1,109,32.5,18,127
64.5,34,32.5,14,,,,,,,,,,,R49,15,59,202,74,184,69,,,,,,,,,49,0,1,127,32.5,14,141
64.5,34,32.5,7,,,,,,,,,,,R50,9.5,93,158,61.5,164,62,234,61,,,,,,,50,0,1,141,32.5,7,148
64.5,34,32.5,-27,13,12,,,,,,,,,R51,7,64,126,71,152,68,,,,,,,,,51,1,15,121,13,12,133
64.5,34,32.5,54,,,,,,,,,,,R52,5.5,39,154,61,,,,,,,,,,,52,0,1,121,32.5,54,175
64.5,34,32.5,15,45,41,35,2.5,,,,,,,R53,6,48,154,66,140,63,,,,,,,,,53,2,53,177,35,2.5,179.5
64.5,34,32.5,15,45,41,35,0,7,7,,,,,R54,10,55,186,70,200,72,174,74,,,,,,,54,3,53,179.5,7,7,186.5
64.5,34,32.5,15,45,41,35,0,,,,,,,R55,8,84,252,78,160,62,84,48,,,,,,,55,2,53,179.5,35,0,179.5
64.5,34,32.5,38,11,5,,,,,,,,,R56,7,60,192,69,,,,,,,,,,,56,1,15,215,11,5,220
64.5,34,32.5,-3,15,4,,,,,,,,,R57,9.5,64,154,63,148,65.5,168,65,,,,,,,57,1,15,212,15,4,216
64.5,34,32.5,25,48,3,,,,,,,,,R58,12.5,105,256,78.5,23,75,222,77,180,69,,,,,58,1,15,209,48,3,212
64.5,34,32.5,0,20,11,,,,,,,,,R59,5,18,186,70,,,,,,,,,,,59,1,15,234,20,11,245
64.5,34,32.5,0,20,10,,,,,,,,,R60,5,20,186,69,,,,,,,,,,,60,1,15,245,20,10,255
64.5,34,32.5,0,20,5.5,,,,,,,,,R61,5.5,37,184,69,188,69.5,,,,,,,,,61,1,15,255,20,5.5,260.5
64.5,34,32.5,0,20,19,,,,,,,,,R62,6,28,144,72,,,,,,,,,,,62,1,15,260.5,20,19,279.5
