Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
,,,,,,,23.5,,,,,,,R17,4.5,30,,R17,156,68,152,66.5,,,,,,,,,,,,
,,,,,,,4,,,,,,,R18,5.5,17,,R18,108,69.5,153,65.5,,,,,,,,,,,,
,,,,,,,8,,,,,,,R19,10,35.5,,R19,152,65.6,158,69,,,,,,,,,,,,
,,,,,,,19,20,4.5,,,,,R20,7.5,16,,R20,223,67,,,,,,,,,,,,,,
,,,,,30.5,9,8,,,,,,,R21,10,47.5,,R21,166,65,163,63.5,163,66.5,,,,,,,,,,
,,,,,11.5,21,6.5,13,2,,,,,R22,7,36,,R22,152,69,142,66.5,,,,,,,,,,,,
,,,,,,,21,,,,,,,R23,6,6,,R23,190,71.5,,,,,,,,,,,,,,
,,,,,,,9.5,13.5,3,,,,,R24,7,27,,R24,215,69,204,66,,,,,,,,,,,,
,,,9,53,13,,,,,,,,,R25,10,24,,R25,137,65,201,67.5,,,,,,,,,,,,
,,,,,,27,26,,,,,,,R26,7,18,,R26,151,63.5,,,,,,,,,,,,,,
,,,,,,,5,,,,,,,R27,12,68,,R27,181,66.5,215,74,211,72.5,,,,,,,,,,
,,,,,,,3.5,,,,,,,R28,3,30.5,,R28,164,68,137,64.5,169,68,,,,,,,,,,
,,,,,,,10,,,,,,,R29,7.5,28,,R29,205,69,130,72,,,,,,,,,,,,
,,,,,,,6,,,,,,,R30,12,2,,R30,,,,,,,,,,,,,,,,
,,,,,,,5.5,,,,,,,R31,9,37.5,,R31,152,60.5,177,67.5,,,,,,,,,,,,
,,,,,,,12,19,4.5,,,,,R32,7,24,,R32,186,70,,,,,,,,,,,,,,
,,,50,72,6.5,43,35.5,26.5,6,13,6.5,,,R33,7,23,,R33,167,67.5,175,72,,,,,,,,,,,,
,,,,,,,,,,,6.5,,,R34,8,48,,R34,184,63.5,111,61.5,102,62.5,,,,,,,,,,
,,,,,,,,,7,25,10.5,,,R35,9,38,,R35,242,73.5,227,66.5,,,,,,,,,,,,
,,,,,,,,,,,3.5,,,R36,11,43,,R36,193,71,205,70.5,,,,,,,,,,,,
,,,,,,,,,,,11,,,R37,8,36,,R37,219,75,164,64,,,,,,,,,,,,
,,,,,,,,,,,8,,,R38,7,2.5,,R38,216,71,,,,,,,,,,,,,,
,,,,,,,,,,,12,,,R39,14,42,,R39,184,67,163,69,198,68,171,64,,,,,,,,
,,,,,,,,,,,3.5,,,R40,14,63,,R40,204,71,236,69.5,171,67,,,,,,,,,,
,,,,,20,32,39,22,4.5,,,,,R41,9.5,44,,R41,145,63,190,72,202,72,,,,,,,,,,
,,,,,,,,,11.5,,,,,R42,9,46,,R42,206,71.5,188,68.5,186,70,,,,,,,,,,
,,,,,,,,,7,,,,,R43,10.5,69,,R43,181,69,205,74.5,214,73,190,70.5,,,,,,,,
