Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,5ème ss charpante,Unnamed: 13,Rameaux,Unnamed: 15,Unnamed: 16,Remarque,Rameaux.1,Fruit 1,Unnamed: 20,Fruit 2,Unnamed: 22,Fruit 3,Unnamed: 24,Fruit 4,Unnamed: 26,Fruit 5,Unnamed: 28,Fruit 6,Unnamed: 30,Fruit 7,Unnamed: 32,Fruit 8,Unnamed: 34,6ème ss charpante,7 ème ss charpante ,Unnamed: 17,Unnamed: 19,Unnamed: 36,Unnamed: 38,Unnamed: 18,                  6ème ss charpante,Unnamed: 21,Unnamed: 23,Unnamed: 25,Unnamed: 27,Unnamed: 29,Unnamed: 31,Unnamed: 33,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,,,,,,,,,,,,,,,
,,,,,,,,,3.5,,,,,R38,9,42,,R38,181,69.5,170,64.5,180,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11,,,,,R39,8,37,,R39,120,68,130,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,R40,11,37.5,,R40,183,69,119,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,R41,11.5,37,,R41,177,75,161,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,10,25,8,19,4,,,R42,8.5,52,,R42,143,68,153,69,160,71,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,5.5,,,R43,11,81,,R43,180,65,128,58,153,63.5,163,67,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,12.5,,,R44,7,45.5,,R44,168,65.5,139,65,122,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,8,,,R45,8,81,,R45,121,68,123,65,111,64,132,65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,17.5,3,9.5,8.5,,,R46,5,36,,R46,156,66,172,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,11,4,,,R47,5.5,39,,R47,176,62.5,171,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3.5,,,R48,6,40,,R48,188,62,143,65,173,68,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,28,,,,,,,R49,17.5,134,,R49,120,68,131,67,140,69,146,71,180,73,201,75.5,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,,,,,,,R50,7.5,64,,R50,201,69,170,62,120,64,123,65,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.5,,,,,,,R51,6.5,39,,R51,207,72,223,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,32,20,,,,,R52,11,49,,R52,207,69.5,175,62.5,171,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11,,,,,R53,15,52,,R53,180,67,156,66,120,65,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.5,,,,,R54,7.5,45,,R54,163,72,139,66,120,67,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9.5,12.5,6,,,R55,5,21,,R55,183,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,124,52,6,,,,,,,,,R56,7.5,49,,R56,175,62.5,131,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
