Unnamed: 0,Tronc,Unnamed: 2,charpant,Unnamed: 4,1er ss charpante,Unnamed: 6,2ème ss charpante,Unnamed: 8,3ème ss charpante,Unnamed: 10,4ème ss charpante,Unnamed: 12,Rameaux,Unnamed: 14,Unnamed: 15,Fruit 1,Unnamed: 17,Fruit 2,Unnamed: 19,Fruit 3,Unnamed: 21,Fruit 4,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
A1-80,66.5,40,29.5,-14.5,,,,,,,,,R79,5.64,59.5,,,,,,,,,80,0,0,40,29.5,-14.5,25.5
A1-81,66.5,40,29.5,32,16.3,11,,,,,,,R80,4.39,28,74,51,76,50,82,49,,,81,1,75,587,16.3,11,598
A1-82,66.5,40,29.5,32,16.3,6,,,,,,,R81,5.4,34,110,57,,,,,,,82,1,75,587,16.3,6,593
A1-83,66.5,40,29.5,32,16.3,2,,,,,,,R82,4.96,45,102,52.5,,,,,,,83,1,75,587,16.3,2,589
A1-84,66.5,40,29.5,30,14.84,12.65,,,,,,,R83,10.63,113,148,63,202,70,134,68,,,84,1,75,617,14.84,12.65,629.65
A1-85,66.5,40,29.5,65,,,,,,,,,R84,4.93,23.5,134,58,,,,,,,85,0,0,40,29.5,65,105
A1-86,66.5,40,29.5,13.5,10.5,9.5,,,,,,,R85,6,61,146,64,,,,,,,86,1,75,695.5,10.5,9.5,705
A1-87,66.5,40,29.5,12,,,,,,,,,R86,7.35,32.5,164,69,126,63.5,,,,,87,0,0,40,29.5,12,52
A1-88,66.5,40,29.5,23.5,,,,,,,,,R87,9.64,117,172,67,244,77,192,70,,,88,0,0,40,29.5,23.5,63.5
A1-89,66.5,40,29.5,5.5,30.88,38,,,,,,,R88,9.35,80,210,70,194,70,258,78,,,89,1,75,736.5,30.88,38,774.5
A1-90,66.5,40,29.5,9,,,,,,,,,R89,10.25,106.5,,,,,,,,,90,0,0,40,29.5,9,49
A1-91,66.5,40,29.5,-45,66.38,31,59.17,10,,,,,R90,10.14,116,136,60,,,,,,,91,2,91,731.5,59.17,10,741.5
A1-92,66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,13,,,R91,5.1,20,186,69,,,,,,,92,3,92,750,19.16,13,763
A1-93,66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,9,,,R92,11.72,106.5,214,73,200,68,182,69,,,93,3,92,763,19.16,9,772
A1-94,66.5,40,29.5,-45,66.38,31,59.17,8.5,19.16,19,,,R93,8.3,73,218,74,248,76,71,47,,,94,3,92,772,19.16,19,791
A1-95,66.5,40,29.5,-45,66.38,30.5,43.03,10,24.29,6.5,,,R95,5.74,48.5,,,,,,,,,95,3,92,791,24.29,6.5,797.5
A1-96,66.5,40,29.5,-45,66.38,0,44.93,9.5,,,,,R96,10.49,87,214,73.5,222,73.5,190,71,,,96,2,91,762,44.93,9.5,771.5
A1-97,66.5,40,29.5,-45,66.38,0,44.93,3,18.94,20.5,,,R97,14.5,100,280,79,152,67,262,82,,,97,3,96,774.5,18.94,20.5,795
