Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,Rameaux,Unnamed: 11,Unnamed: 12,Fruit 1,Unnamed: 14,Fruit 2,Unnamed: 16,Fruit 3,Unnamed: 18,Fruit 4,Unnamed: 20,Fruit 5,Unnamed: 22,Fruit 6,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
59.5,31,34,3,10,6,,,,,R46,8.5,66,170,65,155,67,164,68.5,,,,,,,46,1,46,360,10,6,366
59.5,31,34,-53,29,3.5,17.5,12.5,,,R47,7,62,178,62,130,61.5,146,65,98,55,,,,,47,2,47,307,17.5,12.5,319.5
59.5,31,34,-53,29,3.5,17.5,-1.5,,,R48,6,46,154,67,88,49,164,65,86,52,86,50,,,48,2,47,319.5,17.5,-1.5,318
59.5,31,33,52,53,68,,,,,R49,6.5,42.5,188,69,120,53,128,58.5,,,,,,,49,1,49,359,53,68,427
59.5,31,33,52,53,11,,,,,R50,7,43,106,57,92,56,,,,,,,,,50,1,49,427,53,11,438
59.5,31,33,52,53,33,,,,,R51,8,84.5,,,,,,,,,,,,,51,1,49,438,53,33,471
59.5,31,33,52,53,30,,,,,R52,7,49,184,70.5,170,66.5,,,,,,,,,52,1,49,471,53,30,501
59.5,31,33,52,53,44,,,,,R53,10,77,172,69,148,64,180,70.5,154,65,,,,,53,1,49,501,53,44,545
59.5,31,33,52,53,8.5,,,,,R54,10,101,232,75,142,64,222,73,160,63,138,63.5,,,54,1,49,545,53,8.5,553.5
59.5,31,33,52,53,0,,,,,R55,7,50,182,70,204,72,,,,,,,,,55,1,49,553.5,53,0,553.5
59.5,31,33,52,53,0,17.5,11,,,R56,8,44,134,64,156,66,,,,,,,,,56,2,56,553.5,17.5,11,564.5
59.5,31,33,80,47,53,,,,,R57,7,4.5,194,72,,,,,,,,,,,57,1,57,439,47,53,492
59.5,31,33,80,47,28,13,1,,,R58,6,49,196,71,122,62,,,,,,,,,58,2,58,520,13,1,521
59.5,31,33,80,47,-2,,,,,R59,7,63,130,62.5,106,57,,,,,,,,,59,1,57,520,47,-2,518
59.5,31,33,3,13,5,,,,,R60,7,76,204,74,,,,,,,,,,,60,1,57,442,13,5,447
59.5,31,33,3,13,34,,,,,R61,8,83,168,69,218,71.5,120,58.5,,,,,,,61,1,57,447,13,34,481
59.5,31,33,3,13,2,,,,,R62,4.5,22.5,128,62,,,,,,,,,,,62,1,57,481,13,2,483
59.5,31,33,64,,,,,,,R63,5,27.5,142,62,120,57.5,,,,,,,,,63,0,49,442,33,64,506
59.5,31,33,0,,,,,,,R64,10.5,104,250,78,132,62,160,66,148,65,,,,,64,0,49,506,33,0,506
59.5,31,33,16.5,18,14,,,,,R65,6,24,112,56,176,68,,,,,,,,,65,1,65,522.5,18,14,536.5
59.5,31,33,16.5,18,24,,,,,R66,9,62,176,69,184,68,172,67,,,,,,,66,1,65,14,18,24,38
59.5,31,33,0,,,,,,,R67,6,37,162,65.5,138,63,,,,,,,,,67,0,49,506,33,0,506
59.5,31,33,20,,,,,,,R68,5.5,32,114,59,98,53,,,,,,,,,68,0,49,506,33,20,526
59.5,31,33,9,12,4.5,,,,,R69,8,70,156,66,140,61.5,176,68,138,62.5,,,,,69,1,69,535,12,4.5,539.5
59.5,31,33,40,,,,,,,R70,9,50,126,60,128,60,134,60.5,124,61.5,176,71,,,70,0,49,535,33,40,575
59.5,31,33,1.5,,,,,,,R71,11.5,79,174,68,120,67,166,64,,,,,,,71,0,49,575,33,1.5,576.5
59.5,31,33,10,19,8.5,,,,,R72,7,29,162,60.5,138,62,,,,,,,,,72,1,72,585,19,8.5,593.5
59.5,31,33,-52,,,,,,,R73,6.5,78,142,61,92,52,102,55.5,,,,,,,73,0,49,595,33,-52,543
59.5,31,33,40,40,9,,,,,R74,8,65,148,66,160,64,172,67,,,,,,,74,1,74,583,40,9,592
59.5,31,36,85,,,,,,,R75,6,1,130,62.5,,,,,,,,,,,75,0,49,31,36,85,116
59.5,31,36,58,52,6,,,,,R76,7.5,40,140,65,98,56,,,,,,,,,76,1,76,174,52,6,180
59.5,31,36,58,52,9.5,,,,,R77,12,99,156,65,204,73,134,60,,,,,,,77,1,76,180,52,9.5,189.5
59.5,31,36,58,52,29,,,,,R78,7,40,94,53,124,63,,,,,,,,,78,1,76,189.5,52,29,218.5
59.5,31,36,58,52,52,,,,,R79,7,40,94,55,12,60,140,61,,,,,,,79,1,76,218.5,52,52,270.5
59.5,31,36,58,52,7,,,,,R80,10,77,170,68,108,55,172,70,168,67,,,,,80,1,76,270.5,52,7,277.5
59.5,31,36,58,11,3,,,,,R81,5.5,51.5,172,70,184,69.5,,,,,,,,,81,1,76,277.5,11,3,280.5
59.5,31,36,58,11,40.5,,,,,R82,12,70.5,132,59,166,69,126,60,156,61.5,,,,,82,1,76,280.5,11,40.5,321
59.5,31,36,58,11,0,,,,,R83,8.5,78,134,63,148,63,,,,,,,,,83,1,76,321,11,0,321
