Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Fruit 8,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
55.5,51,31.5,8.5,,,,,,,,,R37,7.32,76,,,,,,,,,,,,,,,,,37,0,1,122,31.5,8.5,130.5
55.5,51,31.5,27,10.75,7,,,,,,,R38,6.28,2.5,132,62,94,52,126,58,,,,,,,,,,,38,1,21,157.5,10.75,7,164.5
55.5,51,31.5,27,10.75,23,,,,,,,R39,4.93,24,,,,,,,,,,,,,,,,,39,1,21,164.5,10.75,23,187.5
55.5,51,31.5,19,44.53,4,8.77,6.5,,,,,R40,7.72,52.5,154,57,122,62,,,,,,,,,,,,,40,2,40,202.03,8.77,6.5,208.53
55.5,51,31.5,4.5,,,,,,,,,R41,8.55,64,146,54,98,55.5,,,,,,,,,,,,,41,0,1,130.5,31.5,4.5,135
55.5,51,31.5,0,,,,,,,,,R42,6.51,30,92,56,56,48,,,,,,,,,,,,,42,0,1,135,31.5,0,135
55.5,51,31.5,0,,,,,,,,,R43,4.64,37,48,57,,,,,,,,,,,,,,,43,0,1,135,31.5,0,135
55.5,51,31.5,15.5,21.19,43,,,,,,,R44,6.31,70,204,73,,,,,,,,,,,,,,,44,1,44,150.5,21.19,43,193.5
55.5,51,31.5,15.5,21.19,12.5,,,,,,,R45,6.96,62,134,60.5,148,64,,,,,,,,,,,,,45,1,44,193.5,21.19,12.5,206
55.5,51,31.5,15.5,21.19,23,29.12,4,,,,,R46,7.4,68.5,110,64,84,49,,,,,,,,,,,,,46,2,45,216.5,29.12,4,220.5
