Tronc,Unnamed: 1,charpant,Unnamed: 3,1er ss charpante,Unnamed: 5,2ème ss charpante,Unnamed: 7,3ème ss charpante,Unnamed: 9,4ème ss charpante,Unnamed: 11,Rameaux,Unnamed: 13,Unnamed: 14,Fruit 1,Unnamed: 16,Fruit 2,Unnamed: 18,Fruit 3,Unnamed: 20,Fruit 4,Unnamed: 22,Fruit 5,Unnamed: 24,Fruit 6,Unnamed: 26,Fruit 7,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Numero SS_ch,Niveau,Num_SC_mere,Point_insert,DIAM,long,long + Point_insert
69,34,37,36,40,48,38,14,28,6,14,4,R46,8,57,164,62,132,60,124,61.5,112,56,,,,,,,46,4,45,282.5,14,4,286.5
69,34,37,36,40,48,38,14,28,6,20,4.5,R47,12,76,182,64,152,66,182,70,146,64,200,76,,,,,47,4,45,286.5,20,4.5,291
69,34,37,40,,,,,,,,,R48,5,32,130,69,,,,,,,,,,,,,48,0,1,228,37,40,268
69,34,37,8.5,15,7,,,,,,,R49,7,53,106,56,,,,,,,,,,,,,49,1,32,276.5,15,7,283.5
69,34,37,61,,,,,,,,,R50,8.5,34.5,154,62,,,,,,,,,,,,,50,0,1,276.5,37,61,337.5
69,34,37,,,,,,,,,,R51,,,106,53,,,,,,,,,,,,,51,0,1,337.5,37,0,337.5
69,34,37,20,,,,,,,,,R52,7,68.5,104,64,106,58,,,,,,,,,,,52,0,1,337.5,37,20,357.5
69,34,37,20,53,12,,,,,,,R53,7.5,62,140,67,134,60,142,63,124,52,,,,,,,53,1,32,357.5,53,12,369.5
69,34,37,-82,21.5,20,,,,,,,R54,7.5,66,,,,,,,,,,,,,,,54,1,32,275.5,21.5,20,295.5
69,34,37,65,53.5,13,44,7,,,,,R55,8,64,108,64,154,62,136,59,110,58,,,,,,,55,2,55,353.5,44,7,360.5
69,34,37,23,,,,,,,,,R56,9,96,160,66,66,47.5,,,,,,,,,,,56,0,1,340.5,37,23,363.5
69,34,28.5,30,,,,,,,,,R57,10,89,194,70.5,106,56,136,61,,,,,,,,,57,0,1,34,28.5,30,64
69,34,28.5,35,14.5,4.5,,,,,,,R58,7.5,81,186,70,104,51,,,,,,,,,,,58,1,58,99,14.5,4.5,103.5
69,34,28.5,0,,,,,,,,,R59,7,77,168,65,108,57,92,49,,,,,,,,,59,0,1,99,28.5,0,99
69,34,28.5,28,48.5,66.5,,,,,,,R60,6,40,138,61.5,61,38,,,,,,,,,,,60,1,58,127,48.5,66.5,193.5
69,34,28.5,28,48.5,18.5,17.5,4,,,,,R61,5,62,160,55,108,44,100,56,,,,,,,,,61,2,61,193.5,17.5,4,197.5
69,34,28.5,28,48.5,15,,,,,,,R62,9.5,80,146,60,182,65,,,,,,,,,,,62,1,57,212,48.5,15,227
69,34,28.5,28,48.5,32,,,,,,,R63,15,74,188,57,196,69,,,,,,,,,,,63,1,57,227,48.5,32,259
69,34,28.5,28,48.5,14,,,,,,,R64,9,53.5,220,71.5,172,69.5,,,,,,,,,,,64,1,57,259,48.5,14,273
69,34,28.5,28,48.5,11,,,,,,,R65,6.5,14.5,164,61.5,55,39,,,,,,,,,,,65,1,57,273,48.5,11,284
69,34,28.5,28,48.5,-7,,,,,,,R66,9,91,154,62,140,63.5,194,68,,,,,,,,,66,1,57,284,48.5,-7,277
69,34,28.5,28,48.5,46,,,,,,,R67,12,7,,,,,,,,,,,,,,,67,1,57,277,48.5,46,323
69,34,28.5,28,48.5,46,12,7,,,,,R68,9,55,142,63,160,67,,,,,,,,,,,68,2,68,323,12,7,330
69,34,28.5,28,48.5,9,,,,,,,R69,22,103,92,43,,,,,,,,,,,,,69,1,57,323,48.5,9,332
69,34,28.5,28,48.5,-55,,,,,,,R70,15,65,160,65,124,53,86,40,,,,,,,,,70,1,57,332,48.5,-55,277
69,34,28.5,28,48.5,-14,,,,,,,R71,15,129,192,67,184,67,192,55,116,67,,,,,,,71,1,57,277,48.5,-14,263
69,34,28.5,40,,,,,,,,,R72,,,158,63,176,66.5,,,,,,,,,,,72,0,1,127,28.5,40,167
