Tronc,,charpant,,1er ss charpante,,2ème ss charpante,,3ème ss charpante,,4ème ss charpante,,5ème ss charpante,,Rameaux,,,Remarque,Rameaux,Fruit 1,,Fruit 2,,Fruit 3,,Fruit 4,,Fruit 5,,Fruit 6,,Fruit 7,,Fruit 8,
Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,,N° ram,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam
65.5,43,37.5,54,62.5,39,48,4,13.5,12,,,,,R1,6,48.5,,R1,119,63.5,151,62.5,136,64.5,,,,,,,,,,
,,,,,,,,,,15,2.5,,,R2,9,68,,R2,129,64,136,67,140,67.5,147,65,,,,,,,,
,,,,,,,48,19,23,7,3.5,,,R3,5,19,,R3,135,60,112,63.5,,,,,,,,,,,,
,,,,,,,,,5.5,8.5,4,,,R4,6,49,,R4,192,70,116,66.5,119,64,,,,,,,,,,
,,,,,,,,,28,14.5,4.5,,,R5,10,44.5,,R5,119,67.5,127,65,139,67,,,,,,,,,,
,,,,,,,,,,,4,,,R6,9,73,,R6,163,65,161,67,162,65,160,69,,,,,,,,
,,,,,58.5,,,,,,,,,R7,9,72.5,,R7,123,60,131,63.5,144,67.5,,,,,,,,,,
,,,,,13,,,,,,,,,R8,11,71,,R8,153,62,123,64,162,69,171,67,,,,,,,,
,,,,,39,,,,,,,,,R9,5.5,25.5,,R9,133,67,113,64,,,,,,,,,,,,
,,,,,11,17,10,,,,,,,R10,9.5,75,,R10,140,65,137,67,145,63.5,138,62,,,,,,,,
,,,,,,,8,,,,,,,R11,12,86,,R11,121,63.5,131,64.5,118,66.5,143,67,,,,,,,,
,,,,,,,7,,,,,,,R12,7.5,56,,R12,131,62,184,67,132,65.5,,,,,,,,,,
,,,,,4,12,8.4,,,,,,,R13,9,30,,R13,103,68.5,122,69,,,,,,,,,,,,
