Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 10,,Ligne N° : 11,,Variété : ,Nectarinier N 46-28,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
73,37,36,89,10.9,2.5,,,,,,,,,R 1,6.7,40.5,140,61.23,,,,,,,,,,,,,1.0,
73,37,36,105.5,15.7,1.5,,,,,,,,,R 2,6.3,58,,,,,,,,,,,,,,,0.0,
73,37,36,108,,,,,,,,,,,R 3,8,74,,,,,,,,,,,,,,,0.0,
73,37,36,132,36.6,2.5,18.6,1,,,,,,,R 4,5.3,50.5,,,,,,,,,,,,,,,0.0,
73,37,36,144,17,0,,,,,,,,,R 5,10.6,131.5,90,57.79,110,57.87,100,60.2,,,,,,,,,3.0,
73,37,36,159,22.6,15.5,13.9,0,,,,,,,R 6,4.8,34.5,,,,,,,,,,,,,,,0.0,
73,37,36,159.5,47.1,2.5,,,,,,,,,R 7,5.8,60.1,80,54.4,100,57.41,,,,,,,,,,,2.0,
73,37,36,160,31.7,55.3,,,,,,,,,R 8,5.1,49.5,,,,,,,,,,,,,,,0.0,
73,37,36,160,31.7,78.69999999999999,,,,,,,,,R 9,8.5,82.3,140,62.18,,,,,,,,,,,,,1.0,
73,37,36,160,31.7,83.69999999999999,,,,,,,,,R 10,5.6,54.9,,,,,,,,,,,,,,,0.0,
73,37,36,160,31.7,110.79999999999998,,,,,,,,,R 11,8,59.7,90,58.36,,,,,,,,,,,,,1.0,
73,37,36,166,,,,,,,,,,,R 12,7,47.2,,,,,,,,,,,,,,,0.0,
73,37,36,187,32.7,0,,,,,,,,,R 13,8,96,80,53.24,,,,,,,,,,,,,1.0,
73,37,36,202,87.6,0,15.5,21,,,,,,,R 14,5.6,56,100,60.42,,,,,,,,,,,,,1.0,
73,37,36,202,87.6,29.5,,,,,,,,,R 15,10.6,132.2,,,,,,,,,,,,,,,0.0,
73,37,36,202,87.6,50.5,32.8,9.2,,,,,,,R 16,7.8,82.5,120,63.35,180,68.72,,,,,,,,,,,2.0,
73,37,36,202,87.6,50.5,32.8,40.9,12.3,0.5,,,,,R 17,8.7,87.7,170,66.92,140,66.27,140,64.3,,,,,,,,,3.0,
73,37,36,202,87.6,50.5,32.8,40.9,12.3,1,,,,,R 18,8.3,78.1,130,63.7,,,,,,,,,,,,,1.0,
73,37,36,202,87.6,68.3,,,,,,,,,R 19,10.1,77,100,59.11,,,,,,,,,,,,,1.0,
73,37,36,202,87.6,88.3,67.4,5.5,19.1,0,,,,,R 20,7.8,71.3,120,61.2,130,61.86,,,,,,,,,,,2.0,
73,37,36,202,87.6,88.3,67.4,45.5,,,,,,,R 21,7.7,59.7,,,,,,,,,,,,,,,0.0,
