Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 6,,Ligne N° : 11,,Variété : ,Nectarinier N 46-28,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
77,46,26.2,66.5,47.1,7,12,23.7,,,,,,,R 1,7.5,20,200,75.95,120,61.86,,,,,,,,,,,2.0,
77,46,26.2,66.5,47.1,23.2,,,,,,,,,R 2,11.5,84.3,110,59.42,,,,,,,,,,,,,1.0,
77,46,26.2,66.5,47.1,32.2,9.9,4.7,,,,,,,R 3,5.8,34.8,120,64.36,100,57.1,,,,,,,,,,,2.0,
77,46,26.2,66.5,47.1,35.5,15.5,51.4,,,,,,,R 4,7.5,67,130,63.37,110,63.15,70,54.24,,,,,,,,,3.0,
77,46,26.2,66.5,47.1,105.5,15,4.5,,,,,,,R 5,5.9,54.5,,,,,,,,,,,,,,,0.0,
77,46,26.2,66.5,47.1,127.7,7.7,3.6,,,,,,,R 6,5.3,33.2,170,69.26,140,64.3,100,57.45,,,,,,,,,3.0,
77,46,26.2,66.5,47.1,141.9,20.8,5.4,,,,,,,R 7,9.1,88,180,71.68,,,,,,,,,,,,,1.0,
77,46,26.2,66.5,47.1,141.9,20.8,14.8,,,,,,,R 8,9.7,54.9,160,66.56,,,,,,,,,,,,,1.0,
77,46,26.2,66.5,47.1,141.9,20.8,31.3,,,,,,,R 9,6.5,60.4,190,73.67,180,73.59,,,,,,,,,,,2.0,
77,46,26.2,74.7,16.2,2,,,,,,,,,R 10,5.2,22.6,160,70.5,,,,,,,,,,,,,1.0,
77,46,26.2,78.5,,,,,,,,,,,R 11,7.6,52.3,130,62.91,,,,,,,,,,,,,1.0,
77,46,26.2,120,24.9,3.5,,,,,,,,,R 12,3.8,22.6,160,67.75,,,,,,,,,,,,,1.0,
77,46,26.2,183.2,12,6,,,,,,,,,R 13,7.8,79.3,190,73.53,110,59.22,190,68.26,,,,,,,,,3.0,
77,46,26.2,186.2,69.5,0,17,43.1,,,,,,,R 14,7.9,22.3,,,,,,,,,,,,,,,0.0,
77,46,26.2,186.2,,4,,,,,,,,,R 15,8.2,45.6,80,53.37,120,60,,,,,,,,,,,2.0,
77,46,26.2,199.2,27.2,3.5,,,,,,,,,R 16,6,23.6,190,72.74,190,60.39,,,,,,,,,,,2.0,
77,46,26.2,206.6,53.7,0,14.5,13.5,,,,,,,R 17,8,68.5,160,68.06,160,68.61,130,55.71,,,,,,,,,3.0,
77,46,26.2,206.6,53.7,0,14.5,31,,,,,,,R 18,6.2,43.2,130,63.71,130,54.73,,,,,,,,,,,2.0,
77,46,26.2,207.6,67.6,41,23.4,0,,,,,,,R 19,7.5,40,180,71.23,190,74.35,,,,,,,,,,,2.0,
77,46,26.2,207.6,67.6,52,49.7,4.5,28.6,21.3,,,,,R 20,4.8,35,200,72.34,,,,,,,,,,,,,1.0,
77,46,26.2,207.6,67.6,52,49.7,6.5,,,,,,,R 21,6.7,55.4,150,69.5,100,57.74,170,70.84,100,52.3,140,56.55,,,,,5.0,
77,46,26.2,207.6,67.6,52,49.7,14.5,10.7,19.7,,,,,R 22,5.4,51.3,210,75.86,220,72.9,120,63.36,,,,,,,,,3.0,
77,46,26.2,207.6,67.6,68,36.4,27,14.6,10.3,14.8,1,,,R 23,10.2,87.5,170,69.37,170,64.69,200,63.97,250,74.9,,,,,,,4.0,45.0
77,42,38,59,112.4,18,,,,,,,,,R 24,9.2,81.2,160,67.5,140,66.15,,,,,,,,,,,2.0,
77,42,38,59,112.4,27.6,45.2,4,20,5.4,16.6,15.4,,,R 25,6.5,47.3,70,63.97,150,63.49,190,71.09,,,,,,,,,3.0,
77,42,38,59,112.4,27.6,45.2,4,20,5.4,16.6,24.4,,,R 26,7.8,81.2,150,59.22,100,60.96,,,,,,,,,,,2.0,
77,42,38,59,112.4,27.6,45.2,4,20,5.4,16.6,50.5,,,R 27,5.9,35.8,170,68.27,,,,,,,,,,,,,1.0,
77,42,38,59,112.4,27.6,45.2,4,20,5.4,16.6,55.7,,,R 28,36.4,34.4,160,62.78,190,70.09,,,,,,,,,,,2.0,
77,42,38,59,112.4,47.6,57.3,1,,,,,,,R 29,9.6,102,210,72.38,140,65.76,140,68.45,140,66.21,110,58.27,,,,,5.0,
77,42,38,59,112.4,47.6,57.3,2.3,,,,,,,R 30,7.1,70.3,200,70.17,130,64.88,,,,,,,,,,,2.0,
77,42,38,59,112.4,97.9,37.1,3,9.9,11.2,,,,,R 31,6.5,67,170,61.64,150,64.34,80,53.32,,,,,,,,,3.0,
77,42,38,59,112.4,108.10000000000001,24.4,17.8,,,,,,,R 32,5.7,35.2,120,62.91,110,59.99,,,,,,,,,,,2.0,
77,42,38,59,112.4,108.10000000000001,24.4,54.8,,,,,,,R 33,5,16.6,130,62.35,,,,,,,,,,,,,1.0,
77,42,38,59,112.4,108.10000000000001,24.4,76.3,6.2,4,,,,,R 34,5.5,33.2,130,62.68,,,,,,,,,,,,,1.0,
77,42,38,59,112.4,131.4,63.3,44.2,22.4,1,8.3,3.3,,,R 35,5.3,39.2,160,64.36,130,60.12,,,,,,,,,,,2.0,
77,42,38,59,112.4,131.4,63.3,46.2,39,62.9,,,,,R 36,6.4,32.7,190,69.63,110,68.53,,,,,,,,,,,2.0,
77,42,38,59,112.4,131.4,63.3,46.2,39,76.3,,,,,R 37,6.9,55.6,110,62.69,210,72.2,,,,,,,,,,,2.0,
77,42,38,59,112.4,131.4,63.3,57.7,38.7,3,,,,,R 38,6.1,37,180,70.02,130,65.3,,,,,,,,,,,2.0,
77,42,38,59,112.4,131.4,63.3,57.7,38.7,4,,,,,R 39,7.3,63,190,71.11,120,67.55,160,69.25,80,53.79,,,,,,,4.0,
77,42,38,59,112.4,140.4,42.6,2.5,,,,,,,R 40,6.2,29,150,61.22,,,,,,,,,,,,,1.0,
77,42,38,59,112.4,150.4,33.6,2,,,,,,,R 41,5.2,38.8,130,65.82,160,67.47,,,,,,,,,,,2.0,
77,42,38,59,112.4,179.6,82,0,28.3,6,18.9,4,8.7,3,R 42,8.5,71,140,64.11,190,69.4,120,64.89,120,64.18,,,,,,,4.0,
77,42,38,59,112.4,179.6,82,0,28.3,9.5,14.6,0,,,R 43,6.7,50.5,150,66.34,170,68.6,150,66.99,,,,,,,,,3.0,
77,42,38,59,112.4,179.6,82,6,33.6,2.5,,,,,R 44,14.2,114,200,70.09,170,68.6,100,57.6,140,64.65,,,,,,,4.0,
77,42,38,59,112.4,179.6,82,8,,,,,,,R 45,5.5,36.3,140,65.41,,,,,,,,,,,,,1.0,
77,42,38,59,112.4,179.6,82,32.5,57.1,33.7,34.8,4.7,,,R 46,8.9,70.1,170,68.25,210,72.71,190,69.28,80,57.31,,,,,,,4.0,
77,42,38,59,112.4,179.6,82,32.5,57.1,33.7,,31.7,,,R 47,8.6,56.5,220,73.47,100,61.31,100,60.12,,,,,,,,,3.0,
77,42,38,59,112.4,179.6,82,32.5,57.1,35.900000000000006,38.2,13.1,,,R 48,8.7,61.7,200,74.24,110,60.28,180,69.43,,,,,,,,,3.0,
77,42,38,79,39,2.3,14.4,3,,,,,,,R 49,6.2,33,180,66.37,90,54.81,,,,,,,,,,,2.0,
77,42,38,86,25.4,3.2,,,,,,,,,R 50,3.9,49,90,58.47,170,67.63,,,,,,,,,,,2.0,
77,42,38,120,17.4,4,,,,,,,,,R 51,9.8,97,110,60.01,210,73.74,,,,,,,,,,,2.0,
77,42,38,142,33.8,3,,,,,,,,,R 52,5.5,36,190,70.38,,,,,,,,,,,,,1.0,
77,42,38,190.2,13.8,4,,,,,,,,,R 53,6.3,69,210,75.57,160,45,240,78.17,,,,,,,,,3.0,
77,42,38,215.2,60,4,12.2,2,,,,,,,R 54,8.9,70,200,71.64,,,,,,,,,,,,,1.0,
77,42,38,221.2,26.8,2.5,,,,,,,,,R 55,5.6,27,180,69.41,,,,,,,,,,,,,1.0,
77,42,38,237.2,54.7,12,40.6,17,,,,,,,R 56,4.7,38,190,72.28,60,52.1,,,,,,,,,,,2.0,
77,42,38,237.2,54.7,42,24.3,40,,,,,,,R 57,6.5,36,160,70.1,,,,,,,,,,,,,1.0,
77,42,38,237.2,54.7,50,24,24.5,,,,,,,R 58,9.3,60,160,68.9,130,61.87,,,,,,,,,,,2.0,
77,42,38,237.2,54.7,51,28.6,37,,,,,,,R 59,5.9,48,130,67.83,160,68.47,120,63.58,,,,,,,,,3.0,
77,42,38,237.2,54.7,55,,,,,,,,,R 60,6.1,43,220,77.94,,,,,,,,,,,,,1.0,
77,42,38,241.2,60,13.3,34.9,4,,,,,,,R 61,6.1,56,130,64.1,140,66.98,90,58.02,,,,,,,,,3.0,
77,42,38,241.2,60,26.3,32.9,29,,,,,,,R 62,6.1,31,210,76.83,110,61.97,,,,,,,,,,,2.0,
77,42,38,241.2,60,26.3,32.9,32,27.4,6.8,,,,,R 63,5.8,33,120,66.28,60,52.67,,,,,,,,,,,2.0,
77,42,38,241.2,60,26.3,32.9,37.5,8.1,3,,,,,R 64,9,71,170,69.55,180,69.89,190,72.25,120,65.99,,,,,,,4.0,
77,42,38,241.2,60,34.3,48.3,8,46.4,5,,,,,R 65,6.8,55,200,73.83,70,55.23,120,60.71,130,64.15,,,,,,,4.0,
77,42,38,241.2,60,34.3,48.3,11,19.3,8,,,,,R 66,5.6,45,180,71.13,110,62.7,110,62.48,140,66.3,,,,,,,4.0,
77,42,38,241.2,60,34.3,48.3,19,13.7,6,,,,,R 67,9.9,75,190,72.93,170,68.21,160,64.8,,,,,,,,,3.0,104.0
