Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 8,,Ligne N° : 12,,Variété : ,Nectarinier N 46-28,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
71.3,40,36.8,52,33.2,8.3,15.8,10.1,,,,,,,R 1,6.2,32.5,80,52.38,170,64.76,,,,,,,,,,,2.0,
71.3,40,36.8,52,33.2,79,7.7,14.2,,,,,,,R 2,6,17.5,90,56.87,110,61.27,,,,,,,,,,,2.0,
71.3,40,36.8,52,33.2,89,,,,,,,,,R 3,11,85,120,63.85,110,60.06,100,55.35,,,,,,,,,3.0,
71.3,40,36.8,52,33.2,98,6.2,2.5,,,,,,,R 4,5,27.4,100,56.24,,,,,,,,,,,,,1.0,
71.3,40,36.8,52,33.2,109,18,8.5,22,9,8,11,,,R 5,6.4,56.5,120,57.61,120,61.63,,,,,,,,,,,2.0,
71.3,40,36.8,89,20,5.3,,,,,,,,,R 6,8.5,101,110,59.29,150,65.77,110,56.86,110,59.87,110,57.09,,,,,5.0,
71.3,40,36.8,89,20,15.3,,,,,,,,,R 7,7.5,43.5,130,64.4,140,66.17,,,,,,,,,,,2.0,
71.3,40,36.8,89,20,26.8,,,,,,,,,R 8,9.5,94,100,54.9,130,60.24,110,58.91,,,,,,,,,3.0,
71.3,40,36.8,118.5,12,11.5,,,,,,,,,R 9,8,106.2,120,61.39,120,63.79,120,62.44,100,56.82,,,,,,,4.0,
71.3,40,36.8,130.5,,,,,,,,,,,R 10,7,50.2,90,56.27,70,52.31,,,,,,,,,,,2.0,
71.3,40,36.8,131.5,34,8,,,,,,,,,R 11,11.6,79,90,56.67,160,68.17,60,52.13,,,,,,,,,3.0,
71.3,40,36.8,131.5,34,11.2,23.5,7,,,,,,,R 12,11.2,79.7,110,61.47,120,63.11,110,56.1,,,,,,,,,3.0,
71.3,40,36.8,131.5,34,17.799999999999997,17.3,43.5,,,,,,,R 13,10,86.3,70,55.52,80,54.47,90,58.16,140,65.78,,,,,,,4.0,
71.3,40,36.8,152.8,44.2,0,,,,,,,,,R 14,14.4,128,130,62.15,130,64.23,180,68.3,160,67.18,,,,,,,4.0,
71.3,40,36.8,152.8,44.2,4,,,,,,,,,R 15,7.8,77.6,130,61.95,130,62.57,90,58.76,,,,,,,,,3.0,
71.3,40,36.8,165.8,42.4,33.3,21.6,7.5,13.1,3,,,,,R 16,11.4,90,140,64.84,120,62.3,,,,,,,,,,,2.0,
71.3,40,36.8,190.8,65.6,0,19,10,,,,,,,R 17,6.5,53.5,80,53.73,190,59.09,80,55.51,,,,,,,,,3.0,
71.3,40,36.8,190.8,65.6,0,19,25,,,,,,,R 18,6.1,36.5,130,65.98,90,51.84,,,,,,,,,,,2.0,
71.3,40,36.8,190.8,65.6,43.5,34.3,50.5,21,2.3,,,,,R 19,7.6,36.6,160,63.98,120,59.49,180,70.91,,,,,,,,,3.0,
