Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 11,,Ligne N° : 13,,Variété : ,Nectarinier N 46-28,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
72,44,33,62,43,0,32,2,,,,,,,R 1,4,27,60,52.16,90,54.9,,,,,,,,,,,2.0,
72,44,33,62,43,0,32,5,,,,,,,R 2,7.6,47,160,69.27,,,,,,,,,,,,,1.0,
72,44,33,62,43,1,24.8,30,,,,,,,R 3,5,28,150,67.05,,,,,,,,,,,,,1.0,
72,44,33,62,43,1,24.8,34.5,,,,,,,R 4,5.8,41,80,50.51,130,64.13,,,,,,,,,,,2.0,
72,44,33,62,43,1,24.8,52.5,,,,,,,R 5,7.8,34,50,64.32,140,64.74,,,,,,,,,,,2.0,
72,44,33,62,43,1,24.8,55.5,,,,,,,R 6,5.6,40,120,60.61,100,57.78,,,,,,,,,,,2.0,
72,44,33,78,71.1,74,,,,,,,,,R 7,7.7,85,150,68.59,130,65.37,140,68.24,,,,,,,,,3.0,
72,44,33,78,71.1,78,47,0,29.6,6.7,,,,,R 8,6.8,60,130,62.28,80,55.17,,,,,,,,,,,2.0,
72,44,33,78,71.1,78,47,13,13.7,2.3,7.7,5,,,R 9,4.6,20,,,,,,,,,,,,,,,0.0,
72,44,33,78,71.1,78,47,32,18.7,6,,,,,R 10,8,61,180,72.23,130,65.59,,,,,,,,,,,2.0,
72,44,33,78,71.1,78,47,38,51.6,28,35.5,36,,,R 11,8.8,60,120,64.87,160,67.71,,,,,,,,,,,2.0,
72,44,33,78,71.1,78,47,38,51.6,28,35.5,46,,,R 12,9.6,56,,,,,,,,,,,,,,,0.0,
72,44,33,80,,,,,,,,,,,R 13,6.1,46,70,51.79,,,,,,,,,,,,,1.0,
72,44,33,109,44.2,1,,,,,,,,,R 14,6.2,63,60,49.11,,,,,,,,,,,,,1.0,
72,44,33,109,44.2,3,17.6,4.5,,,,,,,R 15,4,27,120,62.82,,,,,,,,,,,,,1.0,
72,44,33,116,32,0,,,,,,,,,R 16,5,24,,,,,,,,,,,,,,,0.0,
72,44,33,129,45,0,,,,,,,,,R 17,7.2,84,150,70.17,220,75.68,,,,,,,,,,,2.0,
72,44,33,129,45,1.2,12.6,1,,,,,,,R 18,4.5,25,,,,,,,,,,,,,,,0.0,
72,44,33,146,11.6,5.4,,,,,,,,,R 19,4.5,77,150,72.62,190,72.13,,,,,,,,,,,2.0,
72,44,33,157,66,4,,,,,,,,,R 20,10.4,114,140,64.85,120,62.84,130,60.79,110,59.66,,,,,,,4.0,
72,44,33,157,66,17,,,,,,,,,R 21,9.9,90,150,67.18,150,67.24,180,69.48,150,68.08,,,,,,,4.0,
