Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 6,,Ligne N° : 5,,Variété : ,Nectarinier N 46-28,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,Nbr de fruit,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
83,26,35,62.5,29.3,0,21.3,11,,,,,,,R 1,5.6,23,,,,,,,,,,,,,,,0,
83,26,35,62.5,29.3,0,21.3,12,15,31,,,,,R 2,4.7,24,,,,,,,,,,,,,,,0,
83,26,35,62.5,29.3,0,21.3,12,15,35.2,10.7,23.3,,,R 3,2.8,21,90,57.31,,,,,,,,,,,,,1,
83,26,35,62.5,29.3,0,21.3,12,15,35.2,10.7,40.400000000000006,,,R 4,3.2,21.8,70,48.78,,,,,,,,,,,,,1,
83,26,35,62.5,29.3,3,22,29,,,,,,,R 5,7.2,66,120,62.27,80,55.11,80,56.57,,,,,,,,,3,
83,26,35,62.5,29.3,3,22,48.5,,,,,,,R 6,7.4,56,,,,,,,,,,,,,,,0,
83,26,35,62.5,29.3,3,22,96.5,8.8,7.2,,,,,R 7,7.1,71,130,63.74,100,59.99,70,51.71,60,49.6,,,,,,,4,
83,26,35,62.5,29.3,6,,,,,,,,,R 8,8.1,42,110,61.74,50,47.66,,,,,,,,,,,2,
83,26,35,90.7,,,,,,,,,,,R 9,7.9,31,150,67.79,,,,,,,,,,,,,1,
83,26,35,127.7,70.3,2,,,,,,,,,R 10,7.2,60,,,,,,,,,,,,,,,0,
83,26,35,127.7,70.3,13,18.5,4,18.7,5.8,,,,,R 11,5,25.5,120,60.11,,,,,,,,,,,,,1,
83,26,35,127.7,70.3,33.5,,,,,,,,,R 12,7.6,68.7,130,63.8,,,,,,,,,,,,,1,
83,26,35,164.7,100,0,16.8,2.9,,,,,,,R 13,13.4,70.5,110,58.66,80,53.43,,,,,,,,,,,2,
83,26,35,164.7,100,84,38.3,12,,,,,,,R 14,7.4,36.5,100,61.21,170,73.09,,,,,,,,,,,2,
83,26,35,164.7,100,84,38.3,33,,,,,,,R 15,7.4,54,,,,,,,,,,,,,,,0,
83,26,35,164.7,100,92,34.9,0,30.5,8,,,,,R 16,4.7,24,190,72.36,,,,,,,,,,,,,1,
83,26,35,164.7,100,92,34.9,0,30.5,34,,,,,R 17,4.1,26,,,,,,,,,,,,,,,0,
83,26,35,164.7,100,92,34.9,0,30.5,41,,,,,R 18,5,38,,,,,,,,,,,,,,,0,
83,26,35,164.7,100,92,34.9,10.5,,,,,,,R 19,6.9,46.5,110,60.4,100,61.17,,,,,,,,,,,2,
83,26,35,201.7,55,49,14.2,8,,,,,,,R 20,6.7,71,160,67.3,150,63.51,,,,,,,,,,,2,
83,26,35,201.7,55,75.5,16.7,20.6,12.7,6.3,,,,,R 21,5.1,38,100,62.14,,,,,,,,,,,,,1,
83,26,35,201.7,55,75.5,16.7,20.6,12.7,13.3,,,,,R 22,5.8,34,110,59.97,120,61.26,,,,,,,,,,,2,
83,26,35,207.7,93,18.5,31.6,17,24.8,36.5,,,,,R 23,7.2,74,250,81.55,230,74.4,120,62.46,,,,,,,,,3,
83,26,35,207.7,93,28.5,21.2,6,14.1,37.5,,,,,R 24,5.6,38.8,180,71.63,90,54.05,,,,,,,,,,,2,
83,26,35,207.7,93,43.5,60.2,69.5,,,,,,,R 25,8,58.8,180,70.6,120,63.29,90,56.59,,,,,,,,,3,
83,26,35,207.7,93,43.5,60.2,79,32.5,7.5,,,,,R 26,6.6,60.5,180,66.38,140,65.04,180,72.17,170,70.33,,,,,,,4,
83,26,35,207.7,93,43.5,60.2,97,,,,,,,R 27,8.8,48.3,,,,,,,,,,,,,,,0,
83,26,35,207.7,93,62.5,43.3,32.5,15.3,1.5,11.4,6.5,,,R 28,6.1,24,180,71.21,110,60.84,180,68.98,,,,,,,,,3,
83,26,35,207.7,93,62.5,43.3,45.5,25,3.6,,,,,R 29,6.2,33,140,67.01,,,,,,,,,,,,,1,
83,26,35,207.7,93,62.5,43.3,65.5,11.6,1.5,,,,,R 30,7.8,67.5,,,,,,,,,,,,,,,0,
83,26,35,207.7,93,62.5,43.3,67.5,15.6,30,,,,,R 31,7.6,43.5,130,63.4,70,51.43,,,,,,,,,,,2,
83,26,35,207.7,93,62.5,43.3,93.7,24.4,12,8.8,12.9,,,R 32,6,56,,,,,,,,,,,,,,,0,
83,26,35,207.7,93,62.5,43.3,93.7,24.4,33,,,,,R 33,7.3,59.5,,,,,,,,,,,,,,,0,
83,26,35,207.7,93,62.5,43.3,93.7,24.4,36.9,,,,,R 34,6.7,42,,,,,,,,,,,,,,,0,
83,26,35,207.7,93,62.5,43.3,99.7,10.3,1.3,,,,,R 35,5.1,29.3,,,,,,,,,,,,,,,0,44.0
83,61,37.5,95,56.1,10,14.1,1.8,,,,,,,R 36,7.4,75,140,64.27,80,51.61,80,53.63,,,,,,,,,3,
83,61,37.5,97.5,83,5,21.1,59.4,,,,,,,R 37,5,22.5,,,,,,,,,,,,,,,0,
83,61,37.5,97.5,83,5,21.1,70.9,,,,,,,R 38,4.4,33.4,130,63.24,,,,,,,,,,,,,1,
83,61,37.5,97.5,83,5,21.1,74.9,,,,,,,R 39,4,21.5,,,,,,,,,,,,,,,0,
83,61,37.5,97.5,83,13.6,43.7,0,,,,,,,R 40,7.7,96.7,70,48.74,110,59.04,120,60.45,,,,,,,,,3,
83,61,37.5,97.5,83,141.6,17,0,,,,,,,R 41,6.4,31.3,160,64.67,,,,,,,,,,,,,1,
83,61,37.5,97.5,83,150.6,41.7,3.5,,,,,,,R 42,9.9,96.4,230,76.81,180,98.94,110,63.43,,,,,,,,,3,
83,61,37.5,97.5,83,150.6,41.7,9.3,,,,,,,R 43,5.9,42,160,65.94,60,47.84,170,65.6,,,,,,,,,3,
83,61,37.5,97.5,83,150.6,41.7,58.3,10.5,1,,,,,R 44,4.3,20.5,180,71.5,120,62.03,,,,,,,,,,,2,
83,61,37.5,118.8,,,,,,,,,,,R 45,7.2,79,120,65.36,100,60.85,100,58.51,,,,,,,,,3,
83,61,37.5,175.3,,,,,,,,,,,R 46,9.7,115,130,63.72,110,62.41,110,60.98,160,66.14,,,,,,,4,
83,61,37.5,204.8,49.4,2.5,7.5,9.5,,,,,,,R 47,7.6,82,140,68.52,170,72.73,100,58.65,,,,,,,,,3,
83,61,37.5,211.8,9.9,20,,,,,,,,,R 48,5.1,52.7,130,62.85,90,58.07,50,42.46,,,,,,,,,3,
83,61,37.5,226.3,110.9,21,24.2,15,,,,,,,R 49,5.1,17,,,,,,,,,,,,,,,0,
83,61,37.5,226.3,110.9,21,24.2,29,,,,,,,R 50,5.9,52.3,180,71.3,120,60.94,90,57.76,,,,,,,,,3,
83,61,37.5,226.3,110.9,21,24.2,36,,,,,,,R 51,6.3,50,180,71.62,80,55.96,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,21,24.2,52,,,,,,,R 52,6.1,48.3,130,65.71,120,64.21,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,21,24.2,60.2,,,,,,,R 53,6,34.9,150,67.59,130,57.59,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,41,9.9,10,,,,,,,R 54,5,34.5,150,69.08,110,61.29,120,62.94,,,,,,,,,3,
83,61,37.5,226.3,110.9,82,,,,,,,,,R 55,7,53.5,150,67.3,80,54.97,70,52.97,,,,,,,,,3,
83,61,37.5,226.3,110.9,116.5,53.6,9.5,31.6,8.5,11.1,1.4,,,R 56,4.8,27.4,120,59.94,,,,,,,,,,,,,1,
83,61,37.5,226.3,110.9,116.5,53.6,9.5,31.6,12,10.2,1.7,,,R 57,7.7,61,180,71.32,160,69.93,90,56.76,,,,,,,,,3,
83,61,37.5,226.3,110.9,116.5,53.6,9.5,31.6,19.5,,,,,R 58,7.4,40.3,180,72.39,180,75.2,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,116.5,53.6,9.5,31.6,26,,,,,R 59,9.4,68,180,71.94,110,62.46,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,116.5,53.6,12,25.4,1,,,,,R 60,7,46,170,70.86,,,,,,,,,,,,,1,
83,61,37.5,226.3,110.9,116.5,53.6,23,25,10.5,,,,,R 61,8.8,60,170,67.44,170,68.96,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,116.5,53.6,50,,,,,,,R 62,9.5,87,150,69.64,110,60.99,,,,,,,,,,,2,
83,61,37.5,226.3,110.9,116.5,53.6,52,,,,,,,R 63,5.5,39,190,70.67,150,66.77,160,68.28,,,,,,,,,3,
83,61,37.5,255.3,64.1,43,,,,,,,,,R 64,7.3,72.5,80,54.83,70,51.8,,,,,,,,,,,2,
83,61,37.5,255.3,64.1,54.5,10.6,29.2,,,,,,,R 65,4.5,43.5,140,68.74,80,52.32,120,60.98,,,,,,,,,3,
83,61,37.5,255.3,64.1,60.2,16,8,,,,,,,R 66,9,84.6,180,69.31,180,71.9,170,71.65,,,,,,,,,3,
83,61,37.5,255.3,64.1,66.7,8.7,5.2,,,,,,,R 67,5.7,48,200,79.25,180,73.17,110,58.95,,,,,,,,,3,71.0
83,58,32.5,56.2,8.3,2.2,,,,,,,,,R 68,5.7,65,120,64.55,90,58.23,,,,,,,,,,,2,
83,58,32.5,61.2,15.4,1.5,,,,,,,,,R 69,5.4,94,120,63.36,80,58.15,,,,,,,,,,,2,
83,58,32.5,69.2,,,,,,,,,,,R 70,11.4,129.5,180,72.86,140,64.84,200,69.11,,,,,,,,,3,
83,58,32.5,70.2,,,,,,,,,,,R 71,10.8,131.4,150,68.05,120,60.93,110,60.92,,,,,,,,,3,
83,58,32.5,76.7,31.9,17.5,,,,,,,,,R 72,11.9,146,180,71.52,80,53.9,100,57.76,,,,,,,,,3,
83,58,32.5,76.7,31.9,82,8.2,1.5,,,,,,,R 73,5.3,22,100,60.43,,,,,,,,,,,,,1,
83,58,32.5,76.7,31.9,88,10.4,4.9,,,,,,,R 74,5.4,65,90,57.63,70,52.99,,,,,,,,,,,2,
83,58,32.5,123.7,,,,,,,,,,,R 75,9.1,62,160,69.91,,,,,,,,,,,,,1,
83,58,32.5,144.2,21,5,10,7,,,,,,,R 76,5.7,57,90,58.01,,,,,,,,,,,,,1,
83,58,32.5,144.2,21,12,15.3,3,,,,,,,R 77,8.4,88.6,120,63.84,100,60.97,,,,,,,,,,,2,
