Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Arbre N° : 10,,Ligne N° : 15,,Variété : ,Nectarinier N 46-28,,,,Parcelle : 1314,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tronc,,charpant,,1 er ss charpant,,2 éme ss charpant,,3 éme ss charpant,,4éme charpant,,5éme charpant,,Rameaux,,,FRUIT 1,,FRUIT 2,,FRUIT 3,,FRUIT 4,,FRUIT 5,,FRUIT 6,,FRUIT 7,,,
Diam,Long,Diam,long,Diam,long,Diam,Long,Diam,Long,Diam,Long,Diam,Long,N° ram,Diam,Long,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,Poids,Diam,,
66,28,26,98,36,0,18,9,11.1,8,,,,,R 1,6.3,32,100,57.17,,,,,,,,,,,,,1.0,
66,28,26,98,36,0,18,9,11.1,20,,,,,R 2,7.2,46,90,55.96,150,73.19,110,61.03,,,,,,,,,3.0,
66,28,26,110,,,,,,,,,,,R 3,7.4,56,100,58.35,80,54.28,,,,,,,,,,,2.0,
66,28,26,165,32,2.5,,,,,,,,,R 4,10.2,102,100,57.62,130,63.24,,,,,,,,,,,2.0,
66,28,26,168,26.4,3,23.5,21,,,,,,,R 5,6.3,44,90,57.47,,,,,,,,,,,,,1.0,
66,28,26,264,43.5,18,17.4,4.7,,,,,,,R 6,5.3,41,80,52.67,,,,,,,,,,,,,1.0,
66,28,26,264,43.5,20,19.5,28,,,,,,,R 7,5,27,80,57,,,,,,,,,,,,,1.0,11.0
66,20,44,87,70,27,18,26,10.5,35,,,,,R 8,5,35,140,64.59,,,,,,,,,,,,,1.0,
66,20,44,87,70,59,45,7,30,3,,,,,R 9,4,24,190,72.49,,,,,,,,,,,,,1.0,
66,20,44,87,70,59,45,7,30,4,,,,,R 10,6,57,110,58.2,130,61.33,,,,,,,,,,,2.0,
66,20,44,87,70,59,45,57,38.6,41,,,,,R 11,9.3,60,110,58.6,150,67.19,140,65.19,,,,,,,,,3.0,
66,20,44,87,70,59,45,61,12.1,6.2,,,,,R 12,4.7,30,140,66.48,,,,,,,,,,,,,1.0,
66,20,44,87,70,59,45,65,12.1,11.7,,,,,R 13,6,36,140,67.43,100,59.13,,,,,,,,,,,2.0,
66,20,44,87,70,59,45,70,10.5,4,,,,,R 14,7.8,69,100,57.41,160,70.19,90,57.09,80,56.06,,,,,,,4.0,
66,20,44,87,70,76,12.5,2.8,,,,,,,R 15,8.2,86,160,70.02,100,57.69,120,63.18,,,,,,,,,3.0,
66,20,44,87,70,130,38.1,25,,,,,,,R 16,10.6,84,190,70.6,,,,,,,,,,,,,1.0,
66,20,44,87,70,130,38.1,37,,,,,,,R 17,6,35,190,75.53,,,,,,,,,,,,,1.0,
66,20,44,87,70,130,38.1,40,34,3,14.7,44,,,R 18,6.6,43,120,64.28,,,,,,,,,,,,,1.0,
66,20,44,87,70,130,38.1,43,34,32,29.5,3,11.5,8.7,R 19,6.8,70,160,68.28,90,56.62,120,61.7,150,67.52,,,,,,,4.0,
66,20,44,129,22.4,22,,,,,,,,,R 20,7,61,90,54.57,,,,,,,,,,,,,1.0,
